,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:50.0,Personal foul by R. Arcidiacono (drawn by K. Lowry),,0,0
1,1,11:39.0,K. Lowry misses 2-pt jump shot from 14 ft,,0,0
2,1,11:36.0,,Defensive rebound by J. Parker,0,0
3,1,11:23.0,,J. Parker misses 2-pt jump shot from 18 ft,0,0
4,1,11:20.0,Defensive rebound by K. Lowry,,0,0
5,1,11:03.0,Turnover by S. Ibaka (lost ball; steal by J. Parker),,0,0
6,1,10:59.0,,J. Parker misses 2-pt layup from 1 ft (block by S. Ibaka),0,0
7,1,10:52.0,Defensive rebound by P. Siakam,,0,0
8,1,10:49.0,D. Green makes 3-pt jump shot from 22 ft (assist by P. Siakam),,3,0
9,1,10:27.0,,R. Arcidiacono makes 3-pt jump shot from 22 ft (assist by C. Payne),3,3
10,1,10:01.0,F. VanVleet misses 2-pt layup from 1 ft (block by C. Payne),,3,3
11,1,9:59.0,Offensive rebound by F. VanVleet,,3,3
12,1,9:57.0,P. Siakam misses 3-pt jump shot from 23 ft,,3,3
13,1,9:57.0,,Defensive rebound by W. Carter,3,3
14,1,9:44.0,,J. Parker makes 2-pt layup from 1 ft (assist by C. Payne),3,5
15,1,9:32.0,P. Siakam misses 2-pt jump shot from 19 ft,,3,5
16,1,9:31.0,Offensive rebound by Team,,3,5
17,1,9:29.0,F. VanVleet makes 2-pt jump shot from 18 ft (assist by K. Lowry),,5,5
18,1,9:11.0,,J. Parker misses 2-pt jump shot from 15 ft,5,5
19,1,9:07.0,Defensive rebound by F. VanVleet,,5,5
20,1,9:04.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,7,5
21,1,8:53.0,,Shooting foul by D. Green (drawn by W. Carter),7,5
22,1,8:53.0,,W. Carter makes free throw 1 of 2,7,6
23,1,8:53.0,,W. Carter makes free throw 2 of 2,7,7
24,1,8:33.0,S. Ibaka misses 2-pt jump shot from 7 ft,,7,7
25,1,8:23.0,Offensive rebound by D. Green,,7,7
26,1,8:23.0,D. Green makes 2-pt layup from 1 ft,,9,7
27,1,8:20.0,,J. Holiday misses 3-pt jump shot from 25 ft,9,7
28,1,8:15.0,,Offensive rebound by C. Payne,9,7
29,1,8:13.0,,Personal foul by F. VanVleet (drawn by J. Parker),9,7
30,1,8:01.0,,Turnover by J. Parker (lost ball; steal by K. Lowry),9,7
31,1,7:56.0,P. Siakam makes 2-pt layup at rim,,11,7
32,1,7:47.0,,Turnover by J. Holiday (bad pass; steal by P. Siakam),11,7
33,1,7:43.0,F. VanVleet makes 3-pt jump shot from 24 ft (assist by D. Green),,14,7
34,1,7:41.0,,Chicago full timeout,14,7
35,1,7:25.0,,J. Parker makes 3-pt jump shot from 24 ft (assist by W. Carter),14,10
