,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHOENIX_ACTION,TORONTO_SCORE,PHOENIX_SCORE
0,1,11:39.0,,D. Ayton misses 2-pt jump shot from 17 ft,0,0
1,1,11:37.0,Defensive rebound by J. Valančiūnas,,0,0
2,1,11:24.0,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by K. Leonard),,2,0
3,1,11:16.0,,Personal foul by K. Lowry (drawn by T. Ariza),2,0
4,1,11:14.0,,D. Booker misses 2-pt jump shot from 16 ft,2,0
5,1,11:11.0,,Offensive rebound by D. Ayton,2,0
6,1,10:59.0,,Turnover by I. Canaan (bad pass; steal by J. Valančiūnas),2,0
7,1,10:55.0,Turnover by K. Leonard (off goaltending),,2,0
8,1,10:40.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,0
9,1,10:37.0,Defensive rebound by K. Lowry,,2,0
10,1,10:26.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,2,0
11,1,10:23.0,Offensive rebound by K. Lowry,,2,0
12,1,10:20.0,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by K. Lowry),,4,0
13,1,9:54.0,,D. Booker makes 2-pt jump shot from 13 ft,4,2
14,1,9:41.0,Offensive foul by K. Lowry (drawn by D. Booker),,4,2
15,1,9:41.0,Turnover by K. Lowry (offensive foul),,4,2
16,1,9:25.0,,D. Booker makes 2-pt layup from 1 ft (assist by D. Ayton),4,4
17,1,9:14.0,Personal foul by I. Canaan (drawn by D. Green),,4,4
18,1,9:08.0,K. Lowry misses 3-pt jump shot from 28 ft,,4,4
19,1,9:05.0,,Defensive rebound by D. Ayton,4,4
20,1,8:58.0,,T. Ariza makes 2-pt jump shot from 5 ft,4,6
21,1,8:42.0,K. Leonard misses 2-pt jump shot from 17 ft,,4,6
22,1,8:40.0,,Defensive rebound by T. Ariza,4,6
23,1,8:29.0,,Turnover by T. Warren (bad pass),4,6
24,1,8:18.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,6,6
25,1,8:00.0,,D. Booker misses 3-pt jump shot from 27 ft,6,6
26,1,7:57.0,Defensive rebound by D. Green,,6,6
27,1,7:52.0,K. Lowry makes 2-pt jump shot from 16 ft,,8,6
28,1,7:35.0,,D. Ayton makes 2-pt layup from 1 ft (assist by T. Ariza),8,8
29,1,7:26.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,8,8
30,1,7:24.0,,Defensive rebound by T. Warren,8,8
31,1,7:17.0,,T. Warren makes 2-pt jump shot from 18 ft,8,10
32,1,7:03.0,K. Leonard misses 2-pt layup from 1 ft,,8,10
