,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
0,1,11:39.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by P. Siakam),0,3
1,1,11:23.0,Turnover by D. White (bad pass; steal by K. Leonard),,0,3
2,1,11:16.0,,Turnover by K. Leonard (bad pass; steal by R. Gay),0,3
3,1,11:03.0,R. Gay misses 3-pt jump shot from 27 ft,,0,3
4,1,11:00.0,,Defensive rebound by S. Ibaka,0,3
5,1,10:47.0,,S. Ibaka misses 2-pt layup from 2 ft (block by D. DeRozan),0,3
6,1,10:47.0,,Offensive rebound by Team,0,3
7,1,10:42.0,,K. Lowry misses 3-pt jump shot from 27 ft,0,3
8,1,10:39.0,Defensive rebound by R. Gay,,0,3
9,1,10:29.0,B. Forbes misses 3-pt jump shot from 23 ft (block by K. Leonard),,0,3
10,1,10:25.0,,Defensive rebound by P. Siakam,0,3
11,1,10:22.0,,P. Siakam makes 2-pt layup from 2 ft,0,5
12,1,10:11.0,D. DeRozan makes 2-pt layup from 1 ft,,2,5
13,1,10:11.0,Shooting foul by S. Ibaka (drawn by D. DeRozan),,2,5
14,1,10:11.0,D. DeRozan makes free throw 1 of 1,,3,5
15,1,9:57.0,,K. Leonard misses 2-pt jump shot from 19 ft,3,5
16,1,9:53.0,Defensive rebound by R. Gay,,3,5
17,1,9:46.0,L. Aldridge misses 2-pt jump shot from 15 ft,,3,5
18,1,9:44.0,,Defensive rebound by K. Lowry,3,5
19,1,9:41.0,,Shooting foul by D. White (drawn by K. Lowry),3,5
20,1,9:41.0,,K. Lowry makes free throw 1 of 2,3,6
21,1,9:41.0,,K. Lowry makes free throw 2 of 2,3,7
22,1,9:22.0,D. DeRozan misses 2-pt jump shot from 18 ft,,3,7
23,1,9:20.0,,Defensive rebound by K. Leonard,3,7
24,1,9:15.0,,K. Leonard misses 2-pt layup from 1 ft,3,7
25,1,9:13.0,,Offensive rebound by K. Leonard,3,7
26,1,9:12.0,,K. Leonard misses 2-pt layup from 2 ft (block by L. Aldridge),3,7
27,1,9:09.0,,Offensive rebound by K. Leonard,3,7
28,1,9:06.0,,K. Leonard makes 2-pt jump shot from 6 ft,3,9
29,1,8:53.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,6,9
30,1,8:40.0,,Turnover by K. Lowry (bad pass; steal by D. DeRozan),6,9
31,1,8:33.0,Turnover by D. DeRozan (bad pass; steal by P. Siakam),,6,9
32,1,8:27.0,,D. Green misses 3-pt jump shot from 24 ft,6,9
33,1,8:24.0,Defensive rebound by B. Forbes,,6,9
34,1,8:02.0,R. Gay makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,8,9
35,1,7:45.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),8,12
36,1,7:24.0,Turnover by L. Aldridge (lost ball; steal by K. Lowry),,8,12
37,1,7:18.0,,K. Lowry misses 3-pt jump shot from 27 ft,8,12
38,1,7:15.0,Defensive rebound by D. White,,8,12
39,1,7:08.0,L. Aldridge makes 2-pt layup at rim (assist by D. White),,10,12
