,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,,P. George misses 3-pt jump shot from 27 ft,0,0
1,1,11:36.0,Defensive rebound by J. Murray,,0,0
2,1,11:21.0,N. Jokić makes 2-pt jump shot from 13 ft,,2,0
3,1,11:04.0,,J. Grant makes 2-pt jump shot from 19 ft (assist by R. Westbrook),2,2
4,1,10:49.0,J. Murray makes 2-pt layup from 2 ft (assist by G. Harris),,4,2
5,1,10:38.0,,R. Westbrook makes 2-pt layup from 3 ft,4,4
6,1,10:23.0,W. Barton makes 3-pt jump shot from 27 ft (assist by J. Murray),,7,4
7,1,10:07.0,,R. Westbrook misses 2-pt layup at rim,7,4
8,1,10:03.0,,Offensive rebound by R. Westbrook,7,4
9,1,10:03.0,,R. Westbrook misses 2-pt dunk at rim,7,4
10,1,10:02.0,Defensive rebound by N. Jokić,,7,4
11,1,9:56.0,J. Murray misses 3-pt jump shot from 25 ft,,7,4
12,1,9:53.0,,Defensive rebound by J. Grant,7,4
13,1,9:49.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),7,6
14,1,9:31.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,9,6
15,1,9:11.0,,S. Adams misses 2-pt hook shot from 10 ft,9,6
16,1,9:09.0,Defensive rebound by P. Millsap,,9,6
17,1,8:47.0,Turnover by N. Jokić (bad pass),,9,6
18,1,8:37.0,,P. George misses 3-pt jump shot from 22 ft,9,6
19,1,8:34.0,Defensive rebound by N. Jokić,,9,6
20,1,8:17.0,J. Murray misses 2-pt jump shot from 12 ft,,9,6
21,1,8:17.0,,Defensive rebound by Team,9,6
22,1,8:17.0,Loose ball foul by N. Jokić (drawn by P. George),,9,6
23,1,8:17.0,,Oklahoma City full timeout,9,6
24,1,8:06.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),9,9
25,1,7:44.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,12,9
26,1,7:21.0,,R. Westbrook makes 3-pt jump shot from 23 ft,12,12
27,1,7:02.0,P. Millsap makes 2-pt layup from 4 ft (assist by J. Murray),,14,12
28,1,6:54.0,,Shooting foul by P. Millsap (drawn by R. Westbrook),14,12
29,1,6:54.0,,R. Westbrook misses free throw 1 of 2,14,12
30,1,6:54.0,,Offensive rebound by Team,14,12
31,1,6:54.0,,R. Westbrook makes free throw 2 of 2,14,13
32,1,6:43.0,,Violation by Team (kicked ball),14,13
33,1,6:36.0,W. Barton misses 3-pt jump shot from 25 ft,,14,13
34,1,6:34.0,,Defensive rebound by R. Westbrook,14,13
35,1,6:27.0,,S. Adams misses 2-pt jump shot from 8 ft,14,13
36,1,6:24.0,Defensive rebound by N. Jokić,,14,13
37,1,6:15.0,P. Millsap makes 2-pt jump shot from 8 ft,,16,13
38,1,6:01.0,,Turnover by P. George (bad pass; steal by J. Murray),16,13
39,1,5:48.0,W. Barton makes 2-pt layup from 3 ft (assist by G. Harris),,18,13
40,1,5:37.0,,P. George makes 2-pt jump shot from 8 ft,18,15
41,1,5:17.0,J. Murray makes 2-pt jump shot from 15 ft,,20,15
42,1,5:07.0,,P. George makes 2-pt jump shot from 2 ft (assist by R. Westbrook),20,17
43,1,5:07.0,,Shooting foul by W. Barton (drawn by P. George),20,17
44,1,5:07.0,M. Plumlee enters the game for P. Millsap,,20,17
45,1,5:07.0,,P. George misses free throw 1 of 1,20,17
46,1,5:05.0,Defensive rebound by N. Jokić,,20,17
47,1,4:57.0,W. Barton misses 2-pt layup from 5 ft (block by J. Grant),,20,17
48,1,4:55.0,,Defensive rebound by P. George,20,17
49,1,4:55.0,,Personal take foul by M. Plumlee (drawn by P. George),20,17
50,1,4:55.0,,D. Schröder enters the game for P. George,20,17
51,1,4:44.0,,T. Ferguson misses 3-pt jump shot from 25 ft,20,17
52,1,4:41.0,Defensive rebound by J. Murray,,20,17
53,1,4:37.0,Personal foul by J. Grant (drawn by M. Plumlee),,20,17
54,1,4:25.0,W. Barton misses 2-pt jump shot from 10 ft,,20,17
55,1,4:25.0,,Defensive rebound by Team,20,17
56,1,4:25.0,Loose ball foul by W. Barton (drawn by T. Ferguson),,20,17
57,1,4:25.0,,T. Ferguson makes free throw 1 of 2,20,18
58,1,4:25.0,M. Morris enters the game for W. Barton,,20,18
59,1,4:25.0,,T. Ferguson makes free throw 2 of 2,20,19
60,1,4:02.0,J. Murray misses 3-pt jump shot from 27 ft,,20,19
61,1,4:00.0,Offensive rebound by N. Jokić,,20,19
62,1,4:00.0,Shooting foul by J. Grant (drawn by N. Jokić),,20,19
63,1,4:00.0,N. Jokić makes free throw 1 of 2,,21,19
64,1,4:00.0,,M. Morris enters the game for J. Grant,21,19
65,1,4:00.0,,Violation by Team (delay of game),21,19
66,1,4:00.0,N. Jokić makes free throw 2 of 2,,22,19
67,1,3:51.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),22,22
68,1,3:34.0,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),,24,22
69,1,3:24.0,,M. Morris misses 3-pt jump shot from 25 ft,24,22
70,1,3:21.0,,Offensive rebound by R. Westbrook,24,22
71,1,3:19.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Westbrook),24,25
72,1,3:10.0,Personal foul by T. Ferguson (drawn by J. Murray),,24,25
73,1,3:10.0,T. Craig enters the game for G. Harris,,24,25
74,1,3:10.0,,N. Noel enters the game for S. Adams,24,25
75,1,3:01.0,T. Craig makes 3-pt jump shot from 22 ft (assist by J. Murray),,27,25
76,1,2:49.0,,M. Morris misses 3-pt jump shot from 27 ft,27,25
77,1,2:46.0,Defensive rebound by M. Plumlee,,27,25
78,1,2:33.0,Personal foul by N. Noel (drawn by N. Jokić),,27,25
79,1,2:33.0,Denver full timeout,,27,25
80,1,2:33.0,,P. George enters the game for R. Westbrook,27,25
81,1,2:21.0,N. Jokić makes 2-pt layup from 5 ft (assist by M. Plumlee),,29,25
82,1,2:06.0,,P. George misses 2-pt layup from 4 ft,29,25
83,1,2:04.0,Defensive rebound by N. Jokić,,29,25
84,1,1:47.0,J. Murray makes 2-pt jump shot from 11 ft,,31,25
85,1,1:35.0,,D. Schröder misses 3-pt jump shot from 26 ft,31,25
86,1,1:31.0,Defensive rebound by N. Jokić,,31,25
87,1,1:15.0,N. Jokić makes 2-pt layup from 2 ft,,33,25
88,1,1:02.0,,P. George misses 2-pt layup from 1 ft,33,25
89,1,0:59.0,,Offensive rebound by N. Noel,33,25
90,1,0:59.0,,N. Noel makes 2-pt dunk at rim,33,27
91,1,0:49.0,M. Morris misses 3-pt jump shot from 26 ft,,33,27
92,1,0:47.0,,Defensive rebound by P. George,33,27
93,1,0:40.0,,N. Noel makes 2-pt dunk from 1 ft (assist by M. Morris),33,29
94,1,0:40.0,,Shooting foul by M. Morris (drawn by N. Noel),33,29
95,1,0:40.0,M. Beasley enters the game for N. Jokić,,33,29
96,1,0:40.0,T. Lyles enters the game for J. Murray,,33,29
97,1,0:40.0,,A. Nader enters the game for T. Ferguson,33,29
98,1,0:40.0,,N. Noel misses free throw 1 of 1,33,29
99,1,0:38.0,Defensive rebound by T. Lyles,,33,29
100,1,0:28.0,M. Morris misses 2-pt layup from 7 ft (block by N. Noel),,33,29
101,1,0:24.0,Offensive rebound by M. Plumlee,,33,29
102,1,0:22.0,T. Lyles misses 3-pt jump shot from 25 ft,,33,29
103,1,0:18.0,,Defensive rebound by A. Nader,33,29
104,1,0:12.0,,M. Morris misses 3-pt jump shot from 25 ft,33,29
105,1,0:07.0,Defensive rebound by M. Beasley,,33,29
106,1,0:00.0,T. Lyles misses 2-pt jump shot from 19 ft,,33,29
107,1,0:00.0,Offensive rebound by Team,,33,29
108,2,11:39.0,M. Beasley misses 3-pt jump shot from 25 ft,,33,29
109,2,11:35.0,Offensive rebound by T. Craig,,33,29
110,2,11:30.0,M. Morris makes 2-pt jump shot from 18 ft (assist by M. Plumlee),,35,29
111,2,11:18.0,Violation by Team (kicked ball),,35,29
112,2,11:12.0,,Turnover by P. George (bad pass),35,29
113,2,10:56.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),,37,29
114,2,10:43.0,,D. Schröder misses 2-pt jump shot from 10 ft,37,29
115,2,10:41.0,Defensive rebound by M. Plumlee,,37,29
116,2,10:26.0,Personal foul by A. Nader (drawn by M. Beasley),,37,29
117,2,10:14.0,M. Morris misses 3-pt jump shot from 25 ft,,37,29
118,2,10:11.0,,Defensive rebound by N. Noel,37,29
119,2,10:03.0,,A. Nader misses 3-pt jump shot from 25 ft,37,29
120,2,9:59.0,Defensive rebound by M. Plumlee,,37,29
121,2,9:52.0,T. Lyles makes 3-pt jump shot from 22 ft (assist by M. Morris),,40,29
122,2,9:34.0,,P. George misses 2-pt jump shot from 17 ft,40,29
123,2,9:31.0,,Offensive rebound by N. Noel,40,29
124,2,9:25.0,,D. Schröder makes 2-pt jump shot from 6 ft,40,31
125,2,9:08.0,Turnover by M. Plumlee (bad pass; steal by M. Morris),,40,31
126,2,9:04.0,,A. Nader makes 2-pt layup from 3 ft,40,33
127,2,8:42.0,Offensive foul by T. Lyles (drawn by D. Schröder),,40,33
128,2,8:42.0,Turnover by T. Lyles (offensive foul),,40,33
129,2,8:42.0,,R. Westbrook enters the game for P. George,40,33
130,2,8:30.0,,M. Morris misses 2-pt jump shot from 7 ft,40,33
131,2,8:27.0,,N. Noel makes 2-pt dunk at rim,40,35
132,2,8:27.0,,Offensive rebound by N. Noel,40,35
133,2,8:27.0,Denver full timeout,,40,35
134,2,8:27.0,,S. Adams enters the game for N. Noel,40,35
135,2,8:10.0,Personal foul by D. Schröder (drawn by M. Morris),,40,35
136,2,8:07.0,M. Beasley makes 2-pt jump shot from 15 ft (assist by M. Morris),,42,35
