,QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
0,1,11:47.0,,J. Ingles makes 2-pt layup from 2 ft (assist by R. Rubio),0,2
1,1,11:22.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
2,1,11:01.0,,J. Ingles misses 2-pt jump shot from 4 ft,3,2
3,1,10:58.0,,Offensive rebound by J. Ingles,3,2
4,1,10:58.0,,J. Ingles makes 2-pt layup from 1 ft,3,4
5,1,10:45.0,J. Collins misses 3-pt jump shot from 25 ft,,3,4
6,1,10:42.0,,Defensive rebound by R. Gobert,3,4
7,1,10:35.0,,R. Rubio makes 2-pt jump shot from 13 ft,3,6
8,1,10:20.0,T. Young makes 2-pt jump shot from 7 ft,,5,6
9,1,10:20.0,Shooting foul by R. Rubio (drawn by T. Young),,5,6
10,1,10:20.0,T. Young makes free throw 1 of 1,,6,6
11,1,10:12.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),6,9
12,1,10:02.0,T. Young misses 3-pt jump shot from 29 ft,,6,9
13,1,9:59.0,,Defensive rebound by R. Gobert,6,9
14,1,9:45.0,,Shooting foul by D. Bembry (drawn by R. Gobert),6,9
15,1,9:45.0,,R. Gobert makes free throw 1 of 2,6,10
16,1,9:45.0,,R. Gobert makes free throw 2 of 2,6,11
17,1,9:34.0,K. Huerter misses 2-pt jump shot from 9 ft,,6,11
18,1,9:32.0,Offensive rebound by Team,,6,11
19,1,9:28.0,Turnover by T. Young (bad pass; steal by R. Rubio),,6,11
20,1,9:10.0,,R. Gobert makes 2-pt layup from 2 ft,6,13
21,1,9:02.0,D. Dedmon misses 3-pt jump shot from 26 ft,,6,13
22,1,8:58.0,,Defensive rebound by D. Mitchell,6,13
23,1,8:51.0,,D. Mitchell misses 2-pt jump shot from 16 ft,6,13
24,1,8:49.0,Defensive rebound by D. Bembry,,6,13
25,1,8:44.0,Shooting foul by R. Gobert (drawn by J. Collins),,6,13
26,1,8:44.0,J. Collins makes free throw 1 of 2,,7,13
27,1,8:44.0,J. Collins makes free throw 2 of 2,,8,13
28,1,8:28.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Rubio),8,16
29,1,8:17.0,T. Young makes 2-pt jump shot from 14 ft,,10,16
30,1,8:00.0,,J. Ingles misses 3-pt jump shot from 23 ft,10,16
31,1,7:58.0,Defensive rebound by D. Bembry,,10,16
32,1,7:52.0,Shooting foul by R. Gobert (drawn by D. Bembry),,10,16
33,1,7:52.0,D. Bembry makes free throw 1 of 2,,11,16
34,1,7:52.0,,J. Crowder enters the game for R. Gobert,11,16
35,1,7:52.0,D. Bembry makes free throw 2 of 2,,12,16
36,1,7:46.0,,D. Mitchell makes 2-pt layup from 12 ft,12,18
37,1,7:46.0,,Shooting foul by J. Collins (drawn by D. Mitchell),12,18
38,1,7:46.0,T. Prince enters the game for K. Huerter,,12,18
39,1,7:46.0,,D. Mitchell makes free throw 1 of 1,12,19
40,1,7:38.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,15,19
41,1,7:23.0,,R. Rubio makes 2-pt layup from 5 ft,15,21
42,1,7:12.0,T. Young makes 3-pt jump shot from 28 ft,,18,21
43,1,6:59.0,,J. Crowder misses 3-pt jump shot from 26 ft,18,21
44,1,6:55.0,,Offensive rebound by D. Favors,18,21
45,1,6:54.0,,D. Favors makes 2-pt dunk from 2 ft,18,23
46,1,6:36.0,D. Bembry makes 2-pt jump shot from 7 ft (assist by J. Collins),,20,23
47,1,6:16.0,,Turnover by J. Crowder (bad pass; steal by D. Dedmon),20,23
48,1,6:12.0,Turnover by D. Bembry (bad pass; steal by D. Mitchell),,20,23
49,1,6:08.0,,J. Crowder makes 2-pt layup from 3 ft (assist by D. Mitchell),20,25
50,1,5:51.0,T. Young makes 2-pt jump shot from 9 ft,,22,25
51,1,5:42.0,,Personal foul by T. Prince (drawn by J. Ingles),22,25
52,1,5:42.0,,Utah full timeout,22,25
53,1,5:42.0,K. Bazemore enters the game for D. Bembry,,22,25
54,1,5:42.0,O. Spellman enters the game for D. Dedmon,,22,25
55,1,5:42.0,,K. Korver enters the game for J. Ingles,22,25
56,1,5:42.0,,R. O'Neale enters the game for R. Rubio,22,25
57,1,5:34.0,,Turnover by D. Mitchell (bad pass),22,25
58,1,5:12.0,K. Bazemore makes 2-pt jump shot from 11 ft (assist by T. Young),,24,25
59,1,5:02.0,,R. O'Neale misses 3-pt jump shot from 26 ft,24,25
60,1,4:59.0,Defensive rebound by K. Bazemore,,24,25
61,1,4:49.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Prince),,26,25
62,1,4:31.0,,J. Crowder misses 3-pt jump shot from 23 ft,26,25
63,1,4:27.0,Defensive rebound by O. Spellman,,26,25
64,1,4:23.0,Personal foul by R. O'Neale (drawn by T. Young),,26,25
65,1,4:23.0,V. Carter enters the game for J. Collins,,26,25
66,1,4:23.0,J. Lin enters the game for T. Young,,26,25
67,1,4:14.0,K. Bazemore misses 2-pt jump shot from 9 ft,,26,25
68,1,4:13.0,,Defensive rebound by R. O'Neale,26,25
69,1,4:09.0,,D. Mitchell misses 3-pt jump shot from 25 ft,26,25
