,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:41.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by K. Lowry),0,2
1,1,11:25.0,B. Beal makes 2-pt jump shot from 17 ft (assist by K. Oubre),,2,2
2,1,11:08.0,,K. Leonard makes 2-pt jump shot from 19 ft (assist by P. Siakam),2,4
3,1,10:47.0,O. Porter makes 2-pt jump shot from 7 ft (assist by B. Beal),,4,4
4,1,10:47.0,Shooting foul by D. Green (drawn by O. Porter),,4,4
5,1,10:47.0,O. Porter makes free throw 1 of 1,,5,4
6,1,10:34.0,,K. Leonard misses 2-pt layup from 1 ft,5,4
7,1,10:32.0,Defensive rebound by B. Beal,,5,4
8,1,10:25.0,J. Wall misses 3-pt jump shot from 25 ft,,5,4
9,1,10:22.0,,Defensive rebound by P. Siakam,5,4
10,1,10:19.0,,Shooting foul by B. Beal (drawn by P. Siakam),5,4
11,1,10:19.0,,P. Siakam makes free throw 1 of 2,5,5
12,1,10:19.0,,P. Siakam makes free throw 2 of 2,5,6
13,1,10:10.0,Turnover by B. Beal (bad pass),,5,6
14,1,9:51.0,,D. Green misses 3-pt jump shot from 23 ft (block by J. Wall),5,6
15,1,9:48.0,,Offensive rebound by J. Valančiūnas,5,6
16,1,9:47.0,,Turnover by J. Valančiūnas (bad pass; steal by T. Bryant),5,6
17,1,9:43.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Wall),,7,6
18,1,9:32.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),7,8
19,1,9:15.0,B. Beal misses 2-pt jump shot from 6 ft,,7,8
20,1,9:12.0,,Defensive rebound by P. Siakam,7,8
21,1,9:06.0,,K. Leonard makes 2-pt jump shot from 20 ft,7,10
22,1,8:49.0,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),,9,10
23,1,8:35.0,,D. Green misses 3-pt jump shot from 26 ft,9,10
24,1,8:33.0,,Offensive rebound by D. Green,9,10
25,1,8:32.0,,D. Green misses 3-pt jump shot from 26 ft,9,10
26,1,8:30.0,Defensive rebound by T. Bryant,,9,10
27,1,8:22.0,K. Oubre misses 3-pt jump shot from 25 ft,,9,10
28,1,8:18.0,,Defensive rebound by P. Siakam,9,10
29,1,8:11.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,9,10
30,1,8:09.0,Defensive rebound by K. Oubre,,9,10
31,1,8:01.0,T. Bryant misses 3-pt jump shot from 26 ft,,9,10
32,1,7:58.0,,Defensive rebound by K. Leonard,9,10
33,1,7:54.0,,K. Lowry misses 3-pt jump shot from 28 ft,9,10
34,1,7:51.0,Defensive rebound by B. Beal,,9,10
35,1,7:38.0,K. Oubre misses 3-pt jump shot from 25 ft,,9,10
36,1,7:36.0,,Defensive rebound by D. Green,9,10
37,1,7:32.0,,Shooting foul by O. Porter (drawn by K. Lowry),9,10
38,1,7:32.0,,K. Lowry makes free throw 1 of 2,9,11
39,1,7:32.0,,K. Lowry misses free throw 2 of 2,9,11
40,1,7:29.0,Defensive rebound by O. Porter,,9,11
41,1,7:20.0,J. Wall misses 2-pt jump shot from 10 ft,,9,11
42,1,7:18.0,,Defensive rebound by P. Siakam,9,11
43,1,7:03.0,,P. Siakam misses 2-pt layup from 2 ft (block by T. Bryant),9,11
44,1,7:00.0,Defensive rebound by T. Bryant,,9,11
45,1,6:49.0,T. Bryant makes 3-pt jump shot from 25 ft (assist by J. Wall),,12,11
46,1,6:41.0,,Turnover by K. Lowry (lost ball; steal by B. Beal),12,11
47,1,6:41.0,Personal foul by K. Lowry (drawn by K. Oubre),,12,11
48,1,6:41.0,,Toronto full timeout,12,11
49,1,6:28.0,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),,14,11
50,1,6:06.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft,14,11
51,1,6:03.0,Defensive rebound by O. Porter,,14,11
52,1,5:58.0,O. Porter misses 3-pt jump shot from 26 ft,,14,11
53,1,5:56.0,,Defensive rebound by D. Green,14,11
54,1,5:49.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),14,14
55,1,5:31.0,T. Bryant makes 2-pt layup from 1 ft (assist by O. Porter),,16,14
56,1,5:20.0,,K. Leonard makes 2-pt jump shot from 19 ft (assist by J. Valančiūnas),16,16
57,1,5:10.0,Personal foul by P. Siakam (drawn by O. Porter),,16,16
58,1,5:10.0,,O. Anunoby enters the game for P. Siakam,16,16
59,1,5:10.0,,S. Ibaka enters the game for J. Valančiūnas,16,16
60,1,4:59.0,K. Oubre misses 2-pt jump shot from 5 ft,,16,16
61,1,4:57.0,,Defensive rebound by S. Ibaka,16,16
62,1,4:48.0,,K. Leonard misses 3-pt jump shot from 26 ft,16,16
63,1,4:44.0,,Offensive rebound by K. Lowry,16,16
64,1,4:38.0,,S. Ibaka makes 3-pt jump shot from 28 ft (assist by K. Lowry),16,19
65,1,4:19.0,J. Wall misses 2-pt layup from 1 ft,,16,19
66,1,4:17.0,,Defensive rebound by K. Lowry,16,19
67,1,4:13.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),16,22
68,1,4:12.0,Washington full timeout,,16,22
69,1,4:12.0,M. Morris enters the game for T. Bryant,,16,22
70,1,4:12.0,T. Satoranský enters the game for O. Porter,,16,22
71,1,3:49.0,T. Satoranský misses 3-pt jump shot from 25 ft,,16,22
72,1,3:47.0,,Defensive rebound by Team,16,22
