,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHARLOTTE_ACTION,MINNESOTA_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,T. Jones makes 2-pt jump shot from 14 ft (assist by K. Towns),,2,0
1,1,11:26.0,,D. Bacon misses 2-pt jump shot from 5 ft,2,0
2,1,11:23.0,Defensive rebound by J. Okogie,,2,0
3,1,11:15.0,A. Wiggins misses 2-pt layup from 3 ft (block by M. Williams),,2,0
4,1,11:15.0,Offensive rebound by Team,,2,0
5,1,11:01.0,D. Šarić misses 2-pt jump shot from 14 ft,,2,0
6,1,10:58.0,,Defensive rebound by M. Bridges,2,0
7,1,10:51.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Bridges),2,3
8,1,10:42.0,K. Towns makes 3-pt jump shot from 25 ft,,5,3
9,1,10:21.0,,M. Williams makes 2-pt jump shot from 22 ft (assist by D. Bacon),5,5
10,1,10:10.0,Def 3 sec tech foul by Team,,5,5
11,1,10:10.0,T. Jones makes technical free throw,,6,5
12,1,10:04.0,Personal foul by B. Biyombo (drawn by K. Towns),,6,5
13,1,9:56.0,A. Wiggins misses 2-pt jump shot from 7 ft,,6,5
14,1,9:54.0,,Defensive rebound by B. Biyombo,6,5
15,1,9:43.0,,B. Biyombo makes 2-pt layup from 2 ft (assist by M. Bridges),6,7
16,1,9:26.0,J. Okogie misses 2-pt jump shot from 5 ft,,6,7
17,1,9:25.0,Offensive rebound by K. Towns,,6,7
18,1,9:20.0,D. Šarić makes 2-pt layup from 3 ft (assist by K. Towns),,8,7
19,1,9:10.0,,K. Walker misses 3-pt jump shot from 27 ft,8,7
20,1,9:06.0,,Offensive rebound by D. Bacon,8,7
21,1,9:01.0,,K. Walker misses 3-pt jump shot from 25 ft,8,7
22,1,8:59.0,,Offensive rebound by M. Williams,8,7
23,1,8:54.0,,M. Williams misses 3-pt jump shot from 26 ft,8,7
24,1,8:51.0,Defensive rebound by K. Towns,,8,7
25,1,8:43.0,T. Jones makes 2-pt jump shot from 19 ft,,10,7
26,1,8:21.0,,M. Bridges misses 2-pt layup from 7 ft,10,7
27,1,8:18.0,,Offensive rebound by B. Biyombo,10,7
28,1,8:17.0,,B. Biyombo makes 2-pt layup from 2 ft,10,9
29,1,8:01.0,A. Wiggins makes 2-pt jump shot from 19 ft,,12,9
30,1,7:47.0,,B. Biyombo misses 2-pt hook shot from 6 ft,12,9
31,1,7:44.0,Defensive rebound by A. Wiggins,,12,9
32,1,7:35.0,A. Wiggins makes 2-pt layup from 2 ft,,14,9
33,1,7:20.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by D. Bacon),14,11
34,1,7:01.0,T. Jones misses 2-pt jump shot from 12 ft,,14,11
35,1,6:59.0,,Defensive rebound by K. Walker,14,11
36,1,6:53.0,,K. Walker misses 2-pt layup from 4 ft (block by K. Towns),14,11
37,1,6:50.0,Defensive rebound by T. Jones,,14,11
38,1,6:48.0,J. Okogie misses 3-pt jump shot from 27 ft,,14,11
39,1,6:48.0,,Defensive rebound by M. Bridges,14,11
40,1,6:41.0,,D. Bacon misses 2-pt jump shot from 7 ft,14,11
41,1,6:38.0,,Offensive rebound by Team,14,11
42,1,6:38.0,,Charlotte full timeout,14,11
43,1,6:38.0,,J. Lamb enters the game for M. Williams,14,11
44,1,6:31.0,,Turnover by K. Walker (bad pass),14,11
45,1,6:16.0,A. Wiggins misses 2-pt layup from 3 ft,,14,11
46,1,6:14.0,,Defensive rebound by M. Bridges,14,11
47,1,6:09.0,,M. Bridges misses 2-pt layup from 2 ft,14,11
48,1,6:07.0,Defensive rebound by T. Jones,,14,11
49,1,5:58.0,D. Šarić misses 2-pt jump shot from 16 ft,,14,11
50,1,5:55.0,,Defensive rebound by B. Biyombo,14,11
51,1,5:46.0,,D. Bacon misses 2-pt layup from 6 ft,14,11
52,1,5:43.0,,Offensive rebound by D. Bacon,14,11
53,1,5:42.0,,D. Bacon makes 2-pt layup from 2 ft,14,13
54,1,5:21.0,J. Okogie makes 2-pt dunk from 1 ft (assist by K. Towns),,16,13
55,1,5:01.0,,K. Walker misses 3-pt jump shot from 25 ft,16,13
56,1,5:00.0,,Offensive rebound by Team,16,13
57,1,5:00.0,K. Bates-Diop enters the game for D. Šarić,,16,13
58,1,5:00.0,A. Tolliver enters the game for A. Wiggins,,16,13
59,1,4:51.0,,B. Biyombo misses 2-pt jump shot from 15 ft,16,13
60,1,4:49.0,Defensive rebound by A. Tolliver,,16,13
61,1,4:42.0,K. Towns makes 2-pt layup from 2 ft,,18,13
62,1,4:30.0,,J. Lamb misses 2-pt jump shot from 5 ft,18,13
63,1,4:28.0,Defensive rebound by K. Towns,,18,13
64,1,4:17.0,J. Okogie makes 2-pt layup from 2 ft (assist by T. Jones),,20,13
65,1,4:00.0,,Turnover by K. Walker (lost ball; steal by T. Jones),20,13
66,1,3:49.0,Personal foul by B. Biyombo (drawn by K. Towns),,20,13
67,1,3:49.0,J. Bayless enters the game for J. Okogie,,20,13
68,1,3:49.0,,N. Batum enters the game for B. Biyombo,20,13
69,1,3:49.0,,F. Kaminsky enters the game for M. Bridges,20,13
70,1,3:35.0,K. Towns misses 2-pt jump shot from 19 ft,,20,13
71,1,3:33.0,,Defensive rebound by J. Lamb,20,13
72,1,3:23.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,20,13
73,1,3:20.0,Defensive rebound by K. Bates-Diop,,20,13
74,1,3:18.0,Offensive foul by K. Towns (drawn by F. Kaminsky),,20,13
