,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:40.0,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),,3,0
1,1,11:20.0,,T. Warren misses 3-pt jump shot from 25 ft,3,0
2,1,11:18.0,Defensive rebound by J. Murray,,3,0
3,1,11:10.0,N. Jokić makes 2-pt layup from 7 ft (assist by J. Murray),,5,0
4,1,10:48.0,,D. Melton misses 3-pt jump shot from 26 ft,5,0
5,1,10:45.0,,Offensive rebound by D. Ayton,5,0
6,1,10:40.0,,D. Booker misses 2-pt jump shot from 11 ft,5,0
7,1,10:37.0,Defensive rebound by J. Murray,,5,0
8,1,10:22.0,J. Murray makes 3-pt jump shot from 23 ft (assist by T. Craig),,8,0
9,1,9:58.0,,D. Booker makes 2-pt jump shot from 10 ft,8,2
10,1,9:49.0,Shooting foul by M. Bridges (drawn by J. Murray),,8,2
11,1,9:49.0,J. Murray makes free throw 1 of 2,,9,2
12,1,9:49.0,J. Murray makes free throw 2 of 2,,10,2
13,1,9:26.0,,D. Booker misses 3-pt jump shot from 28 ft,10,2
14,1,9:23.0,Defensive rebound by M. Plumlee,,10,2
15,1,9:18.0,Turnover by M. Plumlee (bad pass; steal by D. Ayton),,10,2
16,1,9:11.0,,D. Ayton misses 2-pt dunk from 2 ft,10,2
17,1,9:08.0,Defensive rebound by N. Jokić,,10,2
18,1,8:55.0,M. Plumlee misses 2-pt hook shot from 5 ft,,10,2
19,1,8:52.0,,Defensive rebound by T. Warren,10,2
20,1,8:46.0,,D. Melton makes 2-pt jump shot from 10 ft,10,4
21,1,8:32.0,J. Murray misses 2-pt jump shot from 15 ft,,10,4
22,1,8:28.0,,Defensive rebound by D. Melton,10,4
23,1,8:21.0,,Shooting foul by T. Craig (drawn by D. Ayton),10,4
24,1,8:21.0,,D. Ayton misses free throw 1 of 2,10,4
25,1,8:21.0,,Offensive rebound by Team,10,4
26,1,8:21.0,,D. Ayton makes free throw 2 of 2,10,5
27,1,8:05.0,Personal foul by T. Warren (drawn by M. Plumlee),,10,5
28,1,7:58.0,T. Craig misses 3-pt jump shot from 23 ft,,10,5
29,1,7:55.0,,Defensive rebound by D. Ayton,10,5
30,1,7:47.0,,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Booker),10,8
31,1,7:28.0,Turnover by M. Plumlee (lost ball; steal by T. Warren),,10,8
32,1,7:19.0,,D. Booker misses 3-pt jump shot from 25 ft,10,8
33,1,7:15.0,Defensive rebound by J. Hernangómez,,10,8
34,1,7:03.0,N. Jokić makes 2-pt hook shot from 4 ft,,12,8
35,1,6:37.0,,T. Warren misses 3-pt jump shot from 26 ft,12,8
36,1,6:35.0,Defensive rebound by J. Murray,,12,8
37,1,6:29.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,14,8
38,1,6:29.0,,Phoenix full timeout,14,8
39,1,6:16.0,,M. Bridges misses 3-pt jump shot from 26 ft,14,8
40,1,6:14.0,Defensive rebound by Team,,14,8
41,1,6:01.0,J. Murray makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,17,8
42,1,5:42.0,,D. Ayton misses 2-pt layup from 5 ft (block by N. Jokić),17,8
43,1,5:39.0,Defensive rebound by J. Hernangómez,,17,8
44,1,5:33.0,M. Plumlee makes 2-pt dunk from 3 ft (assist by J. Murray),,19,8
45,1,5:18.0,,Turnover by T. Warren (bad pass; steal by J. Hernangómez),19,8
46,1,5:14.0,J. Murray makes 2-pt layup from 2 ft,,21,8
47,1,4:57.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by D. Ayton),21,11
48,1,4:43.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),,23,11
49,1,4:29.0,,D. Booker misses 2-pt layup from 4 ft,23,11
50,1,4:27.0,Defensive rebound by T. Craig,,23,11
51,1,4:23.0,J. Murray misses 3-pt jump shot from 26 ft,,23,11
52,1,4:20.0,,Defensive rebound by M. Bridges,23,11
53,1,4:08.0,,T. Warren misses 3-pt jump shot from 25 ft,23,11
54,1,4:06.0,Defensive rebound by N. Jokić,,23,11
55,1,3:57.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),,25,11
56,1,3:57.0,P. Millsap enters the game for N. Jokić,,25,11
57,1,3:57.0,M. Morris enters the game for J. Murray,,25,11
58,1,3:57.0,,R. Holmes enters the game for D. Ayton,25,11
59,1,3:57.0,,J. Jackson enters the game for M. Bridges,25,11
60,1,3:35.0,,T. Warren misses 2-pt jump shot from 13 ft,25,11
61,1,3:33.0,Defensive rebound by J. Hernangómez,,25,11
62,1,3:24.0,M. Morris misses 3-pt jump shot from 27 ft,,25,11
63,1,3:20.0,Offensive rebound by T. Craig,,25,11
