,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:45.0,N. Bjelica misses 2-pt jump shot from 9 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Jackson,0,0
2,1,11:22.0,,J. Jackson makes 2-pt hook shot from 9 ft (assist by G. Temple),0,2
3,1,11:12.0,D. Fox misses 2-pt jump shot from 18 ft,,0,2
4,1,11:10.0,,Defensive rebound by M. Gasol,0,2
5,1,11:01.0,,J. Jackson misses 2-pt hook shot from 5 ft,0,2
6,1,10:58.0,Defensive rebound by N. Bjelica,,0,2
7,1,10:40.0,Turnover by B. Hield (bad pass; steal by G. Temple),,0,2
8,1,10:38.0,,G. Temple makes 2-pt layup at rim,0,4
9,1,10:38.0,,Shooting foul by N. Bjelica (drawn by G. Temple),0,4
10,1,10:38.0,,G. Temple makes free throw 1 of 1,0,5
11,1,10:27.0,N. Bjelica misses 3-pt jump shot from 27 ft,,0,5
12,1,10:24.0,,Defensive rebound by Team,0,5
13,1,10:12.0,,Turnover by M. Gasol (lost ball; steal by B. Hield),0,5
14,1,10:07.0,B. Hield makes 2-pt layup from 1 ft,,2,5
15,1,9:51.0,,J. Jackson makes 2-pt layup from 2 ft,2,7
16,1,9:42.0,Turnover by N. Bjelica (bad pass),,2,7
17,1,9:22.0,,K. Anderson misses 2-pt layup from 6 ft,2,7
18,1,9:18.0,Defensive rebound by D. Fox,,2,7
19,1,9:15.0,B. Hield misses 3-pt jump shot from 26 ft,,2,7
20,1,9:12.0,,Defensive rebound by G. Temple,2,7
21,1,8:56.0,,J. Jackson makes 2-pt layup from 1 ft,2,9
22,1,8:55.0,Sacramento full timeout,,2,9
23,1,8:38.0,N. Bjelica misses 3-pt jump shot from 26 ft,,2,9
24,1,8:34.0,,Defensive rebound by K. Anderson,2,9
25,1,8:20.0,,J. Jackson misses 2-pt hook shot from 4 ft,2,9
26,1,8:16.0,Defensive rebound by W. Cauley-Stein,,2,9
27,1,8:12.0,B. Hield misses 2-pt layup from 2 ft,,2,9
28,1,8:08.0,,Defensive rebound by M. Gasol,2,9
29,1,8:02.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Conley),2,12
30,1,7:44.0,I. Shumpert misses 2-pt jump shot from 18 ft (block by K. Anderson),,2,12
31,1,7:40.0,,Defensive rebound by K. Anderson,2,12
32,1,7:21.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Conley),2,15
33,1,7:11.0,D. Fox makes 2-pt jump shot from 21 ft,,4,15
34,1,6:52.0,,J. Jackson misses 2-pt layup from 3 ft,4,15
35,1,6:50.0,Defensive rebound by W. Cauley-Stein,,4,15
36,1,6:43.0,Offensive foul by W. Cauley-Stein (drawn by M. Gasol),,4,15
37,1,6:43.0,Turnover by W. Cauley-Stein (offensive foul),,4,15
38,1,6:43.0,B. Bogdanović enters the game for B. Hield,,4,15
39,1,6:21.0,,M. Conley misses 2-pt jump shot from 21 ft,4,15
40,1,6:17.0,Defensive rebound by B. Bogdanović,,4,15
41,1,6:13.0,W. Cauley-Stein makes 2-pt layup at rim (assist by D. Fox),,6,15
42,1,5:51.0,,M. Conley misses 2-pt layup from 2 ft,6,15
43,1,5:48.0,Defensive rebound by N. Bjelica,,6,15
44,1,5:46.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),,8,15
45,1,5:40.0,,Memphis full timeout,8,15
46,1,5:40.0,,O. Casspi enters the game for J. Jackson,8,15
47,1,5:40.0,,W. Selden enters the game for G. Temple,8,15
48,1,5:20.0,,M. Conley makes 2-pt jump shot from 12 ft (assist by W. Selden),8,17
49,1,5:05.0,I. Shumpert makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),,10,17
50,1,5:05.0,Shooting foul by M. Gasol (drawn by I. Shumpert),,10,17
51,1,5:05.0,,M. Brooks enters the game for K. Anderson,10,17
52,1,5:05.0,,S. Mack enters the game for M. Conley,10,17
53,1,5:05.0,I. Shumpert makes free throw 1 of 1,,11,17
54,1,4:49.0,,Turnover by M. Gasol (traveling),11,17
55,1,4:40.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,14,17
56,1,4:16.0,,M. Brooks misses 2-pt jump shot from 22 ft,14,17
57,1,4:16.0,,Offensive rebound by Team,14,17
58,1,4:16.0,Loose ball foul by W. Cauley-Stein (drawn by M. Gasol),,14,17
59,1,4:04.0,,M. Brooks misses 2-pt jump shot from 7 ft,14,17
60,1,3:59.0,Defensive rebound by I. Shumpert,,14,17
61,1,3:58.0,D. Fox makes 2-pt layup at rim,,16,17
62,1,3:58.0,Shooting foul by M. Brooks (drawn by D. Fox),,16,17
63,1,3:58.0,H. Giles enters the game for W. Cauley-Stein,,16,17
64,1,3:58.0,D. Fox makes free throw 1 of 1,,17,17
65,1,3:38.0,,W. Selden misses 3-pt jump shot from 25 ft,17,17
66,1,3:37.0,,Offensive rebound by M. Gasol,17,17
67,1,3:27.0,,M. Brooks makes 2-pt layup from 1 ft (assist by S. Mack),17,19
68,1,3:27.0,,Shooting foul by H. Giles (drawn by M. Brooks),17,19
69,1,3:27.0,,M. Brooks makes free throw 1 of 1,17,20
70,1,3:17.0,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),,19,20
71,1,3:03.0,,O. Casspi misses 2-pt jump shot from 11 ft,19,20
72,1,3:01.0,,Offensive rebound by M. Gasol,19,20
73,1,2:57.0,,O. Casspi makes 2-pt dunk from 1 ft (assist by S. Mack),19,22
74,1,2:49.0,D. Fox misses 2-pt layup from 1 ft,,19,22
75,1,2:47.0,,Defensive rebound by M. Gasol,19,22
76,1,2:36.0,,M. Brooks makes 3-pt jump shot from 25 ft,19,25
77,1,2:10.0,N. Bjelica misses 3-pt jump shot from 23 ft,,19,25
78,1,2:07.0,,Defensive rebound by S. Mack,19,25
79,1,2:01.0,,M. Gasol misses 3-pt jump shot from 25 ft,19,25
80,1,1:55.0,Defensive rebound by D. Fox,,19,25
81,1,1:39.0,D. Fox makes 3-pt jump shot from 27 ft,,22,25
82,1,1:39.0,M. Bagley enters the game for N. Bjelica,,22,25
