,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
0,1,11:54.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,2,0
1,1,11:37.0,,J. Holiday makes 2-pt jump shot from 8 ft (assist by J. Okafor),2,2
2,1,11:18.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,4,2
3,1,11:09.0,,K. Williams makes 3-pt jump shot from 24 ft (assist by J. Randle),4,5
4,1,10:47.0,B. Ingram makes 2-pt layup from 2 ft,,6,5
5,1,10:47.0,Shooting foul by J. Holiday (drawn by B. Ingram),,6,5
6,1,10:47.0,B. Ingram makes free throw 1 of 1,,7,5
7,1,10:39.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by K. Williams),7,8
8,1,10:21.0,B. Ingram makes 2-pt layup from 2 ft (assist by L. James),,9,8
9,1,10:06.0,,J. Okafor makes 2-pt hook shot from 5 ft,9,10
10,1,9:54.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by B. Ingram),,12,10
11,1,9:41.0,,K. Williams misses 2-pt jump shot from 16 ft,12,10
12,1,9:37.0,Defensive rebound by K. Kuzma,,12,10
13,1,9:21.0,Personal foul by E. Payton (drawn by B. Ingram),,12,10
14,1,9:16.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. James),,15,10
15,1,9:09.0,,Shooting foul by B. Ingram (drawn by E. Payton),15,10
16,1,9:09.0,,E. Payton makes free throw 1 of 2,15,11
17,1,9:09.0,,E. Payton makes free throw 2 of 2,15,12
18,1,8:51.0,Turnover by R. Bullock (bad pass; steal by J. Holiday),,15,12
19,1,8:45.0,,J. Randle makes 2-pt layup from 3 ft,15,14
20,1,8:23.0,L. James makes 2-pt layup from 1 ft (assist by K. Kuzma),,17,14
21,1,8:12.0,,J. Randle misses 3-pt jump shot from 24 ft,17,14
22,1,8:09.0,,Offensive rebound by J. Okafor,17,14
23,1,8:01.0,,J. Okafor misses 2-pt jump shot from 6 ft,17,14
24,1,7:58.0,Defensive rebound by B. Ingram,,17,14
25,1,7:51.0,K. Kuzma misses 2-pt layup from 1 ft (block by J. Okafor),,17,14
26,1,7:46.0,,Defensive rebound by J. Holiday,17,14
27,1,7:45.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by J. Holiday),17,16
28,1,7:35.0,LA Lakers full timeout,,17,16
29,1,7:30.0,Turnover by B. Ingram (bad pass; steal by K. Williams),,17,16
