,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,Def 3 sec tech foul by Team,,0,0
1,1,11:41.0,S. Curry makes technical free throw,,1,0
2,1,11:36.0,D. Green misses 3-pt jump shot from 25 ft,,1,0
3,1,11:33.0,,Defensive rebound by P. Beverley,1,0
4,1,11:28.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Durant),1,0
5,1,11:18.0,Turnover by D. Green (bad pass; steal by S. Gilgeous-Alexander),,1,0
6,1,11:14.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,1,2
7,1,10:55.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by A. Bogut),,3,2
8,1,10:42.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,3,4
9,1,10:32.0,A. Bogut misses 2-pt hook shot from 12 ft,,3,4
10,1,10:29.0,,Defensive rebound by P. Beverley,3,4
11,1,10:23.0,,D. Gallinari misses 2-pt layup from 3 ft,3,4
12,1,10:21.0,Defensive rebound by K. Durant,,3,4
13,1,10:19.0,Personal take foul by S. Gilgeous-Alexander (drawn by S. Curry),,3,4
14,1,10:08.0,S. Curry misses 3-pt jump shot from 25 ft,,3,4
15,1,10:06.0,,Defensive rebound by P. Beverley,3,4
16,1,10:02.0,,L. Shamet misses 3-pt jump shot from 24 ft,3,4
17,1,9:58.0,Defensive rebound by K. Durant,,3,4
18,1,9:49.0,A. Bogut makes 2-pt dunk from 3 ft,,5,4
19,1,9:30.0,,Personal foul by S. Curry (drawn by J. Green),5,4
20,1,9:21.0,,P. Beverley misses 2-pt layup from 2 ft,5,4
21,1,9:19.0,Defensive rebound by D. Green,,5,4
22,1,9:19.0,Shooting foul by L. Shamet (drawn by D. Green),,5,4
23,1,9:19.0,D. Green makes free throw 1 of 2,,6,4
24,1,9:19.0,D. Green makes free throw 2 of 2,,7,4
25,1,9:07.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by L. Shamet),7,7
26,1,9:03.0,D. Green misses 2-pt dunk from 1 ft (block by P. Beverley),,7,7
27,1,9:03.0,Offensive rebound by Team,,7,7
28,1,8:57.0,K. Durant makes 2-pt jump shot from 16 ft (assist by A. Bogut),,9,7
29,1,8:43.0,,D. Gallinari misses 3-pt jump shot from 27 ft,9,7
30,1,8:40.0,Defensive rebound by D. Green,,9,7
31,1,8:33.0,Personal foul by D. Gallinari (drawn by S. Curry),,9,7
32,1,8:20.0,K. Durant makes 2-pt jump shot from 21 ft,,11,7
33,1,8:02.0,,D. Gallinari misses 2-pt layup from 3 ft,11,7
34,1,8:00.0,,Offensive rebound by Team,11,7
35,1,7:55.0,,L. Shamet misses 3-pt jump shot from 25 ft,11,7
36,1,7:53.0,Defensive rebound by S. Curry,,11,7
37,1,7:47.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),,13,7
38,1,7:44.0,,LA Clippers full timeout,13,7
39,1,7:34.0,,Personal foul by K. Durant (drawn by L. Shamet),13,7
40,1,7:24.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,13,7
41,1,7:18.0,Defensive rebound by K. Durant,,13,7
42,1,7:04.0,K. Durant misses 2-pt jump shot from 15 ft,,13,7
43,1,7:01.0,,Defensive rebound by D. Gallinari,13,7
44,1,6:51.0,,D. Gallinari misses 3-pt jump shot from 26 ft,13,7
45,1,6:50.0,Defensive rebound by S. Curry,,13,7
46,1,6:44.0,S. Curry misses 3-pt jump shot from 28 ft,,13,7
47,1,6:40.0,,Defensive rebound by P. Beverley,13,7
48,1,6:31.0,,J. Green makes 3-pt jump shot from 26 ft (assist by P. Beverley),13,10
49,1,6:17.0,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),,15,10
50,1,5:56.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),15,12
51,1,5:56.0,K. Looney enters the game for A. Bogut,,15,12
