,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
0,1,11:41.0,J. Valančiūnas misses 2-pt hook shot from 13 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Collins,0,0
2,1,11:29.0,,T. Young makes 2-pt jump shot from 13 ft (assist by D. Dedmon),0,2
3,1,11:13.0,Turnover by A. Bradley (bad pass; steal by K. Huerter),,0,2
4,1,11:12.0,,Personal foul by I. Rabb (drawn by J. Collins),0,2
5,1,11:09.0,,Shooting foul by J. Holiday (drawn by J. Collins),0,2
6,1,11:09.0,,J. Collins makes free throw 1 of 2,0,3
7,1,11:09.0,,J. Collins misses free throw 2 of 2,0,3
8,1,11:07.0,Defensive rebound by I. Rabb,,0,3
9,1,10:53.0,M. Conley misses 3-pt jump shot from 25 ft,,0,3
10,1,10:47.0,,Defensive rebound by D. Dedmon,0,3
11,1,10:40.0,,T. Prince misses 3-pt jump shot from 26 ft,0,3
12,1,10:35.0,Defensive rebound by I. Rabb,,0,3
13,1,10:27.0,I. Rabb misses 3-pt jump shot from 25 ft,,0,3
14,1,10:24.0,,Defensive rebound by T. Prince,0,3
15,1,10:17.0,,D. Dedmon misses 3-pt jump shot from 26 ft,0,3
16,1,10:14.0,,Offensive rebound by K. Huerter,0,3
17,1,10:12.0,,K. Huerter misses 2-pt jump shot from 15 ft,0,3
18,1,10:08.0,,Offensive rebound by K. Huerter,0,3
19,1,10:07.0,,K. Huerter makes 2-pt layup at rim,0,5
20,1,10:07.0,Memphis full timeout,,0,5
21,1,9:55.0,Turnover by A. Bradley (lost ball; steal by T. Prince),,0,5
22,1,9:51.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),0,7
23,1,9:42.0,M. Conley misses 2-pt jump shot from 12 ft (block by D. Dedmon),,0,7
24,1,9:37.0,Offensive rebound by A. Bradley,,0,7
25,1,9:35.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Bradley),,3,7
26,1,9:21.0,,Turnover by T. Prince (bad pass; steal by M. Conley),3,7
