,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
0,1,11:49.0,,Violation by Team (kicked ball),0,0
1,1,11:44.0,J. Okafor misses 2-pt jump shot from 10 ft,,0,0
2,1,11:41.0,,Defensive rebound by T. Craig,0,0
3,1,11:25.0,,Turnover by P. Millsap (traveling),0,0
4,1,11:16.0,N. Mirotić makes 2-pt jump shot from 21 ft (assist by J. Holiday),,2,0
5,1,10:58.0,,J. Murray makes 2-pt layup from 3 ft (assist by G. Harris),2,2
6,1,10:43.0,N. Mirotić misses 3-pt jump shot from 25 ft,,2,2
7,1,10:41.0,,Defensive rebound by G. Harris,2,2
8,1,10:36.0,,G. Harris misses 3-pt jump shot from 25 ft,2,2
9,1,10:33.0,Defensive rebound by J. Holiday,,2,2
10,1,10:24.0,J. Okafor misses 2-pt jump shot from 10 ft,,2,2
11,1,10:22.0,,Defensive rebound by P. Millsap,2,2
12,1,10:13.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),2,5
13,1,9:54.0,S. Hill misses 3-pt jump shot from 25 ft,,2,5
14,1,9:50.0,,Defensive rebound by G. Harris,2,5
15,1,9:44.0,,P. Millsap misses 3-pt jump shot from 25 ft,2,5
16,1,9:41.0,Defensive rebound by N. Mirotić,,2,5
17,1,9:36.0,Turnover by E. Moore (lost ball; steal by P. Millsap),,2,5
18,1,9:27.0,,G. Harris makes 2-pt jump shot from 7 ft (assist by N. Jokić),2,7
19,1,9:15.0,Personal foul by N. Jokić (drawn by J. Okafor),,2,7
20,1,9:03.0,J. Holiday makes 2-pt layup from 2 ft,,4,7
21,1,8:51.0,,Turnover by J. Murray (bad pass; steal by N. Mirotić),4,7
22,1,8:45.0,N. Mirotić misses 3-pt jump shot from 24 ft,,4,7
23,1,8:44.0,,Defensive rebound by Team,4,7
24,1,8:26.0,,J. Murray misses 3-pt jump shot from 25 ft,4,7
25,1,8:21.0,Defensive rebound by E. Moore,,4,7
26,1,8:10.0,E. Moore misses 3-pt jump shot from 24 ft,,4,7
27,1,8:06.0,,Defensive rebound by J. Murray,4,7
28,1,7:55.0,,T. Craig misses 3-pt jump shot from 22 ft,4,7
29,1,7:53.0,Defensive rebound by S. Hill,,4,7
30,1,7:39.0,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),,7,7
31,1,7:21.0,,Personal foul by N. Mirotić (drawn by G. Harris),7,7
32,1,7:12.0,,P. Millsap misses 2-pt jump shot from 13 ft,7,7
33,1,7:08.0,Defensive rebound by N. Mirotić,,7,7
34,1,7:01.0,Personal foul by P. Millsap (drawn by J. Holiday),,7,7
35,1,6:49.0,S. Hill misses 2-pt jump shot from 8 ft (block by J. Murray),,7,7
36,1,6:47.0,Offensive rebound by S. Hill,,7,7
37,1,6:46.0,S. Hill makes 2-pt layup from 2 ft,,9,7
38,1,6:35.0,,Denver full timeout,9,7
39,1,6:33.0,,Turnover by P. Millsap (bad pass; steal by J. Holiday),9,7
40,1,6:19.0,Turnover by S. Hill (bad pass; steal by J. Murray),,9,7
41,1,6:12.0,,T. Craig makes 2-pt layup from 2 ft (assist by P. Millsap),9,9
42,1,5:53.0,J. Okafor makes 2-pt hook shot from 3 ft (assist by J. Holiday),,11,9
43,1,5:40.0,,J. Murray misses 2-pt jump shot from 16 ft,11,9
44,1,5:34.0,Defensive rebound by N. Mirotić,,11,9
45,1,5:19.0,J. Okafor makes 2-pt hook shot from 6 ft,,13,9
46,1,5:05.0,,Denver full timeout,13,9
47,1,5:05.0,J. Randle enters the game for J. Okafor,,13,9
48,1,5:05.0,,J. Hernangómez enters the game for T. Craig,13,9
49,1,5:05.0,,T. Lyles enters the game for P. Millsap,13,9
50,1,5:05.0,,M. Morris enters the game for J. Murray,13,9
51,1,4:57.0,,N. Jokić misses 3-pt jump shot from 25 ft,13,9
52,1,4:54.0,Defensive rebound by J. Randle,,13,9
53,1,4:38.0,J. Holiday makes 2-pt layup from 4 ft,,15,9
54,1,4:31.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Morris),15,12
55,1,4:20.0,Shooting foul by J. Hernangómez (drawn by S. Hill),,15,12
56,1,4:20.0,S. Hill makes free throw 1 of 2,,16,12
57,1,4:20.0,S. Hill makes free throw 2 of 2,,17,12
58,1,4:06.0,,N. Jokić misses 2-pt layup from 2 ft,17,12
59,1,4:04.0,Defensive rebound by J. Randle,,17,12
60,1,4:00.0,Turnover by J. Randle (lost ball; steal by M. Morris),,17,12
61,1,3:55.0,,Shooting foul by J. Holiday (drawn by G. Harris),17,12
62,1,3:55.0,,G. Harris misses free throw 1 of 2,17,12
63,1,3:55.0,,Offensive rebound by Team,17,12
64,1,3:55.0,F. Jackson enters the game for S. Hill,,17,12
65,1,3:55.0,,M. Plumlee enters the game for N. Jokić,17,12
66,1,3:55.0,,G. Harris makes free throw 2 of 2,17,13
67,1,3:41.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Randle),,19,13
68,1,3:28.0,,T. Lyles misses 3-pt jump shot from 25 ft,19,13
69,1,3:27.0,Defensive rebound by Team,,19,13
70,1,3:27.0,,J. Murray enters the game for G. Harris,19,13
71,1,3:15.0,J. Randle misses 2-pt jump shot from 22 ft,,19,13
72,1,3:11.0,,Defensive rebound by J. Murray,19,13
73,1,2:51.0,,Turnover by M. Morris (bad pass; steal by N. Mirotić),19,13
74,1,2:44.0,Turnover by J. Holiday (bad pass; steal by J. Murray),,19,13
75,1,2:26.0,,T. Lyles misses 2-pt hook shot from 4 ft,19,13
76,1,2:23.0,Defensive rebound by J. Holiday,,19,13
77,1,2:16.0,J. Holiday makes 2-pt jump shot from 4 ft,,21,13
78,1,1:56.0,,J. Murray makes 2-pt jump shot from 21 ft,21,15
79,1,1:56.0,J. Okafor enters the game for N. Mirotić,,21,15
80,1,1:36.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Randle),,24,15
81,1,1:21.0,,Shooting foul by J. Holiday (drawn by T. Lyles),24,15
82,1,1:21.0,I. Clark enters the game for J. Holiday,,24,15
83,1,1:21.0,T. Frazier enters the game for E. Moore,,24,15
84,1,1:21.0,,T. Lyles makes free throw 1 of 2,24,16
85,1,1:21.0,,T. Lyles makes free throw 2 of 2,24,17
86,1,0:58.0,Turnover by J. Okafor (lost ball; steal by M. Morris),,24,17
87,1,0:53.0,,J. Murray misses 3-pt jump shot from 25 ft,24,17
88,1,0:50.0,Defensive rebound by F. Jackson,,24,17
89,1,0:46.0,Offensive foul by J. Okafor (drawn by J. Murray),,24,17
90,1,0:46.0,Turnover by J. Okafor (offensive foul),,24,17
91,1,0:37.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by M. Plumlee),24,20
92,1,0:18.0,J. Randle misses 2-pt jump shot from 8 ft,,24,20
93,1,0:16.0,Offensive rebound by J. Okafor,,24,20
94,1,0:16.0,J. Okafor misses 2-pt layup from 1 ft,,24,20
95,1,0:16.0,,Defensive rebound by M. Plumlee,24,20
96,1,0:01.0,,M. Morris misses 3-pt jump shot from 25 ft,24,20
97,1,0:01.0,Defensive rebound by J. Randle,,24,20
98,2,11:36.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by J. Hernangómez),24,23
99,2,11:11.0,I. Clark misses 2-pt jump shot from 11 ft,,24,23
100,2,11:08.0,,Defensive rebound by J. Murray,24,23
101,2,11:03.0,,Offensive foul by M. Plumlee (drawn by T. Frazier),24,23
102,2,11:03.0,,Turnover by M. Plumlee (offensive foul),24,23
103,2,11:03.0,E. Moore enters the game for F. Jackson,,24,23
104,2,10:53.0,Shooting foul by T. Lyles (drawn by J. Randle),,24,23
105,2,10:53.0,J. Randle makes free throw 1 of 2,,25,23
106,2,10:53.0,J. Randle makes free throw 2 of 2,,26,23
107,2,10:44.0,,Personal foul by I. Clark (drawn by J. Hernangómez),26,23
108,2,10:37.0,,T. Lyles misses 3-pt jump shot from 25 ft,26,23
109,2,10:34.0,Defensive rebound by T. Frazier,,26,23
110,2,10:24.0,Offensive foul by J. Randle (drawn by T. Lyles),,26,23
111,2,10:24.0,Turnover by J. Randle (offensive foul),,26,23
112,2,10:09.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Lyles),26,26
113,2,9:41.0,J. Randle makes 2-pt layup from 2 ft (assist by I. Clark),,28,26
114,2,9:31.0,,J. Murray misses 2-pt layup from 3 ft,28,26
115,2,9:31.0,,Offensive rebound by M. Plumlee,28,26
116,2,9:24.0,,Shooting foul by T. Frazier (drawn by T. Lyles),28,26
117,2,9:24.0,,T. Lyles makes free throw 1 of 2,28,27
118,2,9:24.0,N. Mirotić enters the game for J. Okafor,,28,27
119,2,9:24.0,,M. Beasley enters the game for J. Hernangómez,28,27
120,2,9:24.0,,T. Lyles makes free throw 2 of 2,28,28
121,2,9:04.0,Turnover by J. Randle (lost ball; steal by M. Plumlee),,28,28
122,2,9:01.0,,Turnover by M. Plumlee (lost ball; steal by J. Randle),28,28
123,2,8:59.0,J. Randle makes 2-pt dunk from 1 ft,,30,28
124,2,8:30.0,,M. Morris misses 3-pt jump shot from 25 ft,30,28
125,2,8:27.0,,Offensive rebound by M. Plumlee,30,28
126,2,8:18.0,,T. Lyles misses 3-pt jump shot from 25 ft,30,28
127,2,8:18.0,Defensive rebound by I. Clark,,30,28
128,2,8:07.0,N. Mirotić misses 3-pt jump shot from 27 ft,,30,28
129,2,8:03.0,,Defensive rebound by M. Beasley,30,28
130,2,8:01.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Beasley),30,30
131,2,7:43.0,Turnover by E. Moore (lost ball; steal by M. Morris),,30,30
132,2,7:39.0,,J. Murray misses 2-pt layup from 3 ft (block by T. Frazier),30,30
133,2,7:39.0,,Offensive rebound by Team,30,30
134,2,7:39.0,J. Holiday enters the game for I. Clark,,30,30
135,2,7:39.0,F. Jackson enters the game for T. Frazier,,30,30
136,2,7:39.0,J. Okafor enters the game for J. Randle,,30,30
137,2,7:35.0,,M. Morris misses 2-pt jump shot from 14 ft,30,30
138,2,7:32.0,Defensive rebound by J. Holiday,,30,30
139,2,7:26.0,J. Holiday misses 2-pt jump shot from 12 ft,,30,30
140,2,7:23.0,,Defensive rebound by J. Murray,30,30
141,2,7:04.0,,T. Lyles makes 2-pt hook shot from 9 ft,30,32
142,2,6:41.0,J. Okafor misses 2-pt hook shot from 8 ft,,30,32
143,2,6:39.0,,Defensive rebound by M. Plumlee,30,32
144,2,6:22.0,,J. Murray misses 2-pt jump shot from 8 ft,30,32
145,2,6:17.0,,Offensive rebound by M. Plumlee,30,32
146,2,6:17.0,,M. Plumlee makes 2-pt layup from 1 ft,30,34
147,2,6:09.0,E. Moore misses 2-pt layup from 4 ft,,30,34
148,2,6:08.0,Offensive rebound by E. Moore,,30,34
149,2,6:07.0,E. Moore makes 2-pt layup from 1 ft,,32,34
150,2,6:06.0,,Denver full timeout,32,34
151,2,6:06.0,S. Hill enters the game for E. Moore,,32,34
152,2,6:06.0,,G. Harris enters the game for J. Murray,32,34
153,2,6:06.0,,N. Jokić enters the game for M. Plumlee,32,34
154,2,5:51.0,,T. Lyles makes 2-pt hook shot from 5 ft,32,36
155,2,5:38.0,Personal foul by N. Jokić (drawn by J. Holiday),,32,36
156,2,5:30.0,J. Holiday misses 2-pt layup from 2 ft,,32,36
157,2,5:25.0,Offensive rebound by J. Okafor,,32,36
158,2,5:25.0,J. Okafor makes 2-pt layup at rim,,34,36
159,2,5:10.0,,G. Harris misses 2-pt jump shot from 16 ft,34,36
160,2,5:08.0,Defensive rebound by J. Holiday,,34,36
161,2,5:01.0,N. Mirotić makes 2-pt layup from 3 ft (assist by J. Holiday),,36,36
162,2,4:47.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),36,38
163,2,4:38.0,F. Jackson misses 2-pt jump shot from 11 ft,,36,38
164,2,4:38.0,,Defensive rebound by Team,36,38
165,2,4:38.0,Loose ball foul by J. Okafor (drawn by N. Jokić),,36,38
166,2,4:38.0,J. Randle enters the game for J. Okafor,,36,38
167,2,4:38.0,,P. Millsap enters the game for T. Lyles,36,38
168,2,4:27.0,,M. Morris misses 3-pt jump shot from 23 ft,36,38
