,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ORLANDO_ACTION,NEW ORLEANS_SCORE,ORLANDO_SCORE
0,1,11:37.0,F. Jackson misses 3-pt jump shot from 23 ft,,0,0
1,1,11:33.0,Offensive rebound by K. Williams,,0,0
2,1,11:32.0,J. Randle misses 3-pt jump shot from 26 ft,,0,0
3,1,11:32.0,,Defensive rebound by N. Vučević,0,0
4,1,11:08.0,,A. Gordon misses 2-pt jump shot from 16 ft,0,0
5,1,11:05.0,Defensive rebound by E. Payton,,0,0
6,1,11:00.0,E. Payton misses 2-pt jump shot from 8 ft,,0,0
7,1,10:58.0,,Defensive rebound by N. Vučević,0,0
8,1,10:51.0,,N. Vučević misses 2-pt jump shot from 7 ft,0,0
9,1,10:51.0,Defensive rebound by Team,,0,0
10,1,10:43.0,F. Jackson misses 2-pt jump shot from 8 ft,,0,0
11,1,10:41.0,,Defensive rebound by A. Gordon,0,0
12,1,10:32.0,,D. Augustin misses 2-pt jump shot from 6 ft,0,0
13,1,10:29.0,,Offensive rebound by N. Vučević,0,0
14,1,10:26.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by A. Gordon),0,3
15,1,10:09.0,J. Randle misses 2-pt hook shot from 8 ft,,0,3
16,1,10:07.0,,Defensive rebound by A. Gordon,0,3
17,1,9:57.0,,Turnover by J. Isaac (lost ball; steal by K. Williams),0,3
18,1,9:52.0,K. Williams makes 2-pt layup from 1 ft,,2,3
19,1,9:38.0,,E. Fournier makes 2-pt layup from 3 ft (assist by A. Gordon),2,5
20,1,9:20.0,J. Okafor misses 2-pt jump shot from 8 ft,,2,5
21,1,9:17.0,,Defensive rebound by N. Vučević,2,5
22,1,9:08.0,,D. Augustin makes 2-pt jump shot from 11 ft,2,7
23,1,8:51.0,K. Williams misses 2-pt jump shot from 6 ft,,2,7
24,1,8:49.0,Offensive rebound by K. Williams,,2,7
25,1,8:48.0,K. Williams misses 2-pt layup from 3 ft,,2,7
26,1,8:46.0,,Defensive rebound by N. Vučević,2,7
27,1,8:41.0,,D. Augustin makes 2-pt layup from 2 ft,2,9
28,1,8:33.0,F. Jackson misses 2-pt layup from 1 ft,,2,9
29,1,8:33.0,,Defensive rebound by J. Isaac,2,9
30,1,8:27.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),2,12
31,1,8:18.0,New Orleans full timeout,,2,12
32,1,8:10.0,J. Okafor misses 2-pt layup from 5 ft,,2,12
33,1,8:08.0,,Defensive rebound by J. Isaac,2,12
34,1,8:00.0,,D. Augustin misses 3-pt jump shot from 29 ft,2,12
35,1,7:57.0,Defensive rebound by J. Randle,,2,12
36,1,7:41.0,E. Payton misses 2-pt jump shot from 7 ft (block by J. Isaac),,2,12
37,1,7:37.0,Offensive rebound by J. Okafor,,2,12
38,1,7:36.0,J. Okafor misses 2-pt jump shot from 6 ft,,2,12
39,1,7:34.0,Offensive rebound by K. Williams,,2,12
