,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
0,1,11:44.0,K. Love misses 2-pt jump shot from 14 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Leonard,0,0
2,1,11:24.0,,K. Leonard misses 2-pt jump shot from 21 ft,0,0
3,1,11:21.0,Defensive rebound by T. Thompson,,0,0
4,1,11:14.0,Shooting foul by P. Siakam (drawn by K. Love),,0,0
5,1,11:14.0,K. Love makes free throw 1 of 2,,1,0
6,1,11:14.0,K. Love makes free throw 2 of 2,,2,0
7,1,11:02.0,,K. Lowry makes 2-pt layup from 1 ft,2,2
8,1,10:50.0,K. Love misses 2-pt jump shot from 2 ft,,2,2
9,1,10:48.0,,Defensive rebound by J. Valančiūnas,2,2
10,1,10:44.0,,Turnover by K. Lowry (bad pass; steal by R. Hood),2,2
11,1,10:37.0,R. Hood misses 3-pt jump shot from 23 ft,,2,2
12,1,10:34.0,,Defensive rebound by J. Valančiūnas,2,2
13,1,10:30.0,,D. Green misses 3-pt jump shot from 26 ft,2,2
14,1,10:26.0,Defensive rebound by T. Thompson,,2,2
15,1,10:07.0,K. Love misses 3-pt jump shot from 26 ft,,2,2
16,1,10:03.0,Offensive rebound by R. Hood,,2,2
17,1,10:00.0,R. Hood makes 2-pt layup from 2 ft (assist by T. Thompson),,4,2
18,1,9:47.0,,K. Leonard misses 2-pt jump shot from 13 ft,4,2
19,1,9:41.0,,Offensive rebound by J. Valančiūnas,4,2
20,1,9:41.0,,J. Valančiūnas misses 2-pt layup from 1 ft,4,2
21,1,9:41.0,Defensive rebound by K. Love,,4,2
22,1,9:34.0,R. Hood makes 2-pt hook shot from 5 ft,,6,2
23,1,9:21.0,,Personal foul by R. Hood (drawn by K. Leonard),6,2
24,1,9:10.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),6,5
25,1,8:50.0,R. Hood misses 2-pt layup from 7 ft,,6,5
26,1,8:48.0,Offensive rebound by Team,,6,5
27,1,8:46.0,C. Osman misses 2-pt jump shot from 17 ft,,6,5
28,1,8:43.0,Offensive rebound by K. Love,,6,5
29,1,8:36.0,T. Thompson misses 2-pt layup from 1 ft (block by K. Lowry),,6,5
30,1,8:34.0,,Defensive rebound by J. Valančiūnas,6,5
31,1,8:31.0,,K. Leonard misses 2-pt jump shot from 12 ft,6,5
