,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:43.0,D. Mitchell misses 2-pt jump shot from 8 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Wiggins,0,0
2,1,11:34.0,,J. Okogie misses 3-pt jump shot from 23 ft,0,0
3,1,11:32.0,Defensive rebound by R. Gobert,,0,0
4,1,11:29.0,J. Ingles misses 3-pt jump shot from 23 ft,,0,0
5,1,11:27.0,Offensive rebound by D. Favors,,0,0
6,1,11:20.0,D. Mitchell makes 3-pt jump shot from 25 ft,,3,0
7,1,11:01.0,,D. Rose misses 2-pt jump shot from 4 ft,3,0
8,1,10:59.0,Defensive rebound by J. Ingles,,3,0
9,1,10:41.0,D. Mitchell misses 3-pt jump shot from 27 ft,,3,0
10,1,10:38.0,,Defensive rebound by K. Towns,3,0
11,1,10:17.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by K. Towns),3,3
12,1,10:00.0,J. Ingles makes 2-pt layup from 4 ft,,5,3
13,1,9:50.0,,D. Rose makes 2-pt layup from 1 ft (assist by T. Gibson),5,5
14,1,9:34.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,7,5
15,1,9:23.0,,Turnover by J. Okogie (bad pass; steal by D. Mitchell),7,5
16,1,9:18.0,R. Gobert makes 2-pt layup from 6 ft (assist by J. Ingles),,9,5
17,1,9:18.0,Shooting foul by T. Gibson (drawn by R. Gobert),,9,5
18,1,9:18.0,R. Gobert misses free throw 1 of 1,,9,5
19,1,9:18.0,,Defensive rebound by K. Towns,9,5
20,1,9:06.0,,A. Wiggins misses 2-pt jump shot from 15 ft,9,5
21,1,9:03.0,Defensive rebound by J. Ingles,,9,5
22,1,8:58.0,,Violation by Team (kicked ball),9,5
23,1,8:52.0,D. Mitchell misses 2-pt layup from 3 ft (block by J. Okogie),,9,5
24,1,8:49.0,,Defensive rebound by K. Towns,9,5
25,1,8:45.0,,Turnover by D. Rose (bad pass; steal by R. Rubio),9,5
26,1,8:40.0,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),,11,5
27,1,8:40.0,,Minnesota full timeout,11,5
28,1,8:26.0,,T. Gibson makes 2-pt jump shot from 19 ft (assist by D. Rose),11,7
29,1,8:05.0,D. Mitchell misses 2-pt jump shot from 18 ft,,11,7
30,1,8:02.0,,Defensive rebound by T. Gibson,11,7
31,1,7:58.0,,D. Rose makes 2-pt jump shot from 6 ft,11,9
32,1,7:58.0,,Shooting foul by R. Gobert (drawn by D. Rose),11,9
33,1,7:58.0,,D. Rose makes free throw 1 of 1,11,10
34,1,7:48.0,R. Rubio makes 2-pt jump shot from 8 ft,,13,10
35,1,7:45.0,,Personal foul by R. Rubio (drawn by D. Rose),13,10
36,1,7:42.0,,Turnover by A. Wiggins (bad pass; steal by R. Rubio),13,10
37,1,7:38.0,Turnover by R. Rubio (bad pass; steal by K. Towns),,13,10
38,1,7:33.0,,Turnover by J. Okogie (step out of bounds),13,10
39,1,7:18.0,D. Favors misses 3-pt jump shot from 22 ft,,13,10
40,1,7:15.0,,Defensive rebound by A. Wiggins,13,10
41,1,7:09.0,,A. Wiggins misses 2-pt jump shot from 12 ft,13,10
42,1,7:08.0,Defensive rebound by Team,,13,10
43,1,6:56.0,Turnover by D. Mitchell (bad pass; steal by D. Rose),,13,10
44,1,6:54.0,,Personal foul by J. Ingles (drawn by D. Rose),13,10
45,1,6:54.0,J. Crowder enters the game for D. Favors,,13,10
46,1,6:54.0,R. O'Neale enters the game for J. Ingles,,13,10
47,1,6:40.0,,T. Gibson misses 2-pt layup from 2 ft,13,10
48,1,6:37.0,Defensive rebound by R. O'Neale,,13,10
49,1,6:33.0,Turnover by R. Rubio (step out of bounds),,13,10
50,1,6:23.0,,Shooting foul by J. Crowder (drawn by D. Rose),13,10
51,1,6:23.0,,D. Rose misses free throw 1 of 2,13,10
52,1,6:23.0,,Offensive rebound by Team,13,10
53,1,6:23.0,,D. Rose misses free throw 2 of 2,13,10
54,1,6:20.0,Defensive rebound by R. Gobert,,13,10
55,1,6:13.0,Personal foul by J. Okogie (drawn by R. Rubio),,13,10
56,1,6:01.0,R. O'Neale makes 2-pt layup from 6 ft,,15,10
57,1,5:52.0,,Shooting foul by R. Gobert (drawn by D. Rose),15,10
58,1,5:52.0,,D. Rose makes free throw 1 of 2,15,11
59,1,5:52.0,D. Favors enters the game for R. Gobert,,15,11
60,1,5:52.0,,D. Rose makes free throw 2 of 2,15,12
61,1,5:42.0,D. Mitchell misses 2-pt jump shot from 7 ft,,15,12
62,1,5:40.0,,Defensive rebound by K. Towns,15,12
63,1,5:37.0,,T. Gibson makes 2-pt dunk at rim (assist by K. Towns),15,14
64,1,5:25.0,Turnover by R. Rubio (bad pass),,15,14
65,1,5:25.0,,J. Nunnally enters the game for A. Wiggins,15,14
66,1,5:04.0,,D. Rose misses 2-pt layup from 6 ft,15,14
67,1,5:02.0,Defensive rebound by D. Favors,,15,14
68,1,4:55.0,Turnover by J. Crowder (bad pass; steal by T. Gibson),,15,14
69,1,4:39.0,,K. Towns misses 2-pt jump shot from 20 ft,15,14
70,1,4:38.0,Defensive rebound by R. O'Neale,,15,14
71,1,4:31.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,18,14
72,1,4:12.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Nunnally),18,16
73,1,4:12.0,Utah full timeout,,18,16
74,1,4:02.0,D. Mitchell makes 2-pt jump shot from 17 ft,,20,16
75,1,3:37.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by J. Nunnally),20,19
76,1,3:37.0,D. Exum enters the game for R. O'Neale,,20,19
77,1,3:37.0,J. Ingles enters the game for R. Rubio,,20,19
78,1,3:19.0,J. Crowder misses 2-pt jump shot from 20 ft,,20,19
79,1,3:18.0,,Defensive rebound by D. Rose,20,19
80,1,3:13.0,,D. Rose makes 3-pt jump shot from 26 ft,20,22
81,1,2:57.0,D. Mitchell misses 3-pt jump shot from 26 ft,,20,22
82,1,2:56.0,,Defensive rebound by K. Towns,20,22
83,1,2:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by D. Rose),20,24
84,1,2:34.0,Turnover by J. Ingles (bad pass; steal by J. Okogie),,20,24
85,1,2:31.0,,J. Okogie makes 2-pt dunk from 1 ft,20,26
86,1,2:29.0,Utah full timeout,,20,26
87,1,2:29.0,G. Allen enters the game for D. Mitchell,,20,26
88,1,2:15.0,J. Crowder misses 3-pt jump shot from 25 ft,,20,26
89,1,2:13.0,,Defensive rebound by J. Nunnally,20,26
90,1,2:11.0,,Offensive foul by T. Gibson (drawn by D. Favors),20,26
91,1,2:11.0,,Turnover by T. Gibson (offensive foul),20,26
92,1,2:03.0,Personal foul by J. Nunnally (drawn by J. Crowder),,20,26
93,1,2:03.0,E. Udoh enters the game for D. Favors,,20,26
94,1,2:03.0,,G. Dieng enters the game for T. Gibson,20,26
95,1,2:03.0,,A. Tolliver enters the game for K. Towns,20,26
96,1,1:53.0,Shooting foul by G. Dieng (drawn by E. Udoh),,20,26
97,1,1:53.0,E. Udoh makes free throw 1 of 2,,21,26
98,1,1:53.0,E. Udoh misses free throw 2 of 2,,21,26
99,1,1:51.0,,Defensive rebound by G. Dieng,21,26
100,1,1:28.0,,D. Rose misses 2-pt jump shot from 15 ft,21,26
101,1,1:27.0,,Offensive rebound by J. Okogie,21,26
102,1,1:27.0,,J. Okogie makes 2-pt layup from 1 ft,21,28
103,1,1:09.0,J. Ingles misses 3-pt jump shot from 25 ft,,21,28
104,1,1:09.0,Offensive rebound by J. Crowder,,21,28
105,1,1:06.0,J. Crowder misses 2-pt layup from 3 ft,,21,28
106,1,1:04.0,,Defensive rebound by D. Rose,21,28
107,1,0:57.0,,D. Rose misses 2-pt layup from 3 ft,21,28
108,1,0:55.0,Defensive rebound by E. Udoh,,21,28
109,1,0:43.0,J. Crowder misses 3-pt jump shot from 25 ft,,21,28
110,1,0:40.0,,Defensive rebound by J. Okogie,21,28
111,1,0:38.0,,G. Dieng makes 2-pt layup from 1 ft (assist by D. Rose),21,30
112,1,0:32.0,Shooting foul by A. Tolliver (drawn by D. Exum),,21,30
113,1,0:32.0,D. Exum makes free throw 1 of 2,,22,30
114,1,0:32.0,D. Exum misses free throw 2 of 2,,22,30
115,1,0:31.0,,Defensive rebound by J. Nunnally,22,30
116,1,0:10.0,,J. Nunnally makes 2-pt layup from 2 ft (assist by D. Rose),22,32
117,1,0:00.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Exum),,25,32
118,2,11:48.0,,A. Wiggins makes 2-pt layup from 2 ft,25,34
119,2,11:48.0,,Shooting foul by E. Udoh (drawn by A. Wiggins),25,34
120,2,11:48.0,,A. Wiggins misses free throw 1 of 1,25,34
121,2,11:48.0,Defensive rebound by J. Crowder,,25,34
122,2,11:40.0,Personal foul by A. Wiggins (drawn by D. Exum),,25,34
123,2,11:40.0,R. Gobert enters the game for J. Crowder,,25,34
124,2,11:40.0,G. Niang enters the game for E. Udoh,,25,34
125,2,11:26.0,G. Niang misses 3-pt jump shot from 25 ft,,25,34
126,2,11:23.0,,Defensive rebound by A. Wiggins,25,34
127,2,11:14.0,,G. Dieng misses 2-pt jump shot from 10 ft,25,34
128,2,11:12.0,Defensive rebound by R. Gobert,,25,34
129,2,10:57.0,R. Gobert makes 2-pt dunk from 1 ft (assist by G. Niang),,27,34
130,2,10:46.0,,A. Wiggins makes 3-pt jump shot from 27 ft (assist by G. Dieng),27,37
131,2,10:25.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Exum),,29,37
132,2,10:11.0,,J. Nunnally misses 2-pt jump shot from 5 ft,29,37
133,2,10:10.0,,Offensive rebound by G. Dieng,29,37
134,2,10:10.0,,G. Dieng makes 2-pt layup from 1 ft,29,39
135,2,9:55.0,G. Niang makes 3-pt jump shot from 22 ft (assist by J. Ingles),,32,39
136,2,9:36.0,,G. Dieng misses 2-pt jump shot from 20 ft,32,39
137,2,9:33.0,Defensive rebound by R. Gobert,,32,39
138,2,9:21.0,D. Exum misses 3-pt jump shot from 25 ft,,32,39
139,2,9:16.0,Offensive rebound by R. Gobert,,32,39
140,2,9:12.0,G. Niang makes 3-pt jump shot from 25 ft (assist by G. Allen),,35,39
141,2,9:04.0,,Minnesota full timeout,35,39
142,2,9:04.0,,K. Towns enters the game for G. Dieng,35,39
143,2,8:58.0,,A. Wiggins makes 2-pt jump shot from 13 ft,35,41
144,2,8:45.0,D. Exum makes 2-pt layup from 2 ft,,37,41
