,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BROOKLYN_ACTION,ORLANDO_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,Turnover by D. Russell (bad pass; steal by D. Augustin),0,0
1,1,11:33.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by A. Gordon),,3,0
2,1,11:24.0,,J. Harris misses 3-pt jump shot from 26 ft,3,0
3,1,11:20.0,Defensive rebound by N. Vučević,,3,0
4,1,11:14.0,D. Augustin makes 2-pt layup from 3 ft,,5,0
5,1,10:58.0,,R. Kurucs misses 3-pt jump shot from 26 ft,5,0
6,1,10:55.0,Defensive rebound by A. Gordon,,5,0
7,1,10:49.0,A. Gordon misses 2-pt jump shot from 10 ft,,5,0
8,1,10:43.0,,Defensive rebound by J. Allen,5,0
9,1,10:38.0,,D. Russell misses 2-pt jump shot from 12 ft,5,0
10,1,10:36.0,Defensive rebound by N. Vučević,,5,0
11,1,10:25.0,E. Fournier makes 2-pt layup from 2 ft,,7,0
12,1,10:25.0,Shooting foul by R. Kurucs (drawn by E. Fournier),,7,0
13,1,10:25.0,E. Fournier makes free throw 1 of 1,,8,0
14,1,10:14.0,,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),8,2
15,1,9:58.0,N. Vučević misses 2-pt dunk from 3 ft,,8,2
16,1,9:56.0,,Defensive rebound by R. Kurucs,8,2
17,1,9:48.0,,Personal foul by A. Gordon (drawn by D. Russell),8,2
18,1,9:44.0,,D. Russell misses 2-pt layup from 3 ft (block by N. Vučević),8,2
19,1,9:44.0,,Offensive rebound by Team,8,2
20,1,9:37.0,,Shooting foul by E. Fournier (drawn by D. Russell),8,2
21,1,9:37.0,,D. Russell misses free throw 1 of 3,8,2
22,1,9:37.0,,Offensive rebound by Team,8,2
23,1,9:37.0,,D. Russell makes free throw 2 of 3,8,3
24,1,9:37.0,,D. Russell makes free throw 3 of 3,8,4
25,1,9:24.0,J. Isaac misses 2-pt jump shot from 7 ft,,8,4
26,1,9:22.0,,Defensive rebound by J. Allen,8,4
27,1,9:19.0,,Turnover by D. Russell (palming),8,4
28,1,9:11.0,N. Vučević misses 2-pt jump shot from 14 ft,,8,4
29,1,9:08.0,Offensive rebound by A. Gordon,,8,4
30,1,9:08.0,Turnover by A. Gordon (step out of bounds),,8,4
31,1,8:58.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Allen),8,7
32,1,8:41.0,A. Gordon misses 3-pt jump shot from 26 ft,,8,7
33,1,8:37.0,,Defensive rebound by D. Russell,8,7
34,1,8:35.0,,D. Russell makes 3-pt jump shot from 25 ft,8,10
35,1,8:13.0,N. Vučević makes 2-pt layup from 2 ft (assist by J. Isaac),,10,10
36,1,7:54.0,,T. Graham makes 3-pt jump shot from 26 ft (assist by J. Allen),10,13
37,1,7:41.0,D. Augustin makes 2-pt jump shot from 10 ft,,12,13
38,1,7:35.0,,R. Kurucs makes 2-pt dunk at rim (assist by D. Russell),12,15
39,1,7:35.0,Orlando full timeout,,12,15
40,1,7:25.0,E. Fournier misses 2-pt jump shot from 9 ft,,12,15
41,1,7:21.0,,Defensive rebound by R. Kurucs,12,15
42,1,7:17.0,,R. Kurucs misses 2-pt jump shot from 9 ft,12,15
43,1,7:13.0,,Offensive rebound by J. Allen,12,15
44,1,7:13.0,,J. Allen makes 2-pt dunk from 1 ft,12,17
45,1,7:00.0,A. Gordon makes 2-pt jump shot from 23 ft,,14,17
46,1,6:48.0,,J. Harris misses 2-pt layup from 2 ft (block by A. Gordon),14,17
47,1,6:44.0,Defensive rebound by D. Augustin,,14,17
48,1,6:39.0,D. Augustin misses 2-pt jump shot from 12 ft,,14,17
49,1,6:37.0,Offensive rebound by D. Augustin,,14,17
50,1,6:33.0,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),,16,17
51,1,6:19.0,,D. Russell misses 2-pt jump shot from 6 ft,16,17
52,1,6:19.0,Defensive rebound by E. Fournier,,16,17
53,1,6:12.0,Shooting foul by D. Russell (drawn by E. Fournier),,16,17
