,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,J. Butler misses 2-pt layup from 4 ft,0,0
1,1,11:39.0,,Offensive rebound by J. Butler,0,0
2,1,11:36.0,,J. Butler misses 3-pt jump shot from 24 ft,0,0
3,1,11:33.0,Defensive rebound by W. Johnson,,0,0
4,1,11:27.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,2,0
5,1,11:17.0,,B. Simmons misses 2-pt layup from 4 ft (block by A. Davis),2,0
6,1,11:14.0,Defensive rebound by A. Davis,,2,0
7,1,11:01.0,J. Holiday misses 2-pt jump shot from 13 ft,,2,0
8,1,10:58.0,,Defensive rebound by J. Embiid,2,0
9,1,10:52.0,,Shooting foul by W. Johnson (drawn by J. Redick),2,0
10,1,10:52.0,,J. Redick makes free throw 1 of 2,2,1
11,1,10:52.0,,J. Redick makes free throw 2 of 2,2,2
12,1,10:38.0,Turnover by J. Holiday (bad pass; steal by J. Butler),,2,2
13,1,10:32.0,,J. Embiid misses 2-pt layup from 5 ft (block by N. Mirotić),2,2
14,1,10:32.0,,Offensive rebound by Team,2,2
15,1,10:25.0,,W. Chandler misses 3-pt jump shot from 26 ft,2,2
16,1,10:20.0,Defensive rebound by N. Mirotić,,2,2
17,1,10:15.0,W. Johnson misses 3-pt jump shot from 25 ft,,2,2
18,1,10:12.0,,Defensive rebound by Team,2,2
19,1,9:55.0,,Turnover by J. Embiid (bad pass; steal by J. Holiday),2,2
20,1,9:52.0,Turnover by N. Mirotić (out of bounds lost ball),,2,2
21,1,9:41.0,,Shooting foul by N. Mirotić (drawn by J. Embiid),2,2
22,1,9:41.0,,J. Embiid makes free throw 1 of 2,2,3
23,1,9:41.0,,J. Embiid makes free throw 2 of 2,2,4
24,1,9:33.0,J. Holiday misses 2-pt layup from 3 ft,,2,4
25,1,9:31.0,,Defensive rebound by J. Embiid,2,4
26,1,9:25.0,,J. Redick misses 2-pt jump shot from 9 ft,2,4
27,1,9:24.0,,Offensive rebound by J. Embiid,2,4
28,1,9:24.0,,J. Embiid makes 2-pt layup from 3 ft,2,6
29,1,9:24.0,,Shooting foul by E. Moore (drawn by J. Embiid),2,6
30,1,9:24.0,,J. Embiid makes free throw 1 of 1,2,7
31,1,9:10.0,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),,4,7
32,1,9:01.0,,Turnover by B. Simmons (bad pass; steal by A. Davis),4,7
33,1,8:55.0,A. Davis misses 2-pt jump shot from 18 ft,,4,7
34,1,8:53.0,,Defensive rebound by J. Butler,4,7
35,1,8:42.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Butler),4,10
36,1,8:33.0,E. Moore misses 2-pt layup from 3 ft,,4,10
37,1,8:33.0,,Defensive rebound by B. Simmons,4,10
38,1,8:17.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),4,12
39,1,8:13.0,New Orleans full timeout,,4,12
40,1,8:08.0,Personal foul by W. Chandler (drawn by J. Holiday),,4,12
41,1,7:56.0,J. Holiday misses 3-pt jump shot from 27 ft,,4,12
42,1,7:54.0,,Defensive rebound by J. Butler,4,12
43,1,7:42.0,,J. Embiid misses 2-pt layup from 3 ft,4,12
44,1,7:40.0,Defensive rebound by A. Davis,,4,12
45,1,7:36.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Holiday),,7,12
46,1,7:25.0,,J. Redick misses 3-pt jump shot from 26 ft,7,12
47,1,7:23.0,,Offensive rebound by J. Embiid,7,12
48,1,7:18.0,,J. Embiid makes 2-pt layup from 2 ft,7,14
49,1,7:18.0,,Shooting foul by A. Davis (drawn by J. Embiid),7,14
50,1,7:18.0,,J. Embiid makes free throw 1 of 1,7,15
51,1,6:57.0,W. Johnson misses 2-pt layup from 2 ft,,7,15
52,1,6:54.0,Offensive rebound by N. Mirotić,,7,15
