,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:47.0,,E. Fournier makes 2-pt jump shot from 10 ft (assist by N. Vučević),0,2
1,1,11:31.0,Shooting foul by D. Augustin (drawn by E. Bledsoe),,0,2
2,1,11:31.0,E. Bledsoe misses free throw 1 of 2,,0,2
3,1,11:31.0,Offensive rebound by Team,,0,2
4,1,11:31.0,E. Bledsoe makes free throw 2 of 2,,1,2
5,1,11:19.0,,E. Fournier misses 2-pt jump shot from 10 ft (block by B. Lopez),1,2
6,1,11:19.0,,Offensive rebound by Team,1,2
7,1,11:11.0,,N. Vučević misses 2-pt jump shot from 13 ft,1,2
8,1,11:06.0,Defensive rebound by G. Antetokounmpo,,1,2
9,1,10:55.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Isaac),,1,2
10,1,10:39.0,,J. Isaac makes 2-pt jump shot from 10 ft (assist by D. Augustin),1,4
11,1,10:30.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,4,4
12,1,10:06.0,,Turnover by Team (shot clock),4,4
13,1,9:52.0,B. Lopez misses 3-pt jump shot from 25 ft,,4,4
14,1,9:50.0,,Defensive rebound by N. Vučević,4,4
15,1,9:45.0,,N. Vučević misses 3-pt jump shot from 26 ft,4,4
16,1,9:42.0,Defensive rebound by E. Bledsoe,,4,4
17,1,9:37.0,Shooting foul by J. Isaac (drawn by G. Antetokounmpo),,4,4
18,1,9:37.0,G. Antetokounmpo makes free throw 1 of 2,,5,4
19,1,9:37.0,G. Antetokounmpo makes free throw 2 of 2,,6,4
20,1,9:27.0,,N. Vučević misses 2-pt layup from 4 ft (block by B. Lopez),6,4
21,1,9:24.0,,Offensive rebound by J. Isaac,6,4
22,1,9:21.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by J. Isaac),6,7
23,1,9:16.0,Personal foul by J. Isaac (drawn by G. Antetokounmpo),,6,7
24,1,9:08.0,K. Middleton misses 2-pt jump shot from 14 ft,,6,7
25,1,9:05.0,,Defensive rebound by E. Fournier,6,7
26,1,8:58.0,,N. Vučević misses 2-pt hook shot from 10 ft,6,7
27,1,8:55.0,Defensive rebound by M. Brogdon,,6,7
28,1,8:46.0,K. Middleton misses 2-pt jump shot from 11 ft,,6,7
29,1,8:42.0,,Defensive rebound by J. Isaac,6,7
