,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,D. Rose makes 2-pt jump shot from 16 ft (assist by J. Butler),,2,0
1,1,11:24.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by D. Gallinari),2,3
2,1,11:07.0,J. Butler misses 2-pt jump shot from 14 ft,,2,3
3,1,11:07.0,,Defensive rebound by B. Marjanović,2,3
4,1,10:54.0,,T. Harris misses 3-pt jump shot from 26 ft,2,3
5,1,10:49.0,Defensive rebound by J. Butler,,2,3
6,1,10:37.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Butler),,4,3
7,1,10:25.0,,T. Harris misses 2-pt layup from 2 ft (block by K. Towns),4,3
8,1,10:22.0,Defensive rebound by T. Gibson,,4,3
9,1,10:10.0,T. Gibson misses 2-pt jump shot from 18 ft,,4,3
10,1,10:06.0,,Defensive rebound by T. Harris,4,3
11,1,9:48.0,,P. Beverley makes 2-pt layup from 3 ft,4,5
12,1,9:41.0,D. Rose makes 3-pt jump shot from 26 ft,,7,5
13,1,9:19.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by B. Marjanović),7,7
14,1,9:19.0,,Shooting foul by A. Wiggins (drawn by D. Gallinari),7,7
15,1,9:19.0,,D. Gallinari makes free throw 1 of 1,7,8
16,1,9:03.0,A. Wiggins misses 3-pt jump shot from 27 ft,,7,8
17,1,9:01.0,,Defensive rebound by P. Beverley,7,8
18,1,8:50.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by D. Gallinari),7,11
19,1,8:42.0,Shooting foul by B. Marjanović (drawn by A. Wiggins),,7,11
20,1,8:42.0,A. Wiggins makes free throw 1 of 2,,8,11
21,1,8:42.0,A. Wiggins makes free throw 2 of 2,,9,11
22,1,8:29.0,,B. Marjanović makes 2-pt hook shot from 6 ft (assist by S. Gilgeous-Alexander),9,13
23,1,8:18.0,D. Rose misses 2-pt jump shot from 22 ft,,9,13
24,1,8:14.0,Offensive rebound by D. Rose,,9,13
25,1,8:13.0,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,12,13
26,1,7:48.0,,B. Marjanović misses 2-pt layup from 2 ft,12,13
