,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:43.0,N. Bjelica misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Jackson,0,0
2,1,11:26.0,,Turnover by T. Ariza (bad pass; steal by W. Cauley-Stein),0,0
3,1,11:18.0,D. Fox misses 2-pt jump shot from 8 ft,,0,0
4,1,11:17.0,Offensive rebound by N. Bjelica,,0,0
5,1,11:15.0,N. Bjelica makes 2-pt layup at rim,,2,0
6,1,10:57.0,,Turnover by J. Jackson (bad pass; steal by W. Cauley-Stein),2,0
7,1,10:51.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,5,0
8,1,10:29.0,,D. Ayton makes 2-pt dunk at rim (assist by J. Jackson),5,2
9,1,10:23.0,W. Cauley-Stein makes 2-pt jump shot from 1 ft (assist by D. Fox),,7,2
10,1,10:05.0,,T. Ariza misses 3-pt jump shot from 25 ft,7,2
11,1,10:03.0,Defensive rebound by B. Hield,,7,2
12,1,9:56.0,Turnover by B. Hield (bad pass),,7,2
13,1,9:39.0,,Turnover by J. Jackson (traveling),7,2
14,1,9:32.0,B. Hield misses 2-pt layup from 1 ft,,7,2
15,1,9:30.0,Offensive rebound by B. Hield,,7,2
16,1,9:25.0,I. Shumpert misses 3-pt jump shot from 23 ft,,7,2
17,1,9:22.0,,Defensive rebound by E. Okobo,7,2
18,1,9:11.0,,J. Jackson misses 3-pt jump shot from 23 ft,7,2
19,1,9:08.0,Defensive rebound by W. Cauley-Stein,,7,2
20,1,9:03.0,D. Fox misses 2-pt jump shot from 16 ft,,7,2
21,1,9:01.0,,Defensive rebound by D. Ayton,7,2
22,1,8:57.0,,Turnover by E. Okobo (bad pass),7,2
23,1,8:49.0,Shooting foul by T. Ariza (drawn by D. Fox),,7,2
24,1,8:49.0,D. Fox misses free throw 1 of 2,,7,2
25,1,8:49.0,Offensive rebound by Team,,7,2
26,1,8:49.0,D. Fox makes free throw 2 of 2,,8,2
27,1,8:25.0,,Turnover by J. Jackson (bad pass; steal by W. Cauley-Stein),8,2
28,1,8:22.0,B. Hield makes 2-pt dunk from 1 ft (assist by I. Shumpert),,10,2
29,1,8:22.0,,Phoenix full timeout,10,2
30,1,8:22.0,,J. Crawford enters the game for D. Ayton,10,2
31,1,8:22.0,,R. Holmes enters the game for J. Jackson,10,2
32,1,8:09.0,,Turnover by M. Bridges (bad pass; steal by W. Cauley-Stein),10,2
33,1,8:05.0,Turnover by W. Cauley-Stein (bad pass; steal by M. Bridges),,10,2
34,1,7:57.0,,T. Ariza misses 2-pt layup from 2 ft (block by N. Bjelica),10,2
35,1,7:54.0,,Offensive rebound by J. Crawford,10,2
36,1,7:47.0,,E. Okobo misses 3-pt jump shot from 25 ft,10,2
37,1,7:45.0,Defensive rebound by N. Bjelica,,10,2
38,1,7:41.0,B. Hield misses 2-pt layup from 1 ft,,10,2
39,1,7:39.0,,Defensive rebound by E. Okobo,10,2
40,1,7:27.0,,M. Bridges misses 2-pt layup from 2 ft,10,2
41,1,7:25.0,Defensive rebound by W. Cauley-Stein,,10,2
