,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHOENIX_ACTION,OKLAHOMA CITY_SCORE,PHOENIX_SCORE
0,1,11:35.0,S. Adams makes 2-pt hook shot from 7 ft,,2,0
1,1,11:18.0,,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Booker),2,3
2,1,10:59.0,S. Adams makes 2-pt layup from 1 ft,,4,3
3,1,10:33.0,,I. Canaan makes 3-pt jump shot from 26 ft (assist by T. Warren),4,6
4,1,10:13.0,J. Grant makes 3-pt jump shot from 23 ft (assist by H. Diallo),,7,6
5,1,9:50.0,,D. Ayton makes 2-pt jump shot from 12 ft (assist by M. Bridges),7,8
6,1,9:29.0,Turnover by P. George (lost ball; steal by M. Bridges),,7,8
7,1,9:23.0,,D. Ayton misses 2-pt layup at rim,7,8
8,1,9:20.0,Defensive rebound by S. Adams,,7,8
9,1,9:18.0,P. George misses 3-pt jump shot from 26 ft,,7,8
10,1,9:14.0,Offensive rebound by H. Diallo,,7,8
11,1,9:07.0,D. Schröder makes 2-pt jump shot from 19 ft,,9,8
12,1,8:49.0,,M. Bridges misses 3-pt jump shot from 26 ft,9,8
13,1,8:45.0,Defensive rebound by J. Grant,,9,8
14,1,8:35.0,S. Adams misses 2-pt hook shot from 11 ft,,9,8
15,1,8:32.0,,Defensive rebound by T. Warren,9,8
16,1,8:13.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Ayton),9,11
17,1,8:01.0,Offensive foul by S. Adams (drawn by M. Bridges),,9,11
18,1,8:01.0,Turnover by S. Adams (offensive foul),,9,11
19,1,7:49.0,,D. Booker misses 3-pt jump shot from 26 ft,9,11
20,1,7:46.0,Defensive rebound by P. George,,9,11
21,1,7:42.0,Shooting foul by D. Booker (drawn by H. Diallo),,9,11
22,1,7:42.0,H. Diallo misses free throw 1 of 2,,9,11
23,1,7:42.0,Offensive rebound by Team,,9,11
24,1,7:42.0,H. Diallo makes free throw 2 of 2,,10,11
25,1,7:18.0,,D. Ayton misses 3-pt jump shot from 23 ft,10,11
26,1,7:15.0,Defensive rebound by D. Schröder,,10,11
27,1,7:11.0,Shooting foul by M. Bridges (drawn by P. George),,10,11
28,1,7:11.0,P. George makes free throw 1 of 2,,11,11
29,1,7:11.0,P. George makes free throw 2 of 2,,12,11
30,1,7:07.0,,Phoenix full timeout,12,11
31,1,6:59.0,,D. Ayton makes 2-pt jump shot from 10 ft (assist by D. Booker),12,13
32,1,6:43.0,Turnover by D. Schröder (bad pass; steal by T. Warren),,12,13
33,1,6:40.0,,T. Warren makes 2-pt layup at rim,12,15
34,1,6:24.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Grant),,15,15
35,1,6:04.0,,D. Ayton misses 2-pt layup at rim,15,15
36,1,6:01.0,Defensive rebound by J. Grant,,15,15
37,1,5:47.0,S. Adams makes 2-pt layup from 1 ft,,17,15
38,1,5:35.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),17,17
39,1,5:20.0,Turnover by P. George (lost ball; steal by I. Canaan),,17,17
40,1,5:12.0,,Offensive foul by T. Warren (drawn by J. Grant),17,17
41,1,5:12.0,,Turnover by T. Warren (offensive foul),17,17
42,1,5:12.0,Oklahoma City full timeout,,17,17
43,1,5:12.0,D. Burton enters the game for H. Diallo,,17,17
44,1,5:12.0,,R. Holmes enters the game for D. Ayton,17,17
45,1,5:12.0,,J. Jackson enters the game for M. Bridges,17,17
46,1,4:58.0,Turnover by D. Burton (bad pass),,17,17
47,1,4:40.0,,Turnover by J. Jackson (bad pass; steal by P. George),17,17
48,1,4:25.0,S. Adams misses 2-pt layup at rim,,17,17
49,1,4:22.0,,Defensive rebound by J. Jackson,17,17
50,1,4:20.0,,Shooting foul by D. Burton (drawn by J. Jackson),17,17
51,1,4:20.0,,J. Jackson misses free throw 1 of 2,17,17
52,1,4:20.0,,Offensive rebound by Team,17,17
53,1,4:20.0,N. Noel enters the game for S. Adams,,17,17
54,1,4:20.0,,J. Jackson makes free throw 2 of 2,17,18
55,1,4:08.0,J. Grant misses 2-pt layup from 6 ft,,17,18
