,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BROOKLYN_ACTION,NEW YORK_SCORE,BROOKLYN_SCORE
0,1,11:44.0,T. Hardaway makes 2-pt layup from 2 ft (assist by F. Ntilikina),,2,0
1,1,11:25.0,,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),2,2
2,1,11:03.0,T. Hardaway misses 2-pt jump shot from 6 ft,,2,2
3,1,10:57.0,,Defensive rebound by J. Allen,2,2
4,1,10:57.0,,Turnover by J. Allen (bad pass; steal by F. Ntilikina),2,2
5,1,10:48.0,T. Burke misses 2-pt jump shot from 15 ft,,2,2
6,1,10:48.0,,Defensive rebound by J. Dudley,2,2
7,1,10:38.0,,C. LeVert makes 2-pt jump shot from 13 ft,2,4
8,1,10:16.0,E. Freedom misses 2-pt layup from 3 ft (block by J. Allen),,2,4
9,1,10:13.0,,Defensive rebound by J. Dudley,2,4
10,1,10:03.0,,C. LeVert makes 2-pt jump shot from 6 ft,2,6
11,1,9:44.0,Shooting foul by J. Dudley (drawn by T. Hardaway),,2,6
12,1,9:44.0,T. Hardaway makes free throw 1 of 2,,3,6
13,1,9:44.0,T. Hardaway makes free throw 2 of 2,,4,6
14,1,9:29.0,,Shooting foul by E. Freedom (drawn by C. LeVert),4,6
15,1,9:29.0,,C. LeVert makes free throw 1 of 2,4,7
16,1,9:29.0,,C. LeVert makes free throw 2 of 2,4,8
17,1,9:15.0,E. Freedom misses 2-pt hook shot from 4 ft,,4,8
18,1,9:13.0,,Defensive rebound by D. Russell,4,8
19,1,9:06.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),4,11
20,1,8:47.0,E. Freedom makes 2-pt jump shot from 3 ft,,6,11
21,1,8:22.0,,J. Dudley makes 2-pt jump shot from 7 ft (assist by C. LeVert),6,13
22,1,8:07.0,E. Freedom misses 3-pt jump shot from 25 ft,,6,13
23,1,8:04.0,,Defensive rebound by C. LeVert,6,13
24,1,7:58.0,,Turnover by C. LeVert (bad pass; steal by T. Hardaway),6,13
25,1,7:39.0,L. Thomas misses 2-pt jump shot from 13 ft,,6,13
26,1,7:37.0,Offensive rebound by E. Freedom,,6,13
27,1,7:37.0,E. Freedom makes 2-pt layup at rim,,8,13
28,1,7:37.0,Shooting foul by J. Harris (drawn by E. Freedom),,8,13
29,1,7:37.0,E. Freedom makes free throw 1 of 1,,9,13
30,1,7:17.0,,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),9,15
31,1,7:02.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,9,15
32,1,6:59.0,,Defensive rebound by D. Russell,9,15
33,1,6:53.0,,D. Russell misses 2-pt jump shot from 7 ft,9,15
34,1,6:50.0,,Offensive rebound by J. Allen,9,15
35,1,6:46.0,,Turnover by J. Allen (bad pass; steal by T. Hardaway),9,15
36,1,6:43.0,T. Hardaway misses 2-pt layup from 2 ft,,9,15
37,1,6:41.0,,Defensive rebound by J. Harris,9,15
38,1,6:32.0,,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),9,17
39,1,6:24.0,New York full timeout,,9,17
40,1,6:10.0,T. Hardaway misses 2-pt layup from 4 ft (block by J. Allen),,9,17
41,1,6:06.0,,Defensive rebound by J. Harris,9,17
42,1,6:04.0,,Turnover by J. Harris (lost ball; steal by T. Hardaway),9,17
43,1,6:00.0,Turnover by T. Hardaway (bad pass; steal by D. Russell),,9,17
44,1,5:56.0,,J. Dudley makes 2-pt layup from 1 ft (assist by J. Harris),9,19
45,1,5:37.0,E. Freedom makes 2-pt hook shot from 5 ft,,11,19
46,1,5:27.0,,Turnover by D. Russell (bad pass; steal by F. Ntilikina),11,19
47,1,5:20.0,E. Freedom makes 2-pt layup from 1 ft (assist by T. Burke),,13,19
48,1,5:20.0,Shooting foul by C. LeVert (drawn by E. Freedom),,13,19
49,1,5:20.0,,Brooklyn full timeout,13,19
50,1,5:20.0,A. Trier enters the game for F. Ntilikina,,13,19
51,1,5:20.0,,S. Dinwiddie enters the game for J. Dudley,13,19
52,1,5:20.0,,T. Graham enters the game for J. Harris,13,19
53,1,5:20.0,E. Freedom makes free throw 1 of 1,,14,19
54,1,5:03.0,,J. Allen makes 2-pt dunk from 2 ft (assist by C. LeVert),14,21
55,1,4:50.0,T. Hardaway makes 2-pt layup from 2 ft (assist by L. Thomas),,16,21
56,1,4:50.0,Shooting foul by C. LeVert (drawn by T. Hardaway),,16,21
57,1,4:50.0,,E. Davis enters the game for J. Allen,16,21
58,1,4:50.0,T. Hardaway makes free throw 1 of 1,,17,21
59,1,4:30.0,,D. Russell misses 2-pt hook shot from 6 ft,17,21
60,1,4:21.0,,Offensive rebound by E. Davis,17,21
61,1,4:21.0,,E. Davis makes 2-pt layup from 1 ft,17,23
62,1,4:15.0,T. Burke makes 3-pt jump shot from 26 ft,,20,23
63,1,3:55.0,,C. LeVert misses 2-pt layup from 2 ft,20,23
64,1,3:51.0,Defensive rebound by E. Freedom,,20,23
65,1,3:42.0,T. Hardaway misses 3-pt jump shot from 23 ft,,20,23
