,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
0,1,11:44.0,,T. Hardaway makes 2-pt layup from 3 ft,0,2
1,1,11:30.0,K. Durant makes 2-pt jump shot from 16 ft (assist by S. Curry),,2,2
2,1,11:10.0,,Turnover by F. Ntilikina (turnover),2,2
3,1,11:10.0,,Loose ball foul by F. Ntilikina (drawn by K. Thompson),2,2
4,1,11:00.0,K. Durant misses 3-pt jump shot from 26 ft,,2,2
5,1,10:59.0,,Defensive rebound by Team,2,2
6,1,10:50.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by N. Vonleh),2,5
7,1,10:35.0,Turnover by S. Curry (bad pass),,2,5
8,1,10:20.0,,F. Ntilikina makes 3-pt jump shot from 26 ft,2,8
9,1,9:58.0,D. Jones makes 2-pt layup at rim (assist by K. Thompson),,4,8
10,1,9:51.0,,T. Hardaway misses 3-pt jump shot from 26 ft,4,8
11,1,9:50.0,Defensive rebound by Team,,4,8
12,1,9:38.0,K. Durant makes 2-pt jump shot from 19 ft (assist by D. Jones),,6,8
13,1,9:22.0,,T. Hardaway misses 2-pt layup from 2 ft (block by D. Jones),6,8
14,1,9:20.0,,Offensive rebound by N. Vonleh,6,8
15,1,9:15.0,,N. Vonleh makes 2-pt hook shot from 7 ft,6,10
16,1,9:01.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,8,10
17,1,8:45.0,,F. Ntilikina misses 2-pt layup from 1 ft (block by D. Jones),8,10
18,1,8:44.0,,Offensive rebound by Team,8,10
19,1,8:38.0,,Turnover by T. Hardaway (lost ball; steal by D. Jones),8,10
20,1,8:35.0,K. Durant makes 2-pt dunk at rim (assist by D. Jones),,10,10
21,1,8:21.0,,Personal foul by D. Green (drawn by D. Dotson),10,10
22,1,8:14.0,,N. Vonleh makes 3-pt jump shot from 24 ft (assist by T. Hardaway),10,13
23,1,8:08.0,Shooting foul by D. Dotson (drawn by D. Jones),,10,13
24,1,8:08.0,D. Jones misses free throw 1 of 2,,10,13
25,1,8:08.0,Offensive rebound by Team,,10,13
26,1,8:08.0,D. Jones misses free throw 2 of 2,,10,13
27,1,8:06.0,,Defensive rebound by N. Vonleh,10,13
28,1,7:48.0,,T. Hardaway makes 3-pt jump shot from 29 ft,10,16
29,1,7:35.0,K. Thompson misses 2-pt jump shot from 5 ft,,10,16
30,1,7:33.0,,Defensive rebound by D. Dotson,10,16
31,1,7:22.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,10,16
32,1,7:20.0,,Offensive rebound by M. Robinson,10,16
33,1,7:15.0,,T. Hardaway misses 3-pt jump shot from 32 ft,10,16
34,1,7:13.0,Defensive rebound by K. Durant,,10,16
35,1,6:59.0,K. Thompson misses 3-pt jump shot from 22 ft,,10,16
36,1,6:57.0,,Defensive rebound by N. Vonleh,10,16
