,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:43.0,,T. Young misses 2-pt jump shot from 18 ft,0,0
1,1,11:40.0,Defensive rebound by J. Embiid,,0,0
2,1,11:29.0,Turnover by M. Fultz (bad pass; steal by B. Bogdanović),,0,0
3,1,11:26.0,,Turnover by T. Young (bad pass; steal by M. Fultz),0,0
4,1,11:23.0,B. Simmons makes 2-pt dunk from 1 ft,,2,0
5,1,11:08.0,,M. Turner misses 2-pt hook shot from 6 ft,2,0
6,1,11:05.0,Defensive rebound by B. Simmons,,2,0
7,1,11:01.0,M. Fultz misses 2-pt layup from 1 ft,,2,0
8,1,10:58.0,,Defensive rebound by T. Young,2,0
9,1,10:45.0,,Turnover by T. Young (traveling),2,0
10,1,10:38.0,Personal foul by B. Bogdanović (drawn by B. Simmons),,2,0
11,1,10:28.0,J. Embiid makes 2-pt dunk from 2 ft,,4,0
12,1,10:12.0,,M. Turner misses 2-pt layup from 5 ft,4,0
13,1,10:11.0,Defensive rebound by Team,,4,0
14,1,10:00.0,M. Fultz makes 2-pt layup from 2 ft,,6,0
15,1,9:42.0,,V. Oladipo makes 2-pt jump shot from 19 ft,6,2
16,1,9:21.0,J. Embiid makes 2-pt layup from 1 ft,,8,2
17,1,9:14.0,,Turnover by T. Young (lost ball; steal by J. Embiid),8,2
18,1,9:08.0,D. Šarić makes 2-pt layup from 4 ft (assist by B. Simmons),,10,2
19,1,8:55.0,,D. Collison misses 2-pt jump shot from 17 ft,10,2
20,1,8:52.0,,Offensive rebound by T. Young,10,2
21,1,8:38.0,,Turnover by Team (shot clock),10,2
22,1,8:30.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),,13,2
23,1,8:21.0,,Indiana full timeout,13,2
24,1,8:12.0,,Turnover by D. Collison (bad pass; steal by M. Fultz),13,2
25,1,8:09.0,R. Covington misses 3-pt jump shot from 25 ft,,13,2
26,1,8:05.0,,Defensive rebound by M. Turner,13,2
27,1,7:53.0,,V. Oladipo misses 2-pt jump shot from 19 ft,13,2
28,1,7:50.0,Defensive rebound by B. Simmons,,13,2
29,1,7:31.0,Turnover by J. Embiid (bad pass; steal by V. Oladipo),,13,2
30,1,7:29.0,,V. Oladipo makes 2-pt layup from 1 ft,13,4
31,1,7:19.0,B. Simmons makes 2-pt jump shot from 7 ft,,15,4
32,1,7:06.0,,V. Oladipo misses 3-pt jump shot from 27 ft,15,4
33,1,7:02.0,Defensive rebound by J. Embiid,,15,4
34,1,6:56.0,J. Embiid misses 3-pt jump shot from 26 ft,,15,4
35,1,6:53.0,Offensive rebound by Team,,15,4
36,1,6:53.0,A. Johnson enters the game for J. Embiid,,15,4
37,1,6:53.0,J. Redick enters the game for M. Fultz,,15,4
38,1,6:53.0,,D. Sabonis enters the game for T. Young,15,4
39,1,6:46.0,B. Simmons misses 2-pt jump shot from 9 ft,,15,4
40,1,6:43.0,,Defensive rebound by V. Oladipo,15,4
41,1,6:33.0,,D. Sabonis misses 2-pt hook shot from 4 ft,15,4
42,1,6:31.0,Defensive rebound by D. Šarić,,15,4
43,1,6:24.0,A. Johnson makes 2-pt layup at rim (assist by D. Šarić),,17,4
44,1,6:06.0,,D. Collison misses 2-pt jump shot from 17 ft,17,4
45,1,6:02.0,Defensive rebound by A. Johnson,,17,4
46,1,5:55.0,B. Simmons makes 2-pt dunk from 1 ft,,19,4
47,1,5:43.0,,V. Oladipo makes 2-pt layup at rim (assist by D. Sabonis),19,6
48,1,5:43.0,,Shooting foul by A. Johnson (drawn by V. Oladipo),19,6
49,1,5:43.0,,T. Evans enters the game for B. Bogdanović,19,6
50,1,5:43.0,,C. Joseph enters the game for D. Collison,19,6
51,1,5:43.0,,V. Oladipo makes free throw 1 of 1,19,7
52,1,5:35.0,Turnover by A. Johnson (bad pass; steal by M. Turner),,19,7
53,1,5:30.0,,T. Evans misses 2-pt layup at rim,19,7
54,1,5:30.0,Defensive rebound by Team,,19,7
55,1,5:14.0,A. Johnson misses 2-pt jump shot from 7 ft,,19,7
56,1,5:11.0,,Defensive rebound by D. Sabonis,19,7
57,1,4:59.0,,Shooting foul by B. Simmons (drawn by D. Sabonis),19,7
58,1,4:59.0,,D. Sabonis makes free throw 1 of 2,19,8
59,1,4:59.0,W. Chandler enters the game for R. Covington,,19,8
60,1,4:59.0,,D. Sabonis makes free throw 2 of 2,19,9
61,1,4:42.0,Turnover by A. Johnson (bad pass),,19,9
62,1,4:36.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by C. Joseph),19,12
63,1,4:23.0,Shooting foul by C. Joseph (drawn by J. Redick),,19,12
64,1,4:23.0,J. Redick makes free throw 1 of 2,,20,12
65,1,4:23.0,J. Redick makes free throw 2 of 2,,21,12
66,1,4:23.0,J. Embiid enters the game for A. Johnson,,21,12
67,1,4:08.0,,V. Oladipo misses 2-pt jump shot from 10 ft,21,12
68,1,4:04.0,Defensive rebound by J. Embiid,,21,12
69,1,3:59.0,D. Šarić misses 2-pt layup from 6 ft (block by V. Oladipo),,21,12
70,1,3:59.0,,Defensive rebound by Team,21,12
71,1,3:47.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),21,14
72,1,3:41.0,Philadelphia full timeout,,21,14
73,1,3:36.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Redick),,23,14
74,1,3:11.0,,V. Oladipo makes 3-pt jump shot from 26 ft,23,17
75,1,2:59.0,Turnover by J. Redick (bad pass; steal by C. Joseph),,23,17
76,1,2:51.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by C. Joseph),23,19
77,1,2:45.0,W. Chandler misses 3-pt jump shot from 29 ft,,23,19
78,1,2:44.0,,Defensive rebound by Team,23,19
79,1,2:44.0,Loose ball foul by J. Embiid (drawn by C. Joseph),,23,19
80,1,2:44.0,R. Covington enters the game for D. Šarić,,23,19
81,1,2:44.0,M. Fultz enters the game for B. Simmons,,23,19
82,1,2:33.0,,M. Turner misses 2-pt hook shot from 6 ft (block by R. Covington),23,19
83,1,2:30.0,Defensive rebound by M. Fultz,,23,19
84,1,2:20.0,Shooting foul by M. Turner (drawn by J. Embiid),,23,19
85,1,2:20.0,,D. McDermott enters the game for V. Oladipo,23,19
86,1,2:20.0,,K. O'Quinn enters the game for M. Turner,23,19
87,1,2:20.0,J. Embiid misses free throw 1 of 2,,23,19
88,1,2:20.0,Offensive rebound by Team,,23,19
89,1,2:20.0,J. Embiid makes free throw 2 of 2,,24,19
90,1,2:04.0,,Def 3 sec tech foul by Team,24,19
91,1,2:04.0,,D. McDermott misses technical free throw,24,19
92,1,2:04.0,,Offensive rebound by Team,24,19
93,1,1:56.0,,K. O'Quinn misses 2-pt jump shot from 19 ft,24,19
94,1,1:53.0,Defensive rebound by M. Fultz,,24,19
95,1,1:40.0,Personal foul by K. O'Quinn (drawn by J. Embiid),,24,19
96,1,1:27.0,J. Embiid makes 2-pt layup from 2 ft,,26,19
97,1,1:12.0,,K. O'Quinn misses 3-pt jump shot from 23 ft,26,19
98,1,1:08.0,Defensive rebound by W. Chandler,,26,19
99,1,1:04.0,M. Fultz misses 2-pt layup from 2 ft,,26,19
100,1,0:59.0,,Defensive rebound by K. O'Quinn,26,19
101,1,0:57.0,,T. Evans makes 2-pt layup at rim (assist by K. O'Quinn),26,21
102,1,0:39.0,Shooting foul by D. Sabonis (drawn by M. Fultz),,26,21
103,1,0:39.0,M. Fultz misses free throw 1 of 2,,26,21
104,1,0:39.0,Offensive rebound by Team,,26,21
105,1,0:39.0,,B. Bogdanović enters the game for K. O'Quinn,26,21
106,1,0:39.0,M. Fultz makes free throw 2 of 2,,27,21
107,1,0:23.0,,D. Sabonis misses 2-pt layup from 1 ft (block by J. Embiid),27,21
108,1,0:23.0,,Offensive rebound by D. Sabonis,27,21
109,1,0:22.0,,D. Sabonis makes 2-pt layup from 2 ft,27,23
110,1,0:02.0,W. Chandler makes 2-pt layup from 1 ft,,29,23
111,1,0:00.0,,C. Joseph misses 3-pt jump shot from 56 ft,29,23
112,1,0:00.0,,Offensive rebound by Team,29,23
113,2,11:51.0,Offensive foul by J. Redick (drawn by C. Joseph),,29,23
114,2,11:51.0,Turnover by J. Redick (offensive foul),,29,23
115,2,11:40.0,,T. Evans misses 2-pt layup from 1 ft,29,23
116,2,11:40.0,Defensive rebound by Team,,29,23
117,2,11:27.0,J. Embiid makes 2-pt layup from 2 ft (assist by R. Covington),,31,23
118,2,11:11.0,,D. Sabonis misses 2-pt hook shot from 6 ft,31,23
119,2,11:10.0,Defensive rebound by J. Embiid,,31,23
120,2,11:02.0,Personal foul by D. Sabonis (drawn by J. Embiid),,31,23
121,2,10:48.0,J. Embiid misses 2-pt layup from 1 ft,,31,23
122,2,10:47.0,,Defensive rebound by T. Evans,31,23
123,2,10:40.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,31,23
124,2,10:37.0,Defensive rebound by J. Embiid,,31,23
125,2,10:26.0,Turnover by J. Embiid (out of bounds lost ball),,31,23
126,2,10:13.0,,D. McDermott misses 2-pt jump shot from 15 ft,31,23
127,2,10:12.0,Defensive rebound by R. Covington,,31,23
128,2,10:03.0,J. Redick makes 2-pt jump shot from 21 ft (assist by M. Fultz),,33,23
129,2,9:48.0,,Personal foul by M. Fultz (drawn by B. Bogdanović),33,23
130,2,9:44.0,,C. Joseph makes 2-pt jump shot from 19 ft,33,25
131,2,9:28.0,J. Redick misses 3-pt jump shot from 26 ft,,33,25
132,2,9:25.0,,Defensive rebound by T. Evans,33,25
133,2,9:17.0,,T. Evans misses 2-pt layup from 1 ft,33,25
134,2,9:13.0,,Offensive rebound by D. Sabonis,33,25
135,2,9:13.0,,D. Sabonis makes 2-pt layup from 1 ft,33,27
136,2,9:03.0,L. Shamet misses 3-pt jump shot from 28 ft,,33,27
137,2,9:03.0,,Defensive rebound by D. Sabonis,33,27
138,2,8:43.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Sabonis),33,30
139,2,8:23.0,J. Embiid misses 2-pt jump shot from 15 ft,,33,30
140,2,8:21.0,,Defensive rebound by D. McDermott,33,30
141,2,8:14.0,,T. Evans makes 2-pt jump shot from 20 ft,33,32
142,2,8:13.0,Philadelphia full timeout,,33,32
143,2,8:13.0,W. Chandler enters the game for R. Covington,,33,32
144,2,8:13.0,D. Šarić enters the game for J. Embiid,,33,32
145,2,8:13.0,B. Simmons enters the game for J. Redick,,33,32
146,2,8:03.0,M. Fultz misses 2-pt jump shot from 18 ft,,33,32
147,2,8:00.0,,Defensive rebound by D. Sabonis,33,32
148,2,7:48.0,,T. Evans makes 2-pt jump shot from 18 ft,33,34
149,2,7:26.0,Turnover by W. Chandler (bad pass; steal by C. Joseph),,33,34
