,QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
0,1,11:32.0,B. Griffin misses 2-pt layup from 1 ft,,0,0
1,1,11:30.0,,Defensive rebound by J. Poeltl,0,0
2,1,11:16.0,,L. Aldridge misses 2-pt jump shot from 14 ft,0,0
3,1,11:13.0,Defensive rebound by R. Jackson,,0,0
4,1,10:59.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Brown),,3,0
5,1,10:42.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by J. Poeltl),3,2
6,1,10:27.0,B. Brown misses 2-pt layup from 1 ft,,3,2
7,1,10:25.0,,Defensive rebound by D. White,3,2
8,1,10:22.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),3,5
9,1,10:22.0,,Away from play foul by B. Brown (drawn by J. Poeltl),3,5
10,1,10:22.0,,J. Poeltl makes free throw 1 of 1,3,6
11,1,10:02.0,B. Brown misses 2-pt layup from 1 ft (block by J. Poeltl),,3,6
12,1,10:02.0,Offensive rebound by Team,,3,6
13,1,10:00.0,Personal foul by D. White (drawn by B. Griffin),,3,6
14,1,9:50.0,W. Ellington makes 3-pt jump shot from 26 ft,,6,6
15,1,9:36.0,,D. DeRozan misses 2-pt jump shot from 10 ft,6,6
16,1,9:32.0,Defensive rebound by A. Drummond,,6,6
17,1,9:24.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by A. Drummond),,9,6
18,1,9:07.0,,L. Aldridge misses 2-pt jump shot from 19 ft,9,6
19,1,9:05.0,Defensive rebound by A. Drummond,,9,6
20,1,8:56.0,A. Drummond makes 2-pt jump shot from 1 ft (assist by B. Brown),,11,6
21,1,8:43.0,,D. DeRozan misses 2-pt jump shot from 9 ft,11,6
22,1,8:43.0,,Offensive rebound by J. Poeltl,11,6
23,1,8:43.0,,J. Poeltl makes 2-pt layup from 1 ft,11,8
24,1,8:43.0,,Shooting foul by A. Drummond (drawn by J. Poeltl),11,8
25,1,8:43.0,,J. Poeltl makes free throw 1 of 1,11,9
26,1,8:31.0,R. Jackson misses 3-pt jump shot from 23 ft,,11,9
27,1,8:28.0,,Defensive rebound by D. White,11,9
28,1,8:21.0,,D. White makes 2-pt jump shot from 17 ft,11,11
29,1,8:00.0,Turnover by B. Brown (bad pass; steal by D. DeRozan),,11,11
30,1,7:51.0,,D. DeRozan misses 2-pt jump shot from 16 ft,11,11
31,1,7:48.0,Defensive rebound by A. Drummond,,11,11
32,1,7:46.0,Personal foul by J. Poeltl (drawn by B. Griffin),,11,11
33,1,7:33.0,R. Jackson makes 3-pt jump shot from 23 ft,,14,11
34,1,7:16.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),14,14
35,1,6:54.0,W. Ellington misses 3-pt jump shot from 25 ft,,14,14
36,1,6:51.0,,Defensive rebound by J. Poeltl,14,14
37,1,6:41.0,,L. Aldridge misses 2-pt jump shot from 13 ft,14,14
38,1,6:41.0,Defensive rebound by W. Ellington,,14,14
39,1,6:24.0,B. Griffin makes 3-pt jump shot from 24 ft,,17,14
40,1,6:07.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. White),17,16
41,1,6:07.0,,Shooting foul by R. Jackson (drawn by J. Poeltl),17,16
42,1,6:07.0,,San Antonio full timeout,17,16
43,1,6:07.0,L. Kennard enters the game for B. Brown,,17,16
44,1,6:07.0,,J. Poeltl misses free throw 1 of 1,17,16
45,1,6:03.0,Defensive rebound by A. Drummond,,17,16
46,1,5:45.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),,19,16
47,1,5:34.0,,Personal foul by W. Ellington (drawn by D. DeRozan),19,16
48,1,5:34.0,L. Galloway enters the game for W. Ellington,,19,16
49,1,5:34.0,,M. Belinelli enters the game for B. Forbes,19,16
50,1,5:34.0,,P. Mills enters the game for D. White,19,16
51,1,5:22.0,,P. Mills misses 3-pt jump shot from 25 ft,19,16
52,1,5:20.0,Defensive rebound by A. Drummond,,19,16
53,1,5:12.0,R. Jackson misses 2-pt jump shot from 7 ft,,19,16
54,1,5:11.0,Offensive rebound by Team,,19,16
55,1,5:11.0,,R. Gay enters the game for J. Poeltl,19,16
56,1,5:08.0,L. Kennard misses 3-pt jump shot from 23 ft,,19,16
57,1,5:05.0,,Defensive rebound by M. Belinelli,19,16
58,1,4:59.0,,M. Belinelli makes 2-pt jump shot from 18 ft,19,18
59,1,4:38.0,B. Griffin misses 3-pt jump shot from 23 ft,,19,18
60,1,4:38.0,,Defensive rebound by M. Belinelli,19,18
61,1,4:29.0,,M. Belinelli makes 3-pt jump shot from 26 ft,19,21
62,1,4:11.0,R. Jackson makes 2-pt jump shot from 9 ft,,21,21
63,1,3:47.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by R. Gay),21,24
64,1,3:42.0,Detroit full timeout,,21,24
