,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
0,1,11:45.0,,H. Barnes misses 2-pt layup from 2 ft (block by T. Harris),0,0
1,1,11:42.0,Defensive rebound by P. Beverley,,0,0
2,1,11:26.0,P. Beverley misses 3-pt jump shot from 24 ft,,0,0
3,1,11:24.0,Offensive rebound by M. Harrell,,0,0
4,1,11:14.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by D. Jordan),,0,0
5,1,11:11.0,,Defensive rebound by D. Smith,0,0
6,1,11:02.0,,D. Jordan misses 2-pt hook shot from 4 ft,0,0
7,1,10:59.0,Defensive rebound by A. Bradley,,0,0
8,1,10:52.0,Shooting foul by D. Jordan (drawn by M. Harrell),,0,0
9,1,10:52.0,M. Harrell makes free throw 1 of 2,,1,0
10,1,10:52.0,M. Harrell makes free throw 2 of 2,,2,0
11,1,10:33.0,,H. Barnes makes 2-pt jump shot from 3 ft,2,2
12,1,10:33.0,,Shooting foul by M. Harrell (drawn by H. Barnes),2,2
13,1,10:33.0,,H. Barnes misses free throw 1 of 1,2,2
14,1,10:30.0,Defensive rebound by M. Harrell,,2,2
15,1,10:16.0,S. Gilgeous-Alexander misses 2-pt jump shot from 4 ft (block by L. Dončić),,2,2
16,1,10:16.0,Offensive rebound by Team,,2,2
17,1,10:13.0,T. Harris makes 3-pt jump shot from 24 ft (assist by P. Beverley),,5,2
18,1,9:58.0,,D. Smith misses 2-pt layup from 2 ft,5,2
19,1,9:56.0,Defensive rebound by M. Harrell,,5,2
20,1,9:35.0,A. Bradley misses 2-pt jump shot from 19 ft,,5,2
21,1,9:33.0,,Defensive rebound by L. Dončić,5,2
22,1,9:21.0,,D. Smith misses 3-pt jump shot from 25 ft,5,2
23,1,9:16.0,Defensive rebound by T. Harris,,5,2
24,1,9:11.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,5,2
25,1,9:09.0,Offensive rebound by M. Harrell,,5,2
26,1,8:57.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by P. Beverley),,8,2
27,1,8:41.0,,W. Matthews misses 2-pt jump shot from 7 ft,8,2
28,1,8:39.0,Defensive rebound by T. Harris,,8,2
29,1,8:37.0,Personal foul by W. Matthews (drawn by T. Harris),,8,2
30,1,8:25.0,M. Harrell makes 2-pt jump shot from 15 ft (assist by P. Beverley),,10,2
31,1,8:15.0,,Personal foul by A. Bradley (drawn by L. Dončić),10,2
32,1,8:08.0,,Shooting foul by T. Harris (drawn by D. Jordan),10,2
33,1,8:08.0,,D. Jordan makes free throw 1 of 2,10,3
34,1,8:08.0,,D. Jordan misses free throw 2 of 2,10,3
35,1,8:05.0,Defensive rebound by M. Harrell,,10,3
36,1,7:54.0,M. Harrell misses 2-pt layup from 3 ft (block by D. Jordan),,10,3
37,1,7:52.0,Offensive rebound by Team,,10,3
38,1,7:37.0,T. Harris misses 3-pt jump shot from 25 ft,,10,3
39,1,7:35.0,,Defensive rebound by D. Jordan,10,3
40,1,7:29.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),10,5
41,1,7:13.0,A. Bradley makes 2-pt jump shot from 19 ft,,12,5
42,1,7:03.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),12,7
43,1,6:49.0,Turnover by T. Harris (bad pass; steal by D. Smith),,12,7
44,1,6:47.0,,Turnover by D. Smith (bad pass),12,7
45,1,6:47.0,,Dallas full timeout,12,7
46,1,6:32.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,15,7
47,1,6:10.0,,D. Smith misses 3-pt jump shot from 25 ft,15,7
48,1,6:06.0,,Offensive rebound by D. Smith,15,7
49,1,6:04.0,,D. Smith makes 2-pt layup from 1 ft,15,9
50,1,5:49.0,S. Gilgeous-Alexander makes 2-pt jump shot from 4 ft,,17,9
51,1,5:36.0,,D. Smith misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),17,9
52,1,5:34.0,Defensive rebound by S. Gilgeous-Alexander,,17,9
53,1,5:29.0,Shooting foul by H. Barnes (drawn by T. Harris),,17,9
54,1,5:29.0,T. Harris makes free throw 1 of 2,,18,9
55,1,5:29.0,T. Harris makes free throw 2 of 2,,19,9
56,1,5:16.0,,Personal foul by A. Bradley (drawn by L. Dončić),19,9
57,1,5:08.0,,Turnover by L. Dončić (bad pass; steal by T. Harris),19,9
58,1,4:47.0,S. Gilgeous-Alexander misses 2-pt jump shot from 4 ft,,19,9
59,1,4:45.0,,Defensive rebound by H. Barnes,19,9
60,1,4:38.0,,W. Matthews misses 3-pt jump shot from 25 ft,19,9
61,1,4:35.0,,Offensive rebound by D. Jordan,19,9
62,1,4:35.0,S. Thornwell enters the game for A. Bradley,,19,9
63,1,4:29.0,,L. Dončić makes 2-pt jump shot from 12 ft (assist by W. Matthews),19,11
64,1,4:17.0,S. Gilgeous-Alexander misses 2-pt layup from 5 ft (block by D. Jordan),,19,11
65,1,4:17.0,Offensive rebound by Team,,19,11
66,1,4:16.0,Personal foul by W. Matthews (drawn by T. Harris),,19,11
67,1,4:16.0,L. Williams enters the game for S. Gilgeous-Alexander,,19,11
68,1,4:16.0,,D. Finney-Smith enters the game for L. Dončić,19,11
69,1,4:16.0,,D. Harris enters the game for W. Matthews,19,11
70,1,4:03.0,T. Harris misses 2-pt jump shot from 10 ft,,19,11
71,1,4:00.0,,Defensive rebound by D. Jordan,19,11
72,1,3:56.0,,D. Smith makes 2-pt layup at rim (assist by D. Jordan),19,13
73,1,3:46.0,Shooting foul by D. Smith (drawn by S. Thornwell),,19,13
74,1,3:46.0,LA Clippers full timeout,,19,13
75,1,3:46.0,S. Thornwell misses free throw 1 of 2,,19,13
76,1,3:46.0,Offensive rebound by Team,,19,13
77,1,3:46.0,S. Thornwell misses free throw 2 of 2,,19,13
78,1,3:43.0,,Defensive rebound by D. Finney-Smith,19,13
79,1,3:24.0,,H. Barnes makes 2-pt layup from 1 ft,19,15
80,1,3:01.0,L. Williams makes 2-pt layup at rim,,21,15
81,1,2:41.0,,H. Barnes misses 2-pt hook shot from 4 ft,21,15
82,1,2:36.0,,Offensive rebound by D. Jordan,21,15
83,1,2:36.0,,D. Jordan makes 2-pt layup from 1 ft,21,17
84,1,2:24.0,M. Harrell makes 2-pt dunk from 1 ft (assist by T. Harris),,23,17
85,1,2:06.0,,D. Smith makes 3-pt jump shot from 26 ft,23,20
86,1,1:46.0,S. Thornwell makes 2-pt layup at rim (assist by M. Harrell),,25,20
87,1,1:22.0,,D. Smith misses 3-pt jump shot from 27 ft,25,20
88,1,1:19.0,Defensive rebound by S. Thornwell,,25,20
89,1,1:12.0,P. Beverley misses 3-pt jump shot from 25 ft,,25,20
90,1,1:09.0,,Defensive rebound by D. Finney-Smith,25,20
91,1,1:02.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by D. Harris),25,23
92,1,0:52.0,L. Williams misses 2-pt jump shot from 12 ft,,25,23
93,1,0:49.0,,Defensive rebound by H. Barnes,25,23
94,1,0:38.0,,H. Barnes misses 3-pt jump shot from 26 ft,25,23
95,1,0:35.0,Defensive rebound by P. Beverley,,25,23
96,1,0:32.0,P. Beverley makes 2-pt layup from 4 ft,,27,23
97,1,0:32.0,Shooting foul by D. Finney-Smith (drawn by P. Beverley),,27,23
98,1,0:32.0,J. Motley enters the game for T. Harris,,27,23
99,1,0:32.0,,L. Dončić enters the game for H. Barnes,27,23
100,1,0:32.0,,M. Kleber enters the game for D. Jordan,27,23
101,1,0:32.0,,D. Nowitzki enters the game for D. Smith,27,23
102,1,0:32.0,P. Beverley misses free throw 1 of 1,,27,23
103,1,0:32.0,,Defensive rebound by D. Nowitzki,27,23
104,1,0:11.0,,Shooting foul by S. Thornwell (drawn by L. Dončić),27,23
105,1,0:11.0,,L. Dončić makes free throw 1 of 2,27,24
106,1,0:11.0,J. Robinson enters the game for S. Thornwell,,27,24
107,1,0:11.0,,D. Powell enters the game for D. Nowitzki,27,24
108,1,0:11.0,,L. Dončić misses free throw 2 of 2,27,24
109,1,0:10.0,,Offensive rebound by M. Kleber,27,24
110,1,0:10.0,,M. Kleber makes 2-pt layup from 1 ft,27,26
111,1,0:04.0,Personal foul by D. Finney-Smith (drawn by L. Williams),,27,26
112,1,0:04.0,L. Williams makes free throw 1 of 2,,28,26
113,1,0:04.0,S. Thornwell enters the game for P. Beverley,,28,26
114,1,0:04.0,T. Wallace enters the game for J. Robinson,,28,26
115,1,0:04.0,,J. Brunson enters the game for D. Finney-Smith,28,26
116,1,0:04.0,,D. Nowitzki enters the game for D. Powell,28,26
117,1,0:04.0,L. Williams makes free throw 2 of 2,,29,26
118,1,0:00.0,,L. Dončić misses 3-pt jump shot from 28 ft,29,26
119,1,0:00.0,,Offensive rebound by Team,29,26
