,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
0,1,11:46.0,K. Dunn makes 2-pt jump shot from 8 ft,,2,0
1,1,11:23.0,,B. Hield misses 2-pt jump shot from 12 ft,2,0
2,1,11:22.0,,Offensive rebound by Team,2,0
3,1,11:13.0,,H. Barnes misses 2-pt jump shot from 12 ft,2,0
4,1,11:10.0,Defensive rebound by L. Markkanen,,2,0
5,1,11:07.0,Turnover by L. Markkanen (out of bounds lost ball),,2,0
6,1,11:02.0,,Turnover by H. Barnes (bad pass; steal by O. Porter),2,0
7,1,10:42.0,L. Markkanen makes 2-pt jump shot from 10 ft (assist by K. Dunn),,4,0
8,1,10:26.0,,D. Fox makes 2-pt jump shot from 9 ft (assist by W. Cauley-Stein),4,2
9,1,10:14.0,K. Dunn misses 2-pt layup from 5 ft,,4,2
10,1,10:14.0,Offensive rebound by Team,,4,2
11,1,10:14.0,Personal foul by D. Fox (drawn by K. Dunn),,4,2
12,1,10:08.0,O. Porter misses 2-pt layup from 4 ft,,4,2
13,1,10:06.0,Offensive rebound by Z. LaVine,,4,2
14,1,10:01.0,Turnover by L. Markkanen (bad pass; steal by B. Hield),,4,2
15,1,9:56.0,,W. Cauley-Stein makes 2-pt dunk from 5 ft (assist by N. Bjelica),4,4
16,1,9:31.0,K. Dunn misses 3-pt jump shot from 26 ft,,4,4
17,1,9:30.0,,Defensive rebound by Team,4,4
18,1,9:25.0,,Personal foul by K. Dunn (drawn by D. Fox),4,4
19,1,9:18.0,,D. Fox makes 2-pt layup from 8 ft,4,6
20,1,8:53.0,Turnover by R. Lopez (traveling),,4,6
21,1,8:41.0,,D. Fox misses 3-pt jump shot from 28 ft,4,6
22,1,8:40.0,,Offensive rebound by W. Cauley-Stein,4,6
23,1,8:38.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by B. Hield),4,9
24,1,8:19.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),,7,9
25,1,8:05.0,,W. Cauley-Stein makes 2-pt layup from 5 ft,7,11
26,1,7:47.0,O. Porter misses 3-pt jump shot from 28 ft,,7,11
27,1,7:47.0,Offensive rebound by Team,,7,11
28,1,7:47.0,Personal foul by W. Cauley-Stein (drawn by R. Lopez),,7,11
29,1,7:39.0,Z. LaVine makes 2-pt jump shot from 15 ft,,9,11
30,1,7:27.0,,Turnover by B. Hield (lost ball; steal by K. Dunn),9,11
31,1,7:20.0,K. Dunn makes 2-pt layup from 8 ft,,11,11
32,1,6:58.0,,W. Cauley-Stein misses 2-pt hook shot from 12 ft,11,11
33,1,6:55.0,Defensive rebound by R. Lopez,,11,11
