,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,J. Ingles misses 2-pt jump shot from 8 ft,,0,0
1,1,11:44.0,Offensive rebound by R. Gobert,,0,0
2,1,11:44.0,R. Gobert makes 2-pt dunk from 1 ft,,2,0
3,1,11:25.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),2,2
4,1,11:09.0,Turnover by D. Mitchell (bad pass; steal by J. Embiid),,2,2
5,1,11:05.0,,Shooting foul by D. Mitchell (drawn by B. Simmons),2,2
6,1,11:05.0,,B. Simmons misses free throw 1 of 2,2,2
7,1,11:05.0,,Offensive rebound by Team,2,2
8,1,11:05.0,,B. Simmons makes free throw 2 of 2,2,3
9,1,10:55.0,D. Mitchell misses 2-pt jump shot from 20 ft,,2,3
10,1,10:52.0,,Defensive rebound by B. Simmons,2,3
11,1,10:43.0,,J. Redick makes 2-pt layup from 4 ft (assist by J. Embiid),2,5
12,1,10:34.0,Turnover by R. Rubio (bad pass),,2,5
13,1,10:25.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Simmons),2,8
14,1,10:13.0,J. Ingles misses 3-pt jump shot from 26 ft,,2,8
15,1,10:09.0,,Defensive rebound by B. Simmons,2,8
16,1,10:00.0,,J. Embiid makes 2-pt jump shot from 3 ft,2,10
17,1,10:00.0,Utah full timeout,,2,10
18,1,9:40.0,Shooting foul by J. Redick (drawn by R. Rubio),,2,10
19,1,9:40.0,R. Rubio misses free throw 1 of 2,,2,10
20,1,9:40.0,Offensive rebound by Team,,2,10
21,1,9:40.0,R. Rubio misses free throw 2 of 2,,2,10
22,1,9:38.0,,Defensive rebound by J. Embiid,2,10
23,1,9:25.0,,J. Embiid makes 2-pt jump shot from 8 ft,2,12
24,1,9:04.0,R. Gobert misses 2-pt jump shot from 9 ft,,2,12
25,1,9:01.0,Offensive rebound by D. Favors,,2,12
26,1,8:56.0,D. Mitchell makes 2-pt jump shot from 8 ft,,4,12
27,1,8:39.0,,Turnover by J. Butler (off goaltending),4,12
