,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHOENIX_ACTION,LA LAKERS_SCORE,PHOENIX_SCORE
0,1,11:42.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. James),,3,0
1,1,11:21.0,,D. Ayton makes 2-pt jump shot from 9 ft,3,2
2,1,11:02.0,B. Ingram misses 2-pt jump shot from 10 ft,,3,2
3,1,11:00.0,,Defensive rebound by K. Oubre,3,2
4,1,10:46.0,,D. Ayton makes 2-pt jump shot from 14 ft,3,4
5,1,10:33.0,L. James makes 2-pt dunk at rim (assist by R. Bullock),,5,4
6,1,10:13.0,,Def 3 sec tech foul by Team,5,4
7,1,10:13.0,,D. Booker makes technical free throw,5,5
8,1,10:02.0,,Turnover by D. Booker (bad pass),5,5
9,1,9:43.0,R. Rondo makes 2-pt jump shot from 5 ft,,7,5
10,1,9:24.0,,K. Oubre makes 2-pt jump shot from 8 ft,7,7
11,1,9:17.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,9,7
12,1,9:08.0,,D. Bender makes 3-pt jump shot from 23 ft (assist by D. Booker),9,10
13,1,8:54.0,L. James misses 3-pt jump shot from 25 ft,,9,10
14,1,8:51.0,,Defensive rebound by D. Bender,9,10
15,1,8:29.0,,D. Booker misses 3-pt jump shot from 29 ft,9,10
16,1,8:25.0,Defensive rebound by B. Ingram,,9,10
17,1,8:23.0,Shooting foul by T. Johnson (drawn by B. Ingram),,9,10
18,1,8:23.0,B. Ingram makes free throw 1 of 2,,10,10
19,1,8:23.0,B. Ingram misses free throw 2 of 2,,10,10
20,1,8:21.0,Offensive rebound by B. Ingram,,10,10
21,1,8:21.0,Turnover by B. Ingram (out of bounds lost ball),,10,10
22,1,8:09.0,,Shooting foul by K. Kuzma (drawn by D. Ayton),10,10
23,1,8:09.0,,D. Ayton misses free throw 1 of 2,10,10
24,1,8:09.0,,Offensive rebound by Team,10,10
25,1,8:09.0,,D. Ayton makes free throw 2 of 2,10,11
26,1,7:55.0,R. Rondo misses 2-pt hook shot from 4 ft,,10,11
27,1,7:55.0,Offensive rebound by Team,,10,11
28,1,7:55.0,,Loose ball foul by T. Johnson (drawn by B. Ingram),10,11
29,1,7:55.0,,D. Melton enters the game for T. Johnson,10,11
30,1,7:45.0,Turnover by R. Bullock (bad pass; steal by D. Melton),,10,11
31,1,7:40.0,,K. Oubre makes 2-pt layup from 1 ft (assist by D. Melton),10,13
32,1,7:32.0,R. Bullock misses 3-pt jump shot from 26 ft,,10,13
33,1,7:30.0,,Defensive rebound by D. Ayton,10,13
34,1,7:22.0,,D. Melton makes 2-pt layup from 1 ft,10,15
35,1,7:10.0,Personal foul by D. Melton (drawn by B. Ingram),,10,15
36,1,7:02.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by L. James),,13,15
37,1,6:42.0,,Turnover by D. Bender (bad pass; steal by R. Rondo),13,15
38,1,6:38.0,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),,15,15
39,1,6:38.0,,Phoenix full timeout,15,15
40,1,6:25.0,,Shooting foul by R. Bullock (drawn by D. Ayton),15,15
41,1,6:25.0,,D. Ayton misses free throw 1 of 2,15,15
42,1,6:25.0,,Offensive rebound by Team,15,15
43,1,6:25.0,,D. Ayton misses free throw 2 of 2,15,15
44,1,6:23.0,Defensive rebound by B. Ingram,,15,15
45,1,6:09.0,R. Rondo misses 3-pt jump shot from 24 ft,,15,15
46,1,6:07.0,,Defensive rebound by K. Oubre,15,15
47,1,5:57.0,,D. Ayton makes 2-pt hook shot from 4 ft (assist by K. Oubre),15,17
48,1,5:46.0,B. Ingram misses 2-pt layup from 1 ft,,15,17
49,1,5:43.0,Offensive rebound by K. Kuzma,,15,17
50,1,5:33.0,R. Rondo misses 2-pt jump shot from 19 ft,,15,17
51,1,5:30.0,,Defensive rebound by D. Bender,15,17
