,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:44.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,2,0
1,1,11:30.0,,W. Carter makes 2-pt dunk at rim (assist by C. Payne),2,2
2,1,11:14.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,5,2
3,1,10:58.0,,Turnover by W. Carter (lost ball; steal by R. Bullock),5,2
4,1,10:53.0,R. Bullock makes 2-pt layup from 1 ft,,7,2
5,1,10:39.0,,B. Portis misses 2-pt jump shot from 15 ft (block by B. Griffin),7,2
6,1,10:35.0,Defensive rebound by S. Johnson,,7,2
7,1,10:31.0,S. Johnson misses 2-pt layup from 1 ft,,7,2
8,1,10:29.0,,Defensive rebound by W. Carter,7,2
9,1,10:27.0,,J. Holiday makes 2-pt layup from 2 ft (assist by C. Payne),7,4
10,1,10:13.0,R. Bullock misses 2-pt layup from 1 ft,,7,4
11,1,10:10.0,,Defensive rebound by J. Holiday,7,4
12,1,10:03.0,,B. Portis misses 2-pt layup from 2 ft (block by S. Johnson),7,4
13,1,9:58.0,,Offensive rebound by B. Portis,7,4
14,1,9:57.0,,W. Carter makes 2-pt jump shot from 4 ft (assist by B. Portis),7,6
15,1,9:44.0,S. Johnson misses 3-pt jump shot from 25 ft,,7,6
16,1,9:40.0,,Defensive rebound by Z. LaVine,7,6
17,1,9:33.0,,Z. LaVine misses 2-pt jump shot from 20 ft,7,6
18,1,9:33.0,,Offensive rebound by Team,7,6
19,1,9:33.0,Loose ball foul by A. Drummond (drawn by W. Carter),,7,6
20,1,9:21.0,,C. Payne misses 2-pt jump shot from 2 ft,7,6
21,1,9:19.0,Defensive rebound by A. Drummond,,7,6
22,1,9:11.0,A. Drummond misses 3-pt jump shot from 26 ft,,7,6
23,1,9:09.0,,Defensive rebound by C. Payne,7,6
24,1,9:01.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by W. Carter),7,8
25,1,8:57.0,Personal foul by W. Carter (drawn by A. Drummond),,7,8
26,1,8:53.0,Personal foul by C. Payne (drawn by B. Griffin),,7,8
27,1,8:44.0,R. Jackson misses 3-pt jump shot from 24 ft,,7,8
28,1,8:39.0,,Defensive rebound by B. Portis,7,8
29,1,8:34.0,,B. Portis misses 3-pt jump shot from 27 ft,7,8
30,1,8:32.0,Defensive rebound by A. Drummond,,7,8
31,1,8:21.0,R. Jackson misses 3-pt jump shot from 23 ft,,7,8
32,1,8:18.0,,Defensive rebound by C. Payne,7,8
33,1,8:10.0,,Z. LaVine makes 2-pt layup from 1 ft,7,10
34,1,7:55.0,A. Drummond misses 3-pt jump shot from 25 ft,,7,10
35,1,7:51.0,,Defensive rebound by J. Holiday,7,10
36,1,7:45.0,,C. Payne makes 2-pt layup from 1 ft (assist by J. Holiday),7,12
37,1,7:39.0,Detroit full timeout,,7,12
38,1,7:32.0,Def 3 sec tech foul by Team,,7,12
39,1,7:32.0,R. Jackson makes technical free throw,,8,12
40,1,7:18.0,R. Bullock misses 2-pt jump shot from 21 ft,,8,12
41,1,7:13.0,,Defensive rebound by B. Portis,8,12
42,1,7:06.0,,J. Holiday misses 2-pt jump shot from 17 ft,8,12
43,1,7:03.0,Defensive rebound by A. Drummond,,8,12
44,1,6:50.0,S. Johnson makes 3-pt jump shot from 25 ft (assist by R. Jackson),,11,12
45,1,6:44.0,,Personal foul by R. Jackson (drawn by Z. LaVine),11,12
46,1,6:44.0,I. Smith enters the game for S. Johnson,,11,12
47,1,6:37.0,,Z. LaVine misses 2-pt jump shot from 12 ft (block by R. Bullock),11,12
48,1,6:34.0,Defensive rebound by B. Griffin,,11,12
49,1,6:30.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,14,12
50,1,6:14.0,,B. Portis misses 2-pt jump shot from 9 ft,14,12
51,1,6:12.0,Defensive rebound by A. Drummond,,14,12
52,1,6:08.0,Shooting foul by C. Payne (drawn by R. Jackson),,14,12
53,1,6:08.0,R. Jackson makes free throw 1 of 2,,15,12
54,1,6:08.0,,R. Arcidiacono enters the game for C. Payne,15,12
55,1,6:08.0,R. Jackson makes free throw 2 of 2,,16,12
56,1,5:45.0,,R. Arcidiacono misses 3-pt jump shot from 27 ft,16,12
57,1,5:43.0,Defensive rebound by I. Smith,,16,12
58,1,5:38.0,A. Drummond makes 2-pt layup from 1 ft (assist by I. Smith),,18,12
59,1,5:38.0,,Chicago full timeout,18,12
60,1,5:38.0,G. Robinson enters the game for R. Jackson,,18,12
61,1,5:38.0,,J. Parker enters the game for B. Portis,18,12
62,1,5:26.0,,Def 3 sec tech foul by Team,18,12
63,1,5:26.0,,Z. LaVine misses technical free throw,18,12
64,1,5:26.0,,Offensive rebound by Team,18,12
65,1,5:20.0,,Shooting foul by A. Drummond (drawn by J. Parker),18,12
66,1,5:20.0,,J. Parker makes free throw 1 of 2,18,13
67,1,5:20.0,Z. Pachulia enters the game for A. Drummond,,18,13
68,1,5:20.0,,J. Parker misses free throw 2 of 2,18,13
69,1,5:18.0,Defensive rebound by B. Griffin,,18,13
70,1,5:14.0,Shooting foul by J. Parker (drawn by B. Griffin),,18,13
71,1,5:14.0,B. Griffin makes free throw 1 of 2,,19,13
72,1,5:14.0,,R. Lopez enters the game for W. Carter,19,13
73,1,5:14.0,B. Griffin misses free throw 2 of 2,,19,13
74,1,5:11.0,,Defensive rebound by J. Holiday,19,13
75,1,4:51.0,,R. Lopez misses 2-pt hook shot from 8 ft,19,13
76,1,4:46.0,,Offensive rebound by J. Parker,19,13
77,1,4:46.0,,J. Parker misses 2-pt layup at rim,19,13
78,1,4:43.0,Defensive rebound by B. Griffin,,19,13
79,1,4:40.0,G. Robinson misses 2-pt jump shot from 11 ft,,19,13
80,1,4:38.0,,Defensive rebound by J. Parker,19,13
81,1,4:31.0,,Turnover by Z. LaVine (lost ball; steal by Z. Pachulia),19,13
82,1,4:24.0,G. Robinson makes 2-pt jump shot from 7 ft,,21,13
83,1,4:14.0,,J. Parker misses 3-pt jump shot from 25 ft,21,13
84,1,4:13.0,Defensive rebound by G. Robinson,,21,13
85,1,4:13.0,Turnover by G. Robinson (out of bounds lost ball),,21,13
86,1,4:13.0,L. Galloway enters the game for R. Bullock,,21,13
87,1,4:13.0,S. Johnson enters the game for B. Griffin,,21,13
88,1,4:13.0,,A. Blakeney enters the game for Z. LaVine,21,13
89,1,4:06.0,,J. Holiday makes 2-pt layup from 2 ft (assist by R. Arcidiacono),21,15
90,1,3:52.0,Shooting foul by R. Lopez (drawn by Z. Pachulia),,21,15
91,1,3:52.0,Z. Pachulia misses free throw 1 of 2,,21,15
92,1,3:52.0,Offensive rebound by Team,,21,15
93,1,3:52.0,Z. Pachulia misses free throw 2 of 2,,21,15
