,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:46.0,,Personal foul by K. Towns (drawn by L. Dončić),0,0
1,1,11:42.0,,Turnover by L. Dončić (traveling),0,0
2,1,11:25.0,K. Towns misses 2-pt hook shot from 7 ft,,0,0
3,1,11:22.0,,Defensive rebound by D. Jordan,0,0
4,1,11:06.0,,L. Dončić misses 2-pt jump shot from 8 ft,0,0
5,1,11:03.0,,Offensive rebound by D. Finney-Smith,0,0
6,1,10:54.0,,L. Dončić misses 3-pt jump shot from 26 ft,0,0
7,1,10:51.0,Defensive rebound by A. Wiggins,,0,0
8,1,10:44.0,A. Wiggins makes 2-pt jump shot from 15 ft,,2,0
9,1,10:30.0,,W. Matthews misses 3-pt jump shot from 26 ft,2,0
10,1,10:27.0,Defensive rebound by J. Okogie,,2,0
11,1,10:24.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Okogie),,4,0
12,1,10:24.0,Shooting foul by W. Matthews (drawn by T. Gibson),,4,0
13,1,10:24.0,T. Gibson makes free throw 1 of 1,,5,0
14,1,10:12.0,,D. Smith makes 2-pt jump shot from 19 ft,5,2
15,1,10:00.0,J. Teague misses 2-pt jump shot from 5 ft,,5,2
16,1,9:55.0,,Defensive rebound by D. Smith,5,2
17,1,9:51.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),5,4
18,1,9:39.0,K. Towns misses 2-pt jump shot from 3 ft,,5,4
19,1,9:37.0,,Defensive rebound by L. Dončić,5,4
20,1,9:32.0,,Turnover by L. Dončić (lost ball; steal by T. Gibson),5,4
21,1,9:26.0,J. Teague makes 3-pt jump shot from 27 ft,,8,4
22,1,9:07.0,,W. Matthews misses 2-pt jump shot from 11 ft,8,4
23,1,9:03.0,Defensive rebound by J. Teague,,8,4
24,1,8:57.0,A. Wiggins makes 3-pt jump shot from 28 ft (assist by J. Teague),,11,4
25,1,8:56.0,,Dallas full timeout,11,4
26,1,8:42.0,,W. Matthews makes 2-pt hook shot from 2 ft (assist by D. Finney-Smith),11,6
27,1,8:15.0,T. Gibson makes 2-pt hook shot from 4 ft,,13,6
28,1,8:05.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,13,6
29,1,8:02.0,,Offensive rebound by W. Matthews,13,6
30,1,7:59.0,,D. Smith misses 3-pt jump shot from 28 ft,13,6
31,1,7:55.0,Defensive rebound by J. Okogie,,13,6
32,1,7:52.0,J. Teague makes 2-pt jump shot from 10 ft,,15,6
33,1,7:52.0,Shooting foul by D. Smith (drawn by J. Teague),,15,6
34,1,7:52.0,J. Teague makes free throw 1 of 1,,16,6
35,1,7:34.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Dončić),16,9
36,1,7:22.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Teague),,19,9
37,1,7:12.0,,W. Matthews misses 3-pt jump shot from 25 ft,19,9
38,1,7:08.0,,Offensive rebound by D. Finney-Smith,19,9
39,1,7:06.0,,Turnover by D. Finney-Smith (lost ball; steal by K. Towns),19,9
40,1,7:06.0,Turnover by J. Okogie (out of bounds lost ball),,19,9
41,1,7:02.0,,L. Dončić misses 3-pt jump shot from 28 ft,19,9
42,1,6:58.0,Defensive rebound by T. Gibson,,19,9
43,1,6:55.0,J. Teague makes 3-pt jump shot from 25 ft (assist by T. Gibson),,22,9
44,1,6:46.0,,Turnover by W. Matthews (bad pass; steal by J. Teague),22,9
45,1,6:37.0,J. Okogie misses 3-pt jump shot from 22 ft,,22,9
46,1,6:34.0,Offensive rebound by K. Towns,,22,9
47,1,6:34.0,Shooting foul by W. Matthews (drawn by K. Towns),,22,9
48,1,6:34.0,K. Towns makes free throw 1 of 2,,23,9
49,1,6:34.0,,J. Barea enters the game for W. Matthews,23,9
50,1,6:34.0,,J. Brunson enters the game for D. Smith,23,9
51,1,6:34.0,K. Towns makes free throw 2 of 2,,24,9
52,1,6:23.0,,Turnover by D. Jordan (bad pass; steal by T. Gibson),24,9
53,1,6:17.0,Turnover by A. Wiggins (out of bounds lost ball),,24,9
54,1,6:01.0,,Turnover by J. Brunson (bad pass; steal by J. Okogie),24,9
55,1,5:50.0,Turnover by T. Gibson (bad pass; steal by D. Jordan),,24,9
56,1,5:43.0,,J. Brunson makes 3-pt jump shot from 22 ft (assist by D. Finney-Smith),24,12
57,1,5:35.0,Turnover by J. Teague (bad pass; steal by D. Jordan),,24,12
58,1,5:26.0,,D. Jordan makes 2-pt layup from 1 ft (assist by J. Barea),24,14
59,1,5:26.0,,Shooting foul by T. Gibson (drawn by D. Jordan),24,14
60,1,5:26.0,T. Jones enters the game for J. Teague,,24,14
61,1,5:26.0,,D. Jordan misses free throw 1 of 1,24,14
62,1,5:26.0,Defensive rebound by K. Towns,,24,14
63,1,5:09.0,K. Towns misses 2-pt jump shot from 3 ft (block by D. Jordan),,24,14
64,1,5:05.0,,Defensive rebound by L. Dončić,24,14
65,1,4:56.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,24,14
66,1,4:52.0,Defensive rebound by J. Okogie,,24,14
67,1,4:45.0,T. Gibson makes 2-pt jump shot from 18 ft (assist by T. Jones),,26,14
68,1,4:35.0,,J. Barea makes 2-pt layup from 1 ft,26,16
69,1,4:19.0,Personal foul by D. Finney-Smith (drawn by K. Towns),,26,16
70,1,4:19.0,D. Rose enters the game for J. Okogie,,26,16
71,1,4:19.0,,M. Kleber enters the game for D. Finney-Smith,26,16
72,1,4:19.0,,D. Powell enters the game for D. Jordan,26,16
73,1,4:16.0,Personal foul by D. Powell (drawn by K. Towns),,26,16
74,1,4:16.0,K. Towns makes free throw 1 of 2,,27,16
75,1,4:16.0,K. Towns makes free throw 2 of 2,,28,16
76,1,4:05.0,,Shooting foul by D. Rose (drawn by J. Barea),28,16
77,1,4:05.0,,J. Barea makes free throw 1 of 2,28,17
78,1,4:05.0,,J. Barea makes free throw 2 of 2,28,18
79,1,3:50.0,D. Rose makes 3-pt jump shot from 26 ft (assist by K. Towns),,31,18
80,1,3:35.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),31,20
81,1,3:35.0,,Shooting foul by A. Wiggins (drawn by D. Powell),31,20
82,1,3:35.0,G. Dieng enters the game for T. Gibson,,31,20
83,1,3:35.0,A. Tolliver enters the game for K. Towns,,31,20
84,1,3:35.0,,D. Powell makes free throw 1 of 1,31,21
85,1,3:19.0,D. Rose misses 3-pt jump shot from 22 ft,,31,21
86,1,3:16.0,,Defensive rebound by D. Powell,31,21
87,1,3:11.0,,J. Barea makes 2-pt jump shot from 3 ft,31,23
88,1,2:59.0,A. Wiggins misses 2-pt jump shot from 20 ft,,31,23
89,1,2:59.0,,Defensive rebound by M. Kleber,31,23
90,1,2:47.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by J. Barea),31,26
91,1,2:40.0,Minnesota full timeout,,31,26
92,1,2:40.0,,R. Broekhoff enters the game for L. Dončić,31,26
93,1,2:30.0,Shooting foul by M. Kleber (drawn by A. Wiggins),,31,26
94,1,2:30.0,A. Wiggins makes free throw 1 of 2,,32,26
95,1,2:30.0,A. Wiggins makes free throw 2 of 2,,33,26
96,1,2:21.0,,Personal foul by A. Wiggins (drawn by D. Powell),33,26
97,1,2:21.0,,D. Powell makes free throw 1 of 2,33,27
98,1,2:21.0,,D. Powell makes free throw 2 of 2,33,28
99,1,2:10.0,Turnover by D. Rose (lost ball; steal by J. Barea),,33,28
100,1,2:02.0,,R. Broekhoff makes 3-pt jump shot from 26 ft (assist by J. Brunson),33,31
101,1,1:48.0,G. Dieng misses 2-pt jump shot from 3 ft,,33,31
102,1,1:45.0,Offensive rebound by G. Dieng,,33,31
103,1,1:44.0,G. Dieng makes 2-pt layup at rim,,35,31
104,1,1:27.0,,R. Broekhoff misses 3-pt jump shot from 25 ft,35,31
105,1,1:23.0,Defensive rebound by G. Dieng,,35,31
106,1,1:17.0,D. Rose misses 2-pt layup from 4 ft (block by D. Powell),,35,31
107,1,1:12.0,Offensive rebound by D. Rose,,35,31
108,1,1:12.0,D. Rose makes 2-pt layup at rim,,37,31
109,1,1:02.0,,M. Kleber misses 3-pt jump shot from 26 ft,37,31
110,1,1:01.0,Defensive rebound by Team,,37,31
111,1,1:01.0,J. Okogie enters the game for A. Wiggins,,37,31
112,1,0:46.0,T. Jones makes 3-pt jump shot from 23 ft (assist by G. Dieng),,40,31
113,1,0:34.0,,J. Barea makes 3-pt jump shot from 26 ft,40,34
114,1,0:23.0,T. Jones makes 2-pt jump shot from 15 ft,,42,34
115,1,0:06.0,,D. Powell makes 3-pt jump shot from 26 ft (assist by J. Barea),42,37
116,1,0:01.0,D. Rose makes 2-pt layup from 16 ft,,44,37
117,1,0:01.0,Shooting foul by R. Broekhoff (drawn by D. Rose),,44,37
