,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MEMPHIS_ACTION,CHARLOTTE_SCORE,MEMPHIS_SCORE
0,1,11:35.0,B. Biyombo misses 2-pt layup from 1 ft,,0,0
1,1,11:33.0,,Defensive rebound by J. Jackson,0,0
2,1,11:18.0,,M. Gasol misses 2-pt jump shot from 11 ft,0,0
3,1,11:14.0,Defensive rebound by J. Lamb,,0,0
4,1,10:52.0,J. Lamb makes 2-pt jump shot from 9 ft,,2,0
5,1,10:41.0,,G. Temple makes 2-pt layup from 1 ft (assist by M. Gasol),2,2
6,1,10:24.0,Turnover by M. Williams (lost ball; steal by M. Gasol),,2,2
7,1,10:21.0,,Turnover by M. Gasol (bad pass; steal by M. Williams),2,2
8,1,10:17.0,K. Walker misses 3-pt jump shot from 28 ft,,2,2
9,1,10:15.0,,Defensive rebound by M. Conley,2,2
10,1,10:09.0,,Personal foul by J. Lamb (drawn by J. Jackson),2,2
11,1,9:58.0,,J. Jackson misses 3-pt jump shot from 26 ft,2,2
12,1,9:55.0,Defensive rebound by N. Batum,,2,2
13,1,9:49.0,N. Batum misses 2-pt jump shot from 15 ft,,2,2
14,1,9:46.0,,Defensive rebound by M. Gasol,2,2
15,1,9:37.0,,J. Jackson misses 2-pt hook shot from 9 ft,2,2
16,1,9:34.0,Defensive rebound by J. Lamb,,2,2
17,1,9:22.0,Shooting foul by J. Jackson (drawn by B. Biyombo),,2,2
18,1,9:22.0,B. Biyombo makes free throw 1 of 2,,3,2
19,1,9:22.0,B. Biyombo makes free throw 2 of 2,,4,2
20,1,9:00.0,,J. Holiday misses 3-pt jump shot from 25 ft,4,2
21,1,8:56.0,Defensive rebound by B. Biyombo,,4,2
22,1,8:48.0,K. Walker misses 3-pt jump shot from 27 ft,,4,2
23,1,8:43.0,Offensive rebound by B. Biyombo,,4,2
24,1,8:40.0,Personal foul by J. Jackson (drawn by N. Batum),,4,2
25,1,8:40.0,,J. Green enters the game for J. Jackson,4,2
26,1,8:32.0,M. Williams misses 3-pt jump shot from 26 ft,,4,2
27,1,8:27.0,Offensive rebound by B. Biyombo,,4,2
28,1,8:25.0,M. Williams misses 3-pt jump shot from 24 ft,,4,2
29,1,8:23.0,,Defensive rebound by G. Temple,4,2
30,1,8:08.0,,M. Gasol misses 2-pt hook shot from 7 ft,4,2
