,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
97,1,1:04.0,,K. Knox makes free throw 2 of 2,25,24
98,1,0:54.0,T. Parker makes 2-pt layup from 1 ft,,27,24
99,1,0:46.0,,F. Ntilikina misses 2-pt jump shot from 18 ft,27,24
100,1,0:44.0,Defensive rebound by M. Kidd-Gilchrist,,27,24
101,1,0:38.0,Offensive foul by F. Kaminsky (drawn by F. Ntilikina),,27,24
102,1,0:38.0,Turnover by F. Kaminsky (offensive foul),,27,24
103,1,0:22.0,,C. Lee misses 2-pt jump shot from 15 ft,27,24
104,1,0:20.0,Defensive rebound by M. Kidd-Gilchrist,,27,24
105,1,0:01.0,M. Bridges misses 3-pt jump shot from 25 ft,,27,24
106,1,0:01.0,Offensive rebound by Team,,27,24
107,2,11:49.0,,K. Knox misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),27,24
108,2,11:47.0,Defensive rebound by M. Bridges,,27,24
109,2,11:44.0,M. Monk makes 2-pt dunk from 1 ft (assist by M. Bridges),,29,24
110,2,11:28.0,,D. Dotson misses 2-pt jump shot from 12 ft (block by M. Bridges),29,24
111,2,11:26.0,Defensive rebound by T. Parker,,29,24
112,2,11:18.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,31,24
113,2,11:04.0,,Turnover by F. Ntilikina (bad pass; steal by M. Monk),31,24
114,2,11:00.0,M. Monk makes 3-pt jump shot from 27 ft (assist by T. Parker),,34,24
115,2,10:54.0,,New York full timeout,34,24
116,2,10:33.0,,C. Lee misses 2-pt jump shot from 18 ft,34,24
117,2,10:31.0,Defensive rebound by M. Monk,,34,24
118,2,10:16.0,M. Monk misses 3-pt jump shot from 25 ft,,34,24
119,2,10:14.0,Offensive rebound by M. Kidd-Gilchrist,,34,24
120,2,10:14.0,Charlotte full timeout,,34,24
121,2,10:14.0,,N. Vonleh enters the game for M. Robinson,34,24
122,2,9:59.0,M. Kidd-Gilchrist misses 2-pt hook shot from 4 ft,,34,24
123,2,9:57.0,,Defensive rebound by N. Vonleh,34,24
124,2,9:44.0,,K. Knox makes 2-pt jump shot from 13 ft (assist by N. Vonleh),34,26
125,2,9:25.0,M. Bridges misses 2-pt layup from 3 ft,,34,26
126,2,9:24.0,Offensive rebound by Team,,34,26
127,2,9:21.0,T. Parker misses 2-pt jump shot from 18 ft,,34,26
128,2,9:19.0,,Defensive rebound by N. Vonleh,34,26
129,2,9:09.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by N. Vonleh),34,28
130,2,8:49.0,M. Monk misses 2-pt jump shot from 10 ft,,34,28
131,2,8:47.0,,Defensive rebound by K. Knox,34,28
132,2,8:43.0,,K. Knox makes 2-pt layup from 3 ft,34,30
133,2,8:31.0,Shooting foul by F. Ntilikina (drawn by T. Parker),,34,30
134,2,8:31.0,T. Parker misses free throw 1 of 2,,34,30
135,2,8:31.0,Offensive rebound by Team,,34,30
136,2,8:31.0,M. Williams enters the game for F. Kaminsky,,34,30
137,2,8:31.0,C. Zeller enters the game for M. Kidd-Gilchrist,,34,30
138,2,8:31.0,T. Parker makes free throw 2 of 2,,35,30
139,2,8:24.0,,Personal foul by M. Williams (drawn by N. Vonleh),35,30
140,2,8:24.0,K. Walker enters the game for T. Parker,,35,30
141,2,8:17.0,,K. Knox misses 3-pt jump shot from 25 ft,35,30
142,2,8:15.0,Defensive rebound by K. Walker,,35,30
143,2,8:07.0,K. Walker makes 2-pt layup from 1 ft,,37,30
144,2,7:54.0,,F. Ntilikina misses 2-pt jump shot from 12 ft,37,30
145,2,7:52.0,Defensive rebound by C. Zeller,,37,30
146,2,7:49.0,Shooting foul by C. Lee (drawn by M. Bridges),,37,30
147,2,7:49.0,,T. Hardaway enters the game for C. Lee,37,30
148,2,7:49.0,,E. Mudiay enters the game for F. Ntilikina,37,30
149,2,7:49.0,M. Bridges makes free throw 1 of 2,,38,30
150,2,7:49.0,M. Bridges makes free throw 2 of 2,,39,30
151,2,7:27.0,,E. Mudiay misses 3-pt jump shot from 26 ft,39,30
152,2,7:25.0,Defensive rebound by C. Zeller,,39,30
153,2,7:16.0,M. Bridges makes 2-pt dunk at rim (assist by K. Walker),,41,30
154,2,7:07.0,,K. Knox makes 2-pt layup from 1 ft (assist by T. Hardaway),41,32
155,2,6:54.0,M. Monk makes 3-pt jump shot from 25 ft (assist by M. Williams),,44,32
156,2,6:36.0,,D. Dotson makes 2-pt jump shot from 17 ft (assist by N. Vonleh),44,34
157,2,6:22.0,K. Walker misses 2-pt jump shot from 12 ft,,44,34
158,2,6:20.0,,Defensive rebound by E. Mudiay,44,34
159,2,6:12.0,,E. Mudiay misses 2-pt layup from 1 ft,44,34
160,2,6:11.0,Defensive rebound by C. Zeller,,44,34
161,2,6:08.0,Turnover by K. Walker (bad pass),,44,34
162,2,5:49.0,,Turnover by D. Dotson (lost ball; steal by K. Walker),44,34
163,2,5:43.0,M. Bridges misses 2-pt jump shot from 21 ft,,44,34
164,2,5:41.0,Offensive rebound by C. Zeller,,44,34
165,2,5:38.0,Shooting foul by K. Knox (drawn by K. Walker),,44,34
166,2,5:38.0,K. Walker makes free throw 1 of 2,,45,34
167,2,5:38.0,J. Lamb enters the game for M. Monk,,45,34
168,2,5:38.0,,E. Freedom enters the game for K. Knox,45,34
169,2,5:38.0,K. Walker makes free throw 2 of 2,,46,34
170,2,5:28.0,,Turnover by T. Hardaway (lost ball; steal by K. Walker),46,34
171,2,5:16.0,K. Walker misses 3-pt jump shot from 25 ft,,46,34
172,2,5:14.0,Offensive rebound by M. Bridges,,46,34
173,2,5:00.0,K. Walker makes 3-pt jump shot from 26 ft,,49,34
174,2,4:53.0,,New York full timeout,49,34
175,2,4:53.0,T. Parker enters the game for M. Bridges,,49,34
176,2,4:40.0,,Turnover by D. Dotson (bad pass; steal by C. Zeller),49,34
177,2,4:35.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by K. Walker),,52,34
178,2,4:21.0,,E. Mudiay makes 2-pt jump shot from 11 ft (assist by T. Hardaway),52,36
179,2,4:00.0,K. Walker misses 2-pt jump shot from 16 ft,,52,36
180,2,3:58.0,,Defensive rebound by N. Vonleh,52,36
181,2,3:49.0,,Personal foul by C. Zeller (drawn by E. Freedom),52,36
182,2,3:41.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by E. Mudiay),52,38
183,2,3:41.0,,Shooting foul by J. Lamb (drawn by T. Hardaway),52,38
184,2,3:41.0,,K. Knox enters the game for D. Dotson,52,38
185,2,3:41.0,,T. Hardaway makes free throw 1 of 1,52,39
186,2,3:18.0,T. Parker misses 2-pt jump shot from 15 ft,,52,39
187,2,3:16.0,,Defensive rebound by N. Vonleh,52,39
188,2,3:09.0,,K. Knox misses 3-pt jump shot from 24 ft,52,39
189,2,3:07.0,Defensive rebound by C. Zeller,,52,39
190,2,3:05.0,Violation by Team (kicked ball),,52,39
191,2,2:49.0,,Turnover by E. Mudiay (bad pass),52,39
192,2,2:36.0,T. Parker misses 3-pt jump shot from 25 ft,,52,39
193,2,2:34.0,,Defensive rebound by N. Vonleh,52,39
194,2,2:19.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by T. Hardaway),52,42
195,2,2:07.0,K. Walker makes 3-pt jump shot from 26 ft,,55,42
196,2,2:07.0,Shooting foul by E. Mudiay (drawn by K. Walker),,55,42
197,2,2:07.0,N. Batum enters the game for T. Parker,,55,42
198,2,2:07.0,K. Walker makes free throw 1 of 1,,56,42
199,2,1:56.0,,K. Knox misses 2-pt jump shot from 19 ft,56,42
200,2,1:54.0,Defensive rebound by K. Walker,,56,42
201,2,1:38.0,K. Walker makes 3-pt jump shot from 25 ft,,59,42
202,2,1:29.0,,E. Mudiay makes 2-pt jump shot from 16 ft,59,44
203,2,1:11.0,M. Williams misses 3-pt jump shot from 25 ft,,59,44
204,2,1:10.0,Offensive rebound by K. Walker,,59,44
205,2,1:06.0,J. Lamb misses 3-pt jump shot from 26 ft,,59,44
206,2,1:04.0,,Defensive rebound by T. Hardaway,59,44
207,2,1:00.0,,Turnover by T. Hardaway (bad pass; steal by K. Walker),59,44
208,2,0:58.0,Shooting foul by N. Vonleh (drawn by M. Williams),,59,44
209,2,0:58.0,M. Williams makes free throw 1 of 2,,60,44
210,2,0:58.0,M. Williams makes free throw 2 of 2,,61,44
211,2,0:48.0,,E. Mudiay misses 3-pt jump shot from 24 ft,61,44
212,2,0:46.0,Defensive rebound by M. Williams,,61,44
213,2,0:39.0,K. Walker misses 2-pt jump shot from 6 ft,,61,44
214,2,0:37.0,,Defensive rebound by N. Vonleh,61,44
215,2,0:27.0,,K. Knox misses 2-pt hook shot from 8 ft,61,44
216,2,0:26.0,,Offensive rebound by Team,61,44
217,2,0:26.0,Loose ball foul by M. Williams (drawn by E. Freedom),,61,44
218,2,0:26.0,,D. Dotson enters the game for E. Freedom,61,44
219,2,0:15.0,,T. Hardaway makes 3-pt jump shot from 26 ft,61,47
220,2,0:00.0,K. Walker misses 3-pt jump shot from 26 ft,,61,47
221,2,0:00.0,Offensive rebound by Team,,61,47
222,3,11:47.0,,K. Knox misses 2-pt jump shot from 14 ft,61,47
223,3,11:45.0,Defensive rebound by J. Lamb,,61,47
224,3,11:28.0,J. Lamb makes 2-pt jump shot from 8 ft,,63,47
225,3,11:05.0,,N. Vonleh misses 2-pt layup from 1 ft (block by C. Zeller),63,47
226,3,11:04.0,Defensive rebound by Team,,63,47
227,3,10:52.0,K. Walker makes 2-pt layup from 8 ft (assist by N. Batum),,65,47
228,3,10:37.0,,K. Knox makes 2-pt jump shot from 10 ft,65,49
229,3,10:23.0,J. Lamb makes 2-pt layup from 1 ft (assist by N. Batum),,67,49
230,3,10:06.0,,Turnover by E. Freedom (lost ball; steal by C. Zeller),67,49
231,3,9:57.0,J. Lamb makes 2-pt layup from 2 ft,,69,49
232,3,9:57.0,,New York full timeout,69,49
233,3,9:55.0,,Offensive foul by T. Hardaway (drawn by N. Batum),69,49
234,3,9:55.0,,Turnover by T. Hardaway (offensive foul),69,49
235,3,9:47.0,Personal foul by E. Freedom (drawn by K. Walker),,69,49
236,3,9:37.0,N. Batum makes 3-pt jump shot from 26 ft (assist by C. Zeller),,72,49
237,3,9:24.0,,N. Vonleh misses 3-pt jump shot from 26 ft,72,49
238,3,9:23.0,Defensive rebound by Team,,72,49
239,3,9:10.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,75,49
240,3,8:58.0,,E. Mudiay misses 3-pt jump shot from 25 ft,75,49
241,3,8:56.0,Defensive rebound by M. Williams,,75,49
242,3,8:50.0,J. Lamb makes 2-pt layup from 1 ft,,77,49
243,3,8:42.0,,Personal foul by N. Batum (drawn by T. Hardaway),77,49
244,3,8:42.0,,D. Dotson enters the game for E. Mudiay,77,49
245,3,8:42.0,,F. Ntilikina enters the game for N. Vonleh,77,49
246,3,8:39.0,,Turnover by T. Hardaway (offensive foul),77,49
247,3,8:39.0,,Offensive foul by T. Hardaway (drawn by K. Walker),77,49
248,3,8:25.0,M. Williams misses 2-pt layup from 8 ft,,77,49
249,3,8:23.0,,Defensive rebound by K. Knox,77,49
250,3,8:18.0,,Personal foul by N. Batum (drawn by E. Freedom),77,49
251,3,8:09.0,,K. Knox makes 3-pt jump shot from 24 ft (assist by D. Dotson),77,52
252,3,7:53.0,M. Williams misses 3-pt jump shot from 26 ft,,77,52
253,3,7:51.0,,Defensive rebound by K. Knox,77,52
254,3,7:45.0,,F. Ntilikina misses 2-pt layup from 2 ft,77,52
255,3,7:43.0,,Offensive rebound by E. Freedom,77,52
256,3,7:43.0,,E. Freedom misses 2-pt layup at rim,77,52
257,3,7:41.0,Defensive rebound by N. Batum,,77,52
258,3,7:32.0,N. Batum makes 3-pt jump shot from 24 ft (assist by C. Zeller),,80,52
259,3,7:22.0,,K. Knox misses 3-pt jump shot from 27 ft,80,52
