,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,K. Middleton misses 2-pt jump shot from 22 ft,0,0
1,1,11:41.0,Defensive rebound by C. Osman,,0,0
2,1,11:24.0,R. Hood misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,,Defensive rebound by E. Bledsoe,0,0
4,1,11:15.0,,E. Bledsoe misses 2-pt jump shot from 5 ft,0,0
5,1,11:12.0,Defensive rebound by C. Osman,,0,0
6,1,11:01.0,C. Sexton misses 2-pt jump shot from 21 ft,,0,0
7,1,10:59.0,,Defensive rebound by E. Bledsoe,0,0
8,1,10:48.0,,Turnover by K. Middleton (bad pass; steal by R. Hood),0,0
9,1,10:42.0,C. Osman misses 2-pt layup from 4 ft (block by E. İlyasova),,0,0
10,1,10:42.0,Offensive rebound by T. Thompson,,0,0
11,1,10:31.0,R. Hood misses 2-pt jump shot from 21 ft,,0,0
12,1,10:28.0,,Defensive rebound by E. Bledsoe,0,0
13,1,10:18.0,,K. Middleton misses 2-pt jump shot from 3 ft,0,0
14,1,10:17.0,,Offensive rebound by E. İlyasova,0,0
15,1,10:17.0,,E. İlyasova misses 2-pt layup at rim,0,0
16,1,10:17.0,,Offensive rebound by E. İlyasova,0,0
17,1,10:17.0,,E. İlyasova misses 2-pt layup at rim,0,0
18,1,10:17.0,,Offensive rebound by Team,0,0
19,1,10:12.0,,B. Lopez makes 2-pt hook shot from 8 ft (assist by M. Brogdon),0,2
20,1,9:56.0,C. Osman makes 2-pt jump shot from 18 ft,,2,2
21,1,9:47.0,,E. İlyasova makes 2-pt layup from 3 ft (assist by K. Middleton),2,4
22,1,9:29.0,T. Thompson makes 2-pt dunk from 2 ft (assist by C. Sexton),,4,4
23,1,9:16.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),4,7
24,1,9:03.0,C. Sexton misses 2-pt hook shot from 8 ft,,4,7
25,1,9:00.0,,Defensive rebound by K. Middleton,4,7
26,1,8:55.0,,K. Middleton misses 2-pt hook shot from 4 ft,4,7
27,1,8:52.0,Defensive rebound by C. Osman,,4,7
28,1,8:50.0,Personal foul by E. İlyasova (drawn by C. Osman),,4,7
29,1,8:41.0,A. Burks misses 2-pt jump shot from 16 ft,,4,7
30,1,8:38.0,,Defensive rebound by E. İlyasova,4,7
31,1,8:32.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,4,7
32,1,8:30.0,,Offensive rebound by E. İlyasova,4,7
33,1,8:30.0,,Turnover by E. İlyasova (out of bounds lost ball),4,7
34,1,8:17.0,C. Osman misses 2-pt jump shot from 19 ft,,4,7
35,1,8:14.0,,Defensive rebound by M. Brogdon,4,7
36,1,8:03.0,,E. İlyasova misses 2-pt jump shot from 6 ft,4,7
37,1,8:00.0,Defensive rebound by C. Osman,,4,7
38,1,7:56.0,T. Thompson makes 2-pt hook shot from 6 ft (assist by C. Osman),,6,7
39,1,7:32.0,,E. İlyasova misses 3-pt jump shot from 24 ft,6,7
40,1,7:30.0,Defensive rebound by C. Sexton,,6,7
41,1,7:23.0,C. Sexton misses 2-pt layup from 3 ft (block by B. Lopez),,6,7
42,1,7:19.0,,Defensive rebound by K. Middleton,6,7
43,1,7:17.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),6,9
44,1,7:00.0,R. Hood misses 3-pt jump shot from 27 ft,,6,9
45,1,6:57.0,,Defensive rebound by E. Bledsoe,6,9
46,1,6:55.0,,K. Middleton misses 2-pt layup from 2 ft (block by R. Hood),6,9
47,1,6:55.0,Defensive rebound by R. Hood,,6,9
48,1,6:46.0,Turnover by C. Sexton (step out of bounds),,6,9
49,1,6:46.0,,Milwaukee full timeout,6,9
50,1,6:46.0,,S. Brown enters the game for M. Brogdon,6,9
51,1,6:46.0,,T. Snell enters the game for E. İlyasova,6,9
