,QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
0,1,11:46.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),0,3
1,1,11:19.0,G. Harris misses 3-pt jump shot from 24 ft,,0,3
2,1,11:17.0,,Defensive rebound by M. Gasol,0,3
3,1,11:01.0,,J. Holiday misses 3-pt jump shot from 23 ft,0,3
4,1,10:58.0,,Offensive rebound by M. Gasol,0,3
5,1,10:55.0,,J. Jackson misses 3-pt jump shot from 25 ft,0,3
6,1,10:52.0,Defensive rebound by T. Craig,,0,3
7,1,10:40.0,T. Craig misses 2-pt layup from 2 ft,,0,3
8,1,10:37.0,,Defensive rebound by J. Holiday,0,3
9,1,10:34.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Anderson),0,5
10,1,10:16.0,N. Jokić misses 3-pt jump shot from 26 ft,,0,5
11,1,10:14.0,,Defensive rebound by J. Holiday,0,5
12,1,10:02.0,,Turnover by K. Anderson (bad pass; steal by T. Craig),0,5
13,1,9:58.0,W. Barton misses 3-pt jump shot from 25 ft,,0,5
14,1,9:57.0,Offensive rebound by Team,,0,5
15,1,9:54.0,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),,2,5
16,1,9:40.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Conley),2,7
17,1,9:24.0,P. Millsap misses 2-pt jump shot from 9 ft,,2,7
18,1,9:21.0,,Defensive rebound by M. Conley,2,7
19,1,9:16.0,,J. Holiday makes 2-pt layup at rim (assist by M. Conley),2,9
20,1,9:16.0,,Shooting foul by G. Harris (drawn by J. Holiday),2,9
21,1,9:16.0,,J. Holiday makes free throw 1 of 1,2,10
22,1,9:00.0,P. Millsap misses 2-pt layup from 2 ft,,2,10
23,1,8:57.0,,Defensive rebound by J. Jackson,2,10
24,1,8:52.0,,M. Conley makes 3-pt jump shot from 26 ft,2,13
25,1,8:51.0,Denver full timeout,,2,13
26,1,8:40.0,Turnover by N. Jokić (out of bounds lost ball),,2,13
27,1,8:23.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),2,16
28,1,7:54.0,W. Barton makes 2-pt layup from 1 ft,,4,16
29,1,7:36.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),4,18
30,1,7:14.0,G. Harris makes 2-pt jump shot from 16 ft,,6,18
31,1,7:01.0,,M. Conley misses 3-pt jump shot from 25 ft,6,18
32,1,6:57.0,Defensive rebound by P. Millsap,,6,18
33,1,6:42.0,T. Craig makes 3-pt jump shot from 24 ft (assist by W. Barton),,9,18
34,1,6:19.0,,M. Gasol misses 3-pt jump shot from 23 ft,9,18
35,1,6:17.0,Defensive rebound by P. Millsap,,9,18
36,1,6:09.0,P. Millsap misses 3-pt jump shot from 26 ft,,9,18
37,1,6:06.0,,Defensive rebound by M. Gasol,9,18
38,1,5:54.0,,Turnover by M. Gasol (bad pass),9,18
39,1,5:54.0,,B. Caboclo enters the game for K. Anderson,9,18
40,1,5:42.0,Personal foul by J. Holiday (drawn by N. Jokić),,9,18
41,1,5:31.0,N. Jokić misses 3-pt jump shot from 27 ft,,9,18
42,1,5:25.0,Offensive rebound by T. Craig,,9,18
43,1,5:13.0,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),,11,18
44,1,4:53.0,,J. Holiday misses 2-pt jump shot from 18 ft,11,18
45,1,4:49.0,,Offensive rebound by J. Jackson,11,18
46,1,4:47.0,,J. Jackson misses 2-pt layup from 3 ft (block by P. Millsap),11,18
