,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,I. Zubac makes 2-pt layup from 1 ft (assist by L. Shamet),0,2
1,1,11:24.0,T. Hardaway misses 3-pt jump shot from 24 ft,,0,2
2,1,11:21.0,,Defensive rebound by I. Zubac,0,2
3,1,11:12.0,,I. Zubac misses 2-pt jump shot from 9 ft (block by D. Nowitzki),0,2
4,1,11:08.0,Defensive rebound by D. Finney-Smith,,0,2
5,1,11:06.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,0,2
6,1,11:06.0,,Defensive rebound by S. Gilgeous-Alexander,0,2
7,1,10:46.0,,D. Gallinari misses 2-pt jump shot from 10 ft,0,2
8,1,10:43.0,Defensive rebound by L. Dončić,,0,2
9,1,10:37.0,L. Dončić makes 3-pt jump shot from 27 ft,,3,2
10,1,10:22.0,,I. Zubac makes 2-pt layup from 2 ft (assist by D. Gallinari),3,4
11,1,10:22.0,,Shooting foul by D. Nowitzki (drawn by I. Zubac),3,4
12,1,10:22.0,,I. Zubac makes free throw 1 of 1,3,5
13,1,10:14.0,Turnover by L. Dončić (traveling),,3,5
14,1,10:03.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by P. Beverley),3,8
15,1,9:47.0,D. Powell makes 3-pt jump shot from 23 ft (assist by L. Dončić),,6,8
16,1,9:34.0,,L. Shamet misses 2-pt jump shot from 21 ft,6,8
17,1,9:31.0,Defensive rebound by D. Finney-Smith,,6,8
18,1,9:21.0,L. Dončić makes 3-pt jump shot from 27 ft,,9,8
19,1,9:05.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,9,8
20,1,8:59.0,Defensive rebound by T. Hardaway,,9,8
21,1,8:55.0,Turnover by T. Hardaway (bad pass; steal by S. Gilgeous-Alexander),,9,8
22,1,8:48.0,,P. Beverley misses 3-pt jump shot from 26 ft,9,8
23,1,8:44.0,Defensive rebound by L. Dončić,,9,8
24,1,8:40.0,Personal foul by P. Beverley (drawn by L. Dončić),,9,8
25,1,8:32.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,9,8
26,1,8:28.0,Offensive rebound by D. Powell,,9,8
27,1,8:19.0,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,11,8
28,1,8:05.0,,I. Zubac misses 2-pt layup from 3 ft (block by D. Finney-Smith),11,8
29,1,8:02.0,Defensive rebound by D. Nowitzki,,11,8
30,1,7:57.0,T. Hardaway misses 2-pt hook shot from 6 ft,,11,8
31,1,7:52.0,,Defensive rebound by D. Gallinari,11,8
32,1,7:38.0,,D. Gallinari misses 2-pt jump shot from 21 ft,11,8
33,1,7:35.0,Defensive rebound by D. Nowitzki,,11,8
34,1,7:26.0,L. Dončić misses 2-pt layup from 4 ft (block by D. Gallinari),,11,8
35,1,7:24.0,,Defensive rebound by P. Beverley,11,8
36,1,7:22.0,,L. Shamet misses 3-pt jump shot from 24 ft,11,8
37,1,7:17.0,Defensive rebound by D. Powell,,11,8
38,1,7:07.0,Offensive foul by L. Dončić (drawn by P. Beverley),,11,8
39,1,7:07.0,Turnover by L. Dončić (offensive foul),,11,8
40,1,6:47.0,,D. Gallinari makes 2-pt layup from 2 ft,11,10
41,1,6:32.0,L. Dončić makes 2-pt layup from 2 ft (assist by T. Hardaway),,13,10
42,1,6:17.0,,P. Beverley makes 3-pt jump shot from 26 ft,13,13
43,1,5:58.0,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),,15,13
44,1,5:36.0,,L. Shamet misses 3-pt jump shot from 25 ft,15,13
45,1,5:33.0,,Offensive rebound by Team,15,13
46,1,5:33.0,,LA Clippers full timeout,15,13
47,1,5:33.0,J. Brunson enters the game for L. Dončić,,15,13
48,1,5:33.0,M. Kleber enters the game for D. Nowitzki,,15,13
49,1,5:33.0,S. Mejri enters the game for D. Powell,,15,13
50,1,5:30.0,,L. Shamet misses 3-pt jump shot from 23 ft,15,13
51,1,5:29.0,Defensive rebound by S. Mejri,,15,13
52,1,5:16.0,T. Hardaway misses 3-pt jump shot from 26 ft,,15,13
53,1,5:13.0,,Defensive rebound by I. Zubac,15,13
54,1,5:06.0,,P. Beverley misses 3-pt jump shot from 25 ft,15,13
55,1,5:02.0,Defensive rebound by S. Mejri,,15,13
56,1,4:54.0,J. Brunson misses 2-pt jump shot from 15 ft,,15,13
57,1,4:52.0,Offensive rebound by Team,,15,13
58,1,4:52.0,,M. Harrell enters the game for L. Shamet,15,13
59,1,4:52.0,,L. Williams enters the game for I. Zubac,15,13
60,1,4:47.0,T. Hardaway makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),,17,13
61,1,4:30.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 3 ft,17,13
62,1,4:27.0,Defensive rebound by M. Kleber,,17,13
63,1,4:19.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,17,13
64,1,4:15.0,,Defensive rebound by S. Gilgeous-Alexander,17,13
65,1,3:57.0,,M. Harrell misses 2-pt hook shot from 3 ft (block by D. Finney-Smith),17,13
