,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:50.0,,Turnover by G. Antetokounmpo (bad pass),0,0
1,1,11:39.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,2,0
2,1,11:19.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),2,3
3,1,10:56.0,B. Brown misses 2-pt jump shot from 8 ft,,2,3
4,1,10:53.0,,Defensive rebound by M. Brogdon,2,3
5,1,10:48.0,,M. Brogdon makes 2-pt layup from 2 ft,2,5
6,1,10:21.0,R. Jackson makes 2-pt layup from 1 ft (assist by B. Griffin),,4,5
7,1,10:12.0,,M. Brogdon makes 2-pt layup from 3 ft,4,7
8,1,10:02.0,R. Bullock misses 3-pt jump shot from 27 ft,,4,7
9,1,9:59.0,,Defensive rebound by E. Bledsoe,4,7
10,1,9:56.0,,Personal foul by B. Brown (drawn by E. Bledsoe),4,7
11,1,9:48.0,,E. Bledsoe misses 2-pt layup from 3 ft,4,7
12,1,9:46.0,Defensive rebound by B. Griffin,,4,7
13,1,9:26.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by R. Bullock),,7,7
14,1,9:19.0,,Turnover by G. Antetokounmpo (bad pass),7,7
15,1,9:09.0,Turnover by R. Jackson (bad pass; steal by E. Bledsoe),,7,7
16,1,9:06.0,,E. Bledsoe makes 2-pt layup from 3 ft (assist by M. Brogdon),7,9
17,1,8:47.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,9,9
18,1,8:35.0,,M. Brogdon makes 2-pt layup from 7 ft (assist by G. Antetokounmpo),9,11
19,1,8:17.0,B. Griffin misses 3-pt jump shot from 28 ft,,9,11
20,1,8:17.0,,Defensive rebound by Team,9,11
21,1,8:02.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,9,11
22,1,7:59.0,Defensive rebound by B. Griffin,,9,11
23,1,7:56.0,B. Brown misses 2-pt layup from 1 ft,,9,11
24,1,7:54.0,,Defensive rebound by K. Middleton,9,11
25,1,7:46.0,,Personal foul by B. Griffin (drawn by G. Antetokounmpo),9,11
26,1,7:46.0,,S. Brown enters the game for M. Brogdon,9,11
27,1,7:42.0,,S. Brown makes 2-pt dunk from 3 ft (assist by G. Antetokounmpo),9,13
28,1,7:26.0,Turnover by R. Bullock (lost ball; steal by S. Brown),,9,13
29,1,7:21.0,,S. Brown makes 2-pt dunk from 2 ft (assist by E. Bledsoe),9,15
30,1,7:17.0,Detroit full timeout,,9,15
31,1,6:55.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by B. Brown),,12,15
32,1,6:43.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by E. Bledsoe),12,17
33,1,6:30.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,15,17
34,1,6:19.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by K. Middleton),15,20
35,1,5:55.0,R. Jackson makes 2-pt jump shot from 4 ft,,17,20
36,1,5:42.0,,K. Middleton misses 2-pt jump shot from 11 ft,17,20
37,1,5:42.0,,Offensive rebound by Team,17,20
