,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,A. Wiggins misses 2-pt layup at rim,0,0
1,1,11:45.0,Defensive rebound by R. Gay,,0,0
2,1,11:30.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by R. Gay),,2,0
3,1,11:12.0,,A. Wiggins misses 2-pt layup at rim,2,0
4,1,11:11.0,,Offensive rebound by A. Wiggins,2,0
5,1,11:11.0,,Shooting foul by L. Aldridge (drawn by A. Wiggins),2,0
6,1,11:11.0,,A. Wiggins makes free throw 1 of 2,2,1
7,1,11:11.0,,A. Wiggins misses free throw 2 of 2,2,1
8,1,11:09.0,Defensive rebound by L. Aldridge,,2,1
9,1,10:50.0,L. Aldridge misses 2-pt jump shot from 11 ft,,2,1
10,1,10:47.0,,Defensive rebound by R. Covington,2,1
11,1,10:28.0,,K. Towns misses 2-pt layup from 8 ft,2,1
12,1,10:26.0,Defensive rebound by R. Gay,,2,1
13,1,10:17.0,Turnover by D. DeRozan (lost ball; steal by K. Towns),,2,1
14,1,10:13.0,,R. Covington makes 2-pt layup from 1 ft (assist by K. Towns),2,3
15,1,9:56.0,L. Aldridge misses 2-pt jump shot from 20 ft,,2,3
16,1,9:53.0,,Defensive rebound by R. Covington,2,3
17,1,9:42.0,,Turnover by J. Teague (lost ball; steal by R. Gay),2,3
18,1,9:39.0,L. Aldridge misses 2-pt layup from 2 ft (block by R. Covington),,2,3
19,1,9:39.0,Offensive rebound by Team,,2,3
20,1,9:30.0,L. Aldridge makes 2-pt layup from 2 ft (assist by B. Forbes),,4,3
21,1,9:11.0,,A. Wiggins makes 2-pt hook shot from 5 ft (assist by J. Teague),4,5
22,1,8:54.0,R. Gay makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,7,5
23,1,8:39.0,,T. Gibson misses 2-pt jump shot from 12 ft,7,5
24,1,8:37.0,,Offensive rebound by K. Towns,7,5
25,1,8:35.0,,K. Towns makes 2-pt layup from 1 ft,7,7
26,1,8:24.0,Turnover by D. DeRozan (bad pass),,7,7
27,1,8:07.0,,J. Teague misses 3-pt jump shot from 26 ft,7,7
28,1,8:04.0,Defensive rebound by L. Aldridge,,7,7
29,1,7:52.0,Personal foul by J. Teague (drawn by L. Aldridge),,7,7
30,1,7:39.0,R. Gay misses 3-pt jump shot from 22 ft,,7,7
31,1,7:37.0,,Defensive rebound by A. Wiggins,7,7
32,1,7:31.0,,Personal foul by R. Gay (drawn by T. Gibson),7,7
33,1,7:18.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),7,9
34,1,7:07.0,B. Forbes misses 2-pt jump shot from 17 ft,,7,9
35,1,7:04.0,,Defensive rebound by T. Gibson,7,9
36,1,6:53.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),7,11
37,1,6:40.0,D. White misses 2-pt jump shot from 16 ft,,7,11
38,1,6:38.0,,Defensive rebound by K. Towns,7,11
39,1,6:32.0,,R. Covington makes 3-pt jump shot from 25 ft,7,14
40,1,6:32.0,San Antonio full timeout,,7,14
41,1,6:32.0,D. Cunningham enters the game for R. Gay,,7,14
42,1,6:32.0,P. Mills enters the game for D. White,,7,14
43,1,6:07.0,Turnover by D. DeRozan (lost ball; steal by R. Covington),,7,14
44,1,6:02.0,,R. Covington makes 2-pt layup from 1 ft (assist by J. Teague),7,16
45,1,5:54.0,Personal foul by R. Covington (drawn by D. DeRozan),,7,16
46,1,5:49.0,D. DeRozan makes 2-pt jump shot from 18 ft,,9,16
47,1,5:34.0,,A. Wiggins misses 2-pt layup from 3 ft,9,16
48,1,5:33.0,,Offensive rebound by A. Wiggins,9,16
49,1,5:33.0,,Shooting foul by D. Cunningham (drawn by A. Wiggins),9,16
50,1,5:33.0,,A. Wiggins makes free throw 1 of 2,9,17
51,1,5:33.0,,A. Wiggins makes free throw 2 of 2,9,18
52,1,5:20.0,D. DeRozan misses 2-pt jump shot from 20 ft,,9,18
53,1,5:18.0,,Defensive rebound by T. Gibson,9,18
54,1,5:10.0,,K. Towns misses 3-pt jump shot from 27 ft,9,18
55,1,5:08.0,Defensive rebound by D. DeRozan,,9,18
56,1,5:01.0,P. Mills misses 3-pt jump shot from 25 ft,,9,18
57,1,4:58.0,,Defensive rebound by T. Gibson,9,18
58,1,4:50.0,,Turnover by K. Towns (bad pass),9,18
59,1,4:50.0,,D. Rose enters the game for R. Covington,9,18
60,1,4:34.0,D. Cunningham makes 2-pt jump shot from 16 ft (assist by P. Mills),,11,18
61,1,4:08.0,,A. Wiggins misses 3-pt jump shot from 26 ft,11,18
62,1,4:06.0,Defensive rebound by B. Forbes,,11,18
63,1,4:02.0,B. Forbes misses 3-pt jump shot from 26 ft,,11,18
64,1,3:59.0,,Defensive rebound by K. Towns,11,18
65,1,3:50.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),11,20
66,1,3:35.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by P. Mills),,14,20
67,1,3:25.0,,J. Teague makes 2-pt layup from 1 ft,14,22
68,1,3:00.0,P. Mills misses 3-pt jump shot from 24 ft,,14,22
69,1,2:58.0,,Defensive rebound by K. Towns,14,22
70,1,2:55.0,,Offensive foul by A. Wiggins (drawn by P. Mills),14,22
71,1,2:55.0,,Turnover by A. Wiggins (offensive foul),14,22
72,1,2:55.0,,Minnesota full timeout,14,22
73,1,2:55.0,M. Belinelli enters the game for B. Forbes,,14,22
74,1,2:55.0,,T. Jones enters the game for T. Gibson,14,22
75,1,2:55.0,,D. Šarić enters the game for J. Teague,14,22
76,1,2:35.0,L. Aldridge misses 2-pt jump shot from 10 ft,,14,22
77,1,2:33.0,,Defensive rebound by D. Šarić,14,22
78,1,2:18.0,,A. Wiggins misses 2-pt jump shot from 6 ft (block by D. DeRozan),14,22
79,1,2:12.0,Defensive rebound by D. Cunningham,,14,22
80,1,2:11.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,17,22
81,1,2:01.0,,D. Rose makes 3-pt jump shot from 25 ft,17,25
82,1,1:37.0,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),,19,25
83,1,1:23.0,,K. Towns misses 3-pt jump shot from 25 ft,19,25
84,1,1:20.0,Defensive rebound by D. Cunningham,,19,25
85,1,1:10.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,22,25
86,1,0:49.0,,D. Rose makes 3-pt jump shot from 27 ft (assist by K. Towns),22,28
87,1,0:30.0,Turnover by D. DeRozan (bad pass; steal by K. Towns),,22,28
88,1,0:07.0,,D. Šarić misses 2-pt jump shot from 14 ft,22,28
89,1,0:04.0,Defensive rebound by P. Mills,,22,28
90,1,0:02.0,P. Mills makes 2-pt jump shot from 7 ft,,24,28
91,1,0:02.0,Shooting foul by D. Šarić (drawn by P. Mills),,24,28
92,1,0:02.0,P. Mills makes free throw 1 of 1,,25,28
93,1,0:00.0,,T. Jones misses 3-pt jump shot from 25 ft,25,28
94,1,0:00.0,,Offensive rebound by Team,25,28
95,2,11:44.0,P. Mills misses 2-pt layup from 4 ft (block by G. Dieng),,25,28
96,2,11:41.0,,Defensive rebound by G. Dieng,25,28
97,2,11:34.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by T. Jones),25,30
98,2,11:11.0,J. Poeltl makes 2-pt layup from 1 ft (assist by R. Gay),,27,30
99,2,10:58.0,,D. Rose makes 2-pt layup from 1 ft (assist by T. Jones),27,32
100,2,10:41.0,Turnover by R. Gay (bad pass),,27,32
101,2,10:26.0,,D. Šarić makes 2-pt dunk from 1 ft (assist by D. Rose),27,34
102,2,10:14.0,M. Belinelli misses 2-pt jump shot from 18 ft,,27,34
103,2,10:09.0,,Defensive rebound by D. Šarić,27,34
104,2,10:04.0,,T. Jones makes 2-pt layup from 1 ft,27,36
105,2,9:41.0,M. Belinelli misses 3-pt jump shot from 25 ft,,27,36
106,2,9:39.0,,Defensive rebound by D. Šarić,27,36
107,2,9:32.0,,T. Jones misses 2-pt jump shot from 19 ft,27,36
108,2,9:29.0,,Offensive rebound by G. Dieng,27,36
109,2,9:29.0,,G. Dieng makes 2-pt layup from 1 ft,27,38
110,2,9:29.0,San Antonio full timeout,,27,38
111,2,9:29.0,D. Bertāns enters the game for D. Cunningham,,27,38
112,2,9:29.0,B. Forbes enters the game for P. Mills,,27,38
113,2,9:09.0,D. Bertāns misses 3-pt jump shot from 25 ft,,27,38
114,2,9:07.0,Offensive rebound by D. Bertāns,,27,38
115,2,9:07.0,Personal foul by R. Covington (drawn by D. Bertāns),,27,38
116,2,9:00.0,Turnover by B. Forbes (lost ball; steal by T. Jones),,27,38
117,2,8:57.0,,T. Jones makes 2-pt layup from 2 ft,27,40
118,2,8:57.0,Violation by Team (def goaltending),,27,40
119,2,8:43.0,B. Forbes misses 2-pt jump shot from 20 ft,,27,40
120,2,8:39.0,,Defensive rebound by G. Dieng,27,40
121,2,8:25.0,,D. Šarić misses 3-pt jump shot from 27 ft,27,40
122,2,8:23.0,Defensive rebound by R. Gay,,27,40
123,2,8:19.0,Personal foul by D. Rose (drawn by J. Poeltl),,27,40
124,2,8:13.0,Turnover by J. Poeltl (lost ball; steal by T. Jones),,27,40
125,2,8:05.0,,R. Covington misses 3-pt jump shot from 23 ft,27,40
126,2,8:01.0,Defensive rebound by R. Gay,,27,40
