,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,,Turnover by B. Hield (bad pass; steal by D. White),0,0
1,1,11:23.0,B. Forbes misses 2-pt jump shot from 13 ft,,0,0
2,1,11:20.0,,Defensive rebound by W. Cauley-Stein,0,0
3,1,11:13.0,,Turnover by D. Fox (back court),0,0
4,1,10:56.0,D. White makes 2-pt jump shot from 7 ft (assist by B. Forbes),,2,0
5,1,10:42.0,,B. Hield misses 2-pt jump shot from 17 ft,2,0
6,1,10:40.0,Defensive rebound by L. Aldridge,,2,0
7,1,10:25.0,L. Aldridge misses 2-pt jump shot from 14 ft,,2,0
8,1,10:22.0,,Defensive rebound by I. Shumpert,2,0
9,1,10:14.0,,D. Fox makes 2-pt jump shot from 12 ft,2,2
10,1,9:53.0,D. White misses 3-pt jump shot from 25 ft,,2,2
11,1,9:50.0,Offensive rebound by D. Cunningham,,2,2
12,1,9:41.0,L. Aldridge misses 2-pt jump shot from 5 ft,,2,2
13,1,9:39.0,,Defensive rebound by N. Bjelica,2,2
14,1,9:33.0,,W. Cauley-Stein misses 2-pt layup from 3 ft (block by L. Aldridge),2,2
15,1,9:32.0,,Offensive rebound by B. Hield,2,2
16,1,9:28.0,,B. Hield makes 2-pt jump shot from 10 ft,2,4
17,1,9:08.0,Turnover by L. Aldridge (lost ball; steal by B. Hield),,2,4
18,1,9:03.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),2,7
19,1,8:41.0,D. DeRozan misses 2-pt jump shot from 19 ft,,2,7
20,1,8:41.0,Offensive rebound by Team,,2,7
21,1,8:41.0,,Loose ball foul by I. Shumpert (drawn by L. Aldridge),2,7
22,1,8:28.0,D. White makes 2-pt layup from 2 ft (assist by D. DeRozan),,4,7
23,1,8:15.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),4,9
24,1,7:52.0,B. Forbes misses 2-pt jump shot from 18 ft,,4,9
25,1,7:48.0,,Defensive rebound by W. Cauley-Stein,4,9
26,1,7:44.0,,D. Fox misses 3-pt jump shot from 26 ft,4,9
27,1,7:41.0,Defensive rebound by L. Aldridge,,4,9
28,1,7:30.0,D. White misses 2-pt jump shot from 15 ft,,4,9
29,1,7:24.0,,Defensive rebound by N. Bjelica,4,9
30,1,7:19.0,,I. Shumpert misses 2-pt jump shot from 6 ft,4,9
31,1,7:17.0,Defensive rebound by L. Aldridge,,4,9
32,1,7:09.0,L. Aldridge makes 2-pt jump shot from 8 ft (assist by D. White),,6,9
33,1,6:50.0,,B. Hield makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),6,11
34,1,6:31.0,L. Aldridge makes 2-pt jump shot from 13 ft,,8,11
35,1,6:22.0,,Turnover by D. Fox (traveling),8,11
36,1,6:22.0,,Sacramento full timeout,8,11
37,1,6:04.0,Def 3 sec tech foul by Team,,8,11
38,1,6:04.0,D. DeRozan makes technical free throw,,9,11
39,1,5:53.0,Turnover by D. Cunningham (bad pass; steal by I. Shumpert),,9,11
40,1,5:49.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by I. Shumpert),9,13
41,1,5:34.0,D. DeRozan makes 2-pt jump shot from 18 ft (assist by D. White),,11,13
42,1,5:11.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),11,16
43,1,4:59.0,D. White misses 2-pt jump shot from 8 ft (block by D. Fox),,11,16
44,1,4:56.0,,Defensive rebound by D. Fox,11,16
45,1,4:52.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),11,19
46,1,4:39.0,Turnover by D. White (bad pass; steal by B. Hield),,11,19
47,1,4:36.0,,B. Hield misses 2-pt layup from 2 ft,11,19
48,1,4:33.0,Defensive rebound by L. Aldridge,,11,19
49,1,4:29.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),,14,19
50,1,4:22.0,,I. Shumpert misses 3-pt jump shot from 25 ft,14,19
51,1,4:19.0,Defensive rebound by L. Aldridge,,14,19
52,1,4:10.0,D. DeRozan makes 2-pt jump shot from 8 ft,,16,19
