,QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
1,1,11:29.0,A. Gordon makes 2-pt jump shot from 19 ft (assist by J. Isaac),,2,2
2,1,11:18.0,,P. George misses 2-pt jump shot from 13 ft,2,2
3,1,11:14.0,,Offensive rebound by J. Grant,2,2
4,1,11:13.0,,Turnover by R. Westbrook (bad pass),2,2
5,1,10:58.0,J. Isaac makes 2-pt layup at rim,,4,2
6,1,10:45.0,,Turnover by P. George (lost ball; steal by A. Gordon),4,2
7,1,10:31.0,E. Fournier misses 3-pt jump shot from 26 ft,,4,2
8,1,10:28.0,,Defensive rebound by R. Westbrook,4,2
9,1,10:20.0,,T. Ferguson makes 3-pt jump shot from 22 ft (assist by S. Adams),4,5
10,1,9:57.0,N. Vučević misses 2-pt jump shot from 7 ft,,4,5
11,1,9:55.0,,Defensive rebound by J. Grant,4,5
12,1,9:51.0,,Personal foul by N. Vučević (drawn by S. Adams),4,5
13,1,9:46.0,,R. Westbrook misses 2-pt layup from 3 ft,4,5
14,1,9:44.0,Defensive rebound by N. Vučević,,4,5
15,1,9:37.0,A. Gordon makes 2-pt layup at rim (assist by N. Vučević),,6,5
16,1,9:37.0,Shooting foul by P. George (drawn by A. Gordon),,6,5
17,1,9:37.0,A. Gordon misses free throw 1 of 1,,6,5
18,1,9:35.0,,Defensive rebound by R. Westbrook,6,5
19,1,9:24.0,,J. Grant makes 2-pt layup at rim (assist by R. Westbrook),6,7
20,1,9:01.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),,9,7
21,1,8:52.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),9,10
22,1,8:28.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by N. Vučević),,12,10
23,1,8:18.0,,P. George misses 3-pt jump shot from 25 ft,12,10
24,1,8:15.0,Defensive rebound by N. Vučević,,12,10
25,1,8:10.0,J. Isaac makes 2-pt jump shot from 18 ft (assist by A. Gordon),,14,10
26,1,7:47.0,,S. Adams misses 2-pt hook shot from 5 ft,14,10
27,1,7:45.0,Defensive rebound by N. Vučević,,14,10
28,1,7:41.0,A. Gordon misses 3-pt jump shot from 25 ft,,14,10
29,1,7:38.0,,Defensive rebound by T. Ferguson,14,10
30,1,7:34.0,,P. George misses 3-pt jump shot from 22 ft,14,10
31,1,7:30.0,Defensive rebound by J. Isaac,,14,10
32,1,7:24.0,Personal foul by T. Ferguson (drawn by D. Augustin),,14,10
33,1,7:11.0,D. Augustin misses 3-pt jump shot from 25 ft,,14,10
34,1,7:06.0,,Defensive rebound by J. Grant,14,10
35,1,7:00.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by P. George),14,13
36,1,6:46.0,Turnover by N. Vučević (lost ball; steal by T. Ferguson),,14,13
37,1,6:39.0,,Shooting foul by E. Fournier (drawn by P. George),14,13
38,1,6:39.0,,Oklahoma City full timeout,14,13
39,1,6:39.0,,P. George makes free throw 1 of 3,14,14
40,1,6:39.0,,P. George makes free throw 2 of 3,14,15
41,1,6:39.0,,P. George makes free throw 3 of 3,14,16
42,1,6:26.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Fournier),,16,16
43,1,6:07.0,,J. Grant misses 3-pt jump shot from 23 ft,16,16
44,1,6:06.0,,Offensive rebound by Team,16,16
45,1,6:06.0,Loose ball foul by A. Gordon (drawn by S. Adams),,16,16
46,1,6:06.0,W. Iwundu enters the game for A. Gordon,,16,16
47,1,6:06.0,,D. Schröder enters the game for P. George,16,16
48,1,5:57.0,,R. Westbrook makes 2-pt layup from 1 ft,16,18
49,1,5:44.0,Personal foul by J. Grant (drawn by N. Vučević),,16,18
50,1,5:34.0,J. Isaac makes 2-pt layup from 1 ft (assist by E. Fournier),,18,18
51,1,5:26.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),18,20
52,1,5:16.0,Shooting foul by D. Schröder (drawn by D. Augustin),,18,20
53,1,5:16.0,D. Augustin makes free throw 1 of 2,,19,20
54,1,5:16.0,D. Augustin makes free throw 2 of 2,,20,20
55,1,5:06.0,,R. Westbrook makes 2-pt jump shot from 3 ft,20,22
56,1,4:51.0,J. Isaac misses 3-pt jump shot from 25 ft,,20,22
57,1,4:47.0,Offensive rebound by W. Iwundu,,20,22
58,1,4:38.0,J. Isaac makes 2-pt jump shot from 13 ft (assist by D. Augustin),,22,22
59,1,4:22.0,,D. Schröder makes 3-pt jump shot from 23 ft (assist by T. Ferguson),22,25
60,1,4:01.0,E. Fournier misses 2-pt layup from 4 ft,,22,25
61,1,3:59.0,,Defensive rebound by R. Westbrook,22,25
62,1,3:55.0,,D. Schröder misses 2-pt jump shot from 11 ft,22,25
63,1,3:52.0,Defensive rebound by W. Iwundu,,22,25
64,1,3:49.0,W. Iwundu makes 2-pt jump shot from 3 ft,,24,25
65,1,3:49.0,Shooting foul by T. Ferguson (drawn by W. Iwundu),,24,25
66,1,3:49.0,I. Briscoe enters the game for D. Augustin,,24,25
67,1,3:49.0,T. Ross enters the game for E. Fournier,,24,25
68,1,3:49.0,,A. Nader enters the game for T. Ferguson,24,25
69,1,3:49.0,,P. Patterson enters the game for J. Grant,24,25
70,1,3:49.0,W. Iwundu makes free throw 1 of 1,,25,25
71,1,3:43.0,,Turnover by R. Westbrook (bad pass; steal by N. Vučević),25,25
72,1,3:32.0,N. Vučević misses 2-pt layup from 2 ft,,25,25
73,1,3:27.0,,Defensive rebound by S. Adams,25,25
74,1,3:19.0,,R. Westbrook misses 2-pt jump shot from 11 ft,25,25
75,1,3:18.0,Defensive rebound by N. Vučević,,25,25
76,1,3:17.0,,Technical foul by R. Westbrook,25,25
77,1,3:17.0,T. Ross makes technical free throw,,26,25
78,1,3:17.0,K. Birch enters the game for J. Isaac,,26,25
79,1,3:17.0,A. Gordon enters the game for N. Vučević,,26,25
80,1,3:02.0,Turnover by A. Gordon (off goaltending),,26,25
81,1,2:57.0,,Shooting foul by I. Briscoe (drawn by R. Westbrook),26,25
82,1,2:57.0,Orlando full timeout,,26,25
83,1,2:57.0,,N. Noel enters the game for S. Adams,26,25
84,1,2:57.0,,R. Westbrook misses free throw 1 of 2,26,25
85,1,2:57.0,,Offensive rebound by Team,26,25
86,1,2:57.0,,R. Westbrook makes free throw 2 of 2,26,26
87,1,2:49.0,Turnover by W. Iwundu (turnover),,26,26
88,1,2:49.0,,P. George enters the game for R. Westbrook,26,26
89,1,2:39.0,,D. Schröder misses 2-pt layup from 2 ft,26,26
90,1,2:35.0,Defensive rebound by I. Briscoe,,26,26
91,1,2:35.0,Shooting foul by P. George (drawn by W. Iwundu),,26,26
92,1,2:35.0,W. Iwundu makes free throw 1 of 2,,27,26
93,1,2:35.0,W. Iwundu misses free throw 2 of 2,,27,26
94,1,2:33.0,,Defensive rebound by P. George,27,26
95,1,2:19.0,,P. George misses 2-pt jump shot from 4 ft,27,26
96,1,2:13.0,,Offensive rebound by P. George,27,26
97,1,2:12.0,,P. George misses 2-pt layup from 2 ft (block by W. Iwundu),27,26
98,1,2:09.0,Defensive rebound by I. Briscoe,,27,26
99,1,2:05.0,T. Ross misses 3-pt jump shot from 26 ft,,27,26
100,1,1:59.0,,Defensive rebound by P. Patterson,27,26
101,1,1:57.0,,D. Schröder makes 2-pt layup from 1 ft,27,28
102,1,1:57.0,,Shooting foul by I. Briscoe (drawn by D. Schröder),27,28
103,1,1:57.0,,D. Schröder misses free throw 1 of 1,27,28
104,1,1:55.0,Defensive rebound by A. Gordon,,27,28
105,1,1:35.0,A. Gordon makes 2-pt layup from 1 ft (assist by T. Ross),,29,28
106,1,1:35.0,Shooting foul by A. Nader (drawn by A. Gordon),,29,28
107,1,1:35.0,A. Gordon makes free throw 1 of 1,,30,28
108,1,1:19.0,,D. Schröder misses 2-pt jump shot from 15 ft,30,28
109,1,1:15.0,Defensive rebound by K. Birch,,30,28
110,1,1:08.0,Turnover by I. Briscoe (lost ball; steal by A. Nader),,30,28
111,1,1:04.0,,Shooting foul by W. Iwundu (drawn by A. Nader),30,28
112,1,1:04.0,,A. Nader makes free throw 1 of 2,30,29
113,1,1:04.0,,A. Nader misses free throw 2 of 2,30,29
114,1,1:02.0,Defensive rebound by A. Gordon,,30,29
115,1,0:45.0,T. Ross makes 2-pt jump shot from 22 ft (assist by A. Gordon),,32,29
116,1,0:32.0,,P. George makes 2-pt jump shot from 7 ft,32,31
117,1,0:12.0,T. Ross misses 2-pt jump shot from 22 ft,,32,31
118,1,0:09.0,,Defensive rebound by D. Schröder,32,31
119,1,0:00.0,,P. George misses 3-pt jump shot from 28 ft,32,31
120,1,0:00.0,,Offensive rebound by Team,32,31
121,2,11:39.0,A. Gordon misses 3-pt jump shot from 25 ft,,32,31
122,2,11:37.0,,Defensive rebound by A. Nader,32,31
123,2,11:21.0,,Turnover by P. George (bad pass; steal by I. Briscoe),32,31
124,2,11:17.0,E. Fournier misses 2-pt layup from 1 ft,,32,31
125,2,11:16.0,Offensive rebound by K. Birch,,32,31
126,2,11:16.0,K. Birch makes 2-pt dunk from 1 ft,,34,31
127,2,11:04.0,,A. Nader misses 3-pt jump shot from 25 ft,34,31
128,2,11:00.0,Defensive rebound by A. Gordon,,34,31
129,2,10:54.0,E. Fournier misses 2-pt jump shot from 12 ft,,34,31
130,2,10:52.0,,Defensive rebound by N. Noel,34,31
