,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,Personal foul by J. Isaac (drawn by K. Towns),0,0
1,1,11:43.0,,Turnover by J. Teague (bad pass; steal by J. Isaac),0,0
2,1,11:37.0,J. Isaac makes 2-pt layup from 1 ft (assist by D. Augustin),,2,0
3,1,11:20.0,,A. Wiggins misses 2-pt jump shot from 15 ft,2,0
4,1,11:20.0,Defensive rebound by J. Isaac,,2,0
5,1,11:09.0,D. Augustin misses 2-pt jump shot from 6 ft,,2,0
6,1,11:07.0,,Defensive rebound by T. Gibson,2,0
7,1,11:03.0,,J. Teague makes 2-pt jump shot from 16 ft,2,2
8,1,10:41.0,A. Gordon misses 2-pt jump shot from 18 ft,,2,2
9,1,10:38.0,,Defensive rebound by J. Teague,2,2
10,1,10:32.0,,J. Teague makes 2-pt jump shot from 16 ft,2,4
11,1,10:14.0,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),,4,4
12,1,10:06.0,,J. Teague makes 2-pt jump shot from 18 ft,4,6
13,1,9:49.0,J. Isaac misses 2-pt layup from 1 ft,,4,6
14,1,9:48.0,,Defensive rebound by K. Towns,4,6
15,1,9:40.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Teague),4,8
16,1,9:26.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,6,8
17,1,9:19.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),6,10
18,1,9:14.0,Orlando full timeout,,6,10
19,1,9:02.0,Turnover by E. Fournier (bad pass),,6,10
20,1,8:46.0,,A. Wiggins misses 2-pt layup from 2 ft (block by N. Vučević),6,10
21,1,8:43.0,,Offensive rebound by A. Wiggins,6,10
22,1,8:42.0,,A. Wiggins makes 2-pt layup from 1 ft,6,12
23,1,8:19.0,E. Fournier makes 2-pt jump shot from 14 ft (assist by N. Vučević),,8,12
24,1,8:01.0,,Turnover by T. Gibson (lost ball; steal by N. Vučević),8,12
25,1,7:55.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by A. Gordon),,11,12
26,1,7:45.0,,K. Towns misses 2-pt jump shot from 21 ft,11,12
27,1,7:44.0,Defensive rebound by Team,,11,12
28,1,7:44.0,,Loose ball foul by T. Gibson (drawn by A. Gordon),11,12
29,1,7:28.0,A. Gordon makes 2-pt jump shot from 10 ft (assist by N. Vučević),,13,12
30,1,7:07.0,,J. Okogie misses 2-pt jump shot from 19 ft,13,12
31,1,7:04.0,Defensive rebound by A. Gordon,,13,12
32,1,6:44.0,N. Vučević makes 2-pt hook shot from 8 ft,,15,12
33,1,6:32.0,,T. Gibson makes 2-pt jump shot from 17 ft (assist by J. Teague),15,14
34,1,6:14.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by A. Gordon),,18,14
