,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:43.0,E. Fournier makes 2-pt jump shot from 17 ft (assist by A. Gordon),,2,0
1,1,11:25.0,,M. Turner misses 2-pt jump shot from 15 ft,2,0
2,1,11:22.0,Defensive rebound by A. Gordon,,2,0
3,1,11:13.0,Turnover by N. Vučević (bad pass; steal by M. Turner),,2,0
4,1,10:55.0,,T. Young makes 2-pt layup at rim (assist by W. Matthews),2,2
5,1,10:42.0,,Violation by Team (kicked ball),2,2
6,1,10:34.0,Personal foul by T. Young (drawn by A. Gordon),,2,2
7,1,10:22.0,D. Augustin makes 2-pt layup at rim (assist by A. Gordon),,4,2
8,1,10:07.0,,M. Turner misses 3-pt jump shot from 28 ft,4,2
9,1,10:03.0,Defensive rebound by D. Augustin,,4,2
10,1,9:54.0,E. Fournier misses 3-pt jump shot from 27 ft,,4,2
11,1,9:50.0,Offensive rebound by J. Isaac,,4,2
12,1,9:44.0,A. Gordon makes 2-pt jump shot from 8 ft,,6,2
13,1,9:30.0,,D. Collison misses 2-pt jump shot from 17 ft,6,2
14,1,9:27.0,,Offensive rebound by D. Collison,6,2
15,1,9:22.0,,D. Collison makes 2-pt layup from 2 ft,6,4
16,1,9:08.0,E. Fournier misses 2-pt layup from 1 ft,,6,4
17,1,9:06.0,,Defensive rebound by B. Bogdanović,6,4
18,1,8:59.0,,Personal foul by A. Gordon (drawn by D. Collison),6,4
19,1,8:53.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),6,6
20,1,8:39.0,N. Vučević makes 2-pt layup from 4 ft (assist by E. Fournier),,8,6
21,1,8:23.0,,W. Matthews misses 2-pt jump shot from 17 ft,8,6
22,1,8:18.0,,Offensive rebound by T. Young,8,6
23,1,8:18.0,,T. Young makes 2-pt layup from 1 ft,8,8
24,1,8:07.0,J. Isaac makes 3-pt jump shot from 27 ft (assist by D. Augustin),,11,8
25,1,7:54.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,11,8
26,1,7:50.0,Defensive rebound by J. Isaac,,11,8
27,1,7:41.0,A. Gordon makes 2-pt jump shot from 14 ft (assist by D. Augustin),,13,8
28,1,7:41.0,Shooting foul by B. Bogdanović (drawn by A. Gordon),,13,8
29,1,7:41.0,A. Gordon makes free throw 1 of 1,,14,8
30,1,7:30.0,,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),14,10
31,1,7:15.0,Turnover by E. Fournier (bad pass; steal by T. Young),,14,10
32,1,7:11.0,,D. Collison makes 2-pt layup from 1 ft,14,12
33,1,6:57.0,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),,16,12
