,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,J. Richardson misses 3-pt jump shot from 26 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. DeRozan,0,0
2,1,11:32.0,,D. White misses 2-pt jump shot from 8 ft,0,0
3,1,11:28.0,Defensive rebound by J. Richardson,,0,0
4,1,11:15.0,D. Jones misses 3-pt jump shot from 25 ft,,0,0
5,1,11:11.0,Offensive rebound by B. Adebayo,,0,0
6,1,11:04.0,J. Richardson misses 2-pt jump shot from 19 ft,,0,0
7,1,11:00.0,,Defensive rebound by J. Poeltl,0,0
8,1,10:48.0,,B. Forbes misses 2-pt jump shot from 10 ft,0,0
9,1,10:46.0,Defensive rebound by D. Jones,,0,0
10,1,10:33.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,3,0
11,1,10:22.0,,Personal foul by D. Waiters (drawn by D. DeRozan),3,0
12,1,10:15.0,,D. DeRozan makes 2-pt jump shot from 11 ft,3,2
13,1,9:58.0,K. Olynyk misses 3-pt jump shot from 25 ft,,3,2
14,1,9:56.0,Offensive rebound by B. Adebayo,,3,2
15,1,9:48.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,6,2
16,1,9:28.0,,L. Aldridge misses 2-pt jump shot from 10 ft,6,2
17,1,9:24.0,Defensive rebound by B. Adebayo,,6,2
18,1,9:17.0,Turnover by D. Waiters (bad pass; steal by D. DeRozan),,6,2
19,1,9:11.0,,D. DeRozan misses 2-pt layup from 4 ft,6,2
20,1,9:06.0,Defensive rebound by K. Olynyk,,6,2
21,1,9:00.0,D. Jones makes 3-pt jump shot from 22 ft (assist by J. Richardson),,9,2
22,1,8:48.0,,J. Poeltl misses 2-pt hook shot from 5 ft,9,2
23,1,8:48.0,,Offensive rebound by J. Poeltl,9,2
24,1,8:41.0,,J. Poeltl misses 2-pt layup from 1 ft,9,2
25,1,8:40.0,Defensive rebound by B. Adebayo,,9,2
26,1,8:40.0,Offensive foul by J. Richardson (drawn by D. White),,9,2
27,1,8:40.0,Turnover by J. Richardson (offensive foul),,9,2
28,1,8:18.0,,D. White misses 2-pt layup from 2 ft,9,2
29,1,8:15.0,Defensive rebound by B. Adebayo,,9,2
30,1,8:12.0,B. Adebayo makes 2-pt layup from 6 ft,,11,2
31,1,7:57.0,,B. Forbes misses 2-pt jump shot from 19 ft,11,2
32,1,7:57.0,Defensive rebound by D. Waiters,,11,2
33,1,7:39.0,K. Olynyk misses 2-pt jump shot from 15 ft,,11,2
34,1,7:37.0,,Defensive rebound by D. DeRozan,11,2
35,1,7:25.0,,D. White misses 3-pt jump shot from 25 ft,11,2
36,1,7:20.0,Defensive rebound by B. Adebayo,,11,2
37,1,7:16.0,D. Jones misses 2-pt layup from 7 ft,,11,2
38,1,7:11.0,,Defensive rebound by J. Poeltl,11,2
39,1,7:03.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. White),11,4
40,1,6:51.0,Personal foul by D. White (drawn by J. Richardson),,11,4
41,1,6:51.0,,San Antonio full timeout,11,4
42,1,6:51.0,,R. Gay enters the game for J. Poeltl,11,4
43,1,6:44.0,Turnover by D. Waiters (bad pass; steal by D. White),,11,4
44,1,6:33.0,,R. Gay misses 3-pt jump shot from 26 ft,11,4
45,1,6:29.0,Defensive rebound by J. Richardson,,11,4
46,1,6:16.0,B. Adebayo misses 2-pt layup from 6 ft (block by L. Aldridge),,11,4
47,1,6:12.0,,Defensive rebound by L. Aldridge,11,4
48,1,5:58.0,,R. Gay misses 2-pt jump shot from 17 ft,11,4
49,1,5:54.0,Defensive rebound by B. Adebayo,,11,4
50,1,5:48.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,14,4
51,1,5:30.0,,B. Forbes misses 3-pt jump shot from 27 ft,14,4
52,1,5:25.0,Defensive rebound by B. Adebayo,,14,4
53,1,5:18.0,J. Richardson misses 2-pt jump shot from 19 ft,,14,4
54,1,5:15.0,,Defensive rebound by D. DeRozan,14,4
55,1,5:10.0,,D. DeRozan misses 2-pt layup from 2 ft,14,4
56,1,5:02.0,,L. Aldridge makes 2-pt layup from 1 ft,14,6
57,1,5:02.0,,Offensive rebound by L. Aldridge,14,6
58,1,4:45.0,D. Waiters makes 2-pt jump shot from 17 ft (assist by K. Olynyk),,16,6
59,1,4:25.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),16,8
60,1,4:17.0,K. Olynyk misses 2-pt jump shot from 17 ft,,16,8
61,1,4:12.0,,Defensive rebound by D. DeRozan,16,8
62,1,4:02.0,,D. White misses 2-pt layup from 4 ft (block by J. Richardson),16,8
