,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
0,1,11:38.0,,M. Harkless makes 2-pt jump shot from 6 ft (assist by D. Lillard),0,2
1,1,11:14.0,M. Conley misses 3-pt jump shot from 24 ft,,0,2
2,1,11:11.0,,Defensive rebound by A. Aminu,0,2
3,1,11:01.0,,M. Harkless misses 3-pt jump shot from 25 ft,0,2
4,1,10:59.0,Defensive rebound by K. Anderson,,0,2
5,1,10:55.0,,Violation by Team (kicked ball),0,2
6,1,10:41.0,K. Anderson makes 2-pt layup from 1 ft,,2,2
7,1,10:24.0,,D. Lillard misses 3-pt jump shot from 28 ft,2,2
8,1,10:22.0,Defensive rebound by K. Anderson,,2,2
9,1,10:09.0,Shooting foul by A. Aminu (drawn by J. Jackson),,2,2
10,1,10:09.0,J. Jackson makes free throw 1 of 2,,3,2
11,1,10:09.0,J. Jackson makes free throw 2 of 2,,4,2
12,1,9:53.0,,Turnover by J. Nurkić (lost ball; steal by K. Anderson),4,2
13,1,9:48.0,K. Anderson makes 2-pt layup from 1 ft (assist by G. Temple),,6,2
14,1,9:40.0,,C. McCollum makes 2-pt jump shot from 12 ft,6,4
15,1,9:12.0,M. Conley misses 3-pt jump shot from 26 ft (block by D. Lillard),,6,4
16,1,9:10.0,,Defensive rebound by D. Lillard,6,4
17,1,9:06.0,,A. Aminu misses 2-pt layup from 3 ft (block by J. Jackson),6,4
18,1,9:04.0,Defensive rebound by J. Jackson,,6,4
19,1,8:59.0,J. Jackson makes 2-pt layup from 2 ft,,8,4
20,1,8:53.0,,Personal foul by G. Temple (drawn by C. McCollum),8,4
21,1,8:46.0,,Turnover by C. McCollum (bad pass; steal by M. Gasol),8,4
22,1,8:34.0,J. Jackson misses 2-pt hook shot from 4 ft,,8,4
23,1,8:33.0,,Defensive rebound by M. Harkless,8,4
24,1,8:26.0,,D. Lillard misses 2-pt jump shot from 13 ft,8,4
25,1,8:23.0,Defensive rebound by K. Anderson,,8,4
26,1,8:09.0,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),,10,4
27,1,7:53.0,Violation by Team (kicked ball),,10,4
28,1,7:48.0,,Turnover by J. Nurkić (bad pass; steal by G. Temple),10,4
29,1,7:38.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gasol),,13,4
30,1,7:37.0,,Portland full timeout,13,4
31,1,7:23.0,,C. McCollum misses 3-pt jump shot from 27 ft,13,4
32,1,7:21.0,Defensive rebound by J. Jackson,,13,4
33,1,7:12.0,J. Jackson misses 2-pt hook shot from 3 ft,,13,4
34,1,7:10.0,,Defensive rebound by C. McCollum,13,4
35,1,6:59.0,,D. Lillard misses 2-pt layup from 2 ft,13,4
36,1,6:58.0,Defensive rebound by M. Conley,,13,4
37,1,6:37.0,G. Temple makes 2-pt jump shot from 6 ft,,15,4
38,1,6:16.0,,Turnover by D. Lillard (bad pass; steal by K. Anderson),15,4
39,1,6:06.0,Offensive foul by J. Jackson (drawn by A. Aminu),,15,4
40,1,6:06.0,Turnover by J. Jackson (offensive foul),,15,4
41,1,6:06.0,J. Green enters the game for J. Jackson,,15,4
42,1,5:41.0,,C. McCollum makes 2-pt layup from 1 ft,15,6
43,1,5:20.0,G. Temple misses 2-pt jump shot from 17 ft,,15,6
44,1,5:19.0,Offensive rebound by K. Anderson,,15,6
45,1,5:10.0,Turnover by J. Green (lost ball; steal by M. Harkless),,15,6
46,1,5:07.0,,Shooting foul by M. Gasol (drawn by M. Harkless),15,6
47,1,5:07.0,,M. Harkless makes free throw 1 of 2,15,7
48,1,5:07.0,,M. Leonard enters the game for J. Nurkić,15,7
49,1,5:07.0,,M. Harkless makes free throw 2 of 2,15,8
50,1,4:47.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,17,8
51,1,4:36.0,,Offensive foul by A. Aminu (drawn by M. Conley),17,8
52,1,4:36.0,,Turnover by A. Aminu (offensive foul),17,8
53,1,4:36.0,W. Selden enters the game for K. Anderson,,17,8
54,1,4:36.0,,Z. Collins enters the game for A. Aminu,17,8
55,1,4:36.0,,E. Turner enters the game for M. Harkless,17,8
56,1,4:14.0,J. Green misses 2-pt hook shot from 5 ft,,17,8
57,1,4:11.0,,Defensive rebound by Team,17,8
58,1,3:55.0,,Turnover by D. Lillard (traveling),17,8
59,1,3:55.0,J. Carter enters the game for M. Conley,,17,8
60,1,3:55.0,S. Mack enters the game for G. Temple,,17,8
61,1,3:35.0,W. Selden misses 3-pt jump shot from 25 ft,,17,8
62,1,3:32.0,,Defensive rebound by Z. Collins,17,8
63,1,3:25.0,,D. Lillard misses 2-pt layup from 2 ft,17,8
64,1,3:23.0,Defensive rebound by W. Selden,,17,8
65,1,3:21.0,Turnover by W. Selden (traveling),,17,8
66,1,3:07.0,,M. Leonard misses 3-pt jump shot from 25 ft,17,8
67,1,3:05.0,,Offensive rebound by Team,17,8
68,1,3:05.0,,S. Curry enters the game for C. McCollum,17,8
69,1,2:56.0,,E. Turner makes 2-pt layup at rim,17,10
70,1,2:56.0,Violation by Team (def goaltending),,17,10
71,1,2:41.0,J. Green misses 2-pt layup from 1 ft,,17,10
72,1,2:38.0,,Defensive rebound by D. Lillard,17,10
73,1,2:34.0,,Turnover by D. Lillard (bad pass),17,10
74,1,2:34.0,Memphis full timeout,,17,10
75,1,2:23.0,Turnover by J. Green (traveling),,17,10
76,1,2:06.0,,Turnover by E. Turner (bad pass; steal by M. Gasol),17,10
77,1,1:52.0,W. Selden misses 2-pt jump shot from 5 ft,,17,10
78,1,1:50.0,,Defensive rebound by D. Lillard,17,10
79,1,1:43.0,,M. Leonard misses 3-pt jump shot from 26 ft,17,10
80,1,1:42.0,,Offensive rebound by Z. Collins,17,10
81,1,1:42.0,,Personal foul by W. Selden (drawn by Z. Collins),17,10
82,1,1:42.0,,N. Stauskas enters the game for D. Lillard,17,10
83,1,1:36.0,,Z. Collins misses 3-pt jump shot from 24 ft,17,10
84,1,1:34.0,Defensive rebound by M. Gasol,,17,10
85,1,1:25.0,M. Gasol misses 3-pt jump shot from 26 ft,,17,10
86,1,1:25.0,,Defensive rebound by Team,17,10
87,1,1:25.0,Loose ball foul by J. Green (drawn by Z. Collins),,17,10
88,1,1:25.0,,Z. Collins makes free throw 1 of 2,17,11
89,1,1:25.0,,Z. Collins makes free throw 2 of 2,17,12
90,1,1:14.0,Personal foul by M. Leonard (drawn by M. Gasol),,17,12
91,1,1:08.0,M. Gasol misses 2-pt jump shot from 21 ft,,17,12
92,1,1:05.0,,Defensive rebound by S. Curry,17,12
93,1,1:00.0,,E. Turner misses 2-pt jump shot from 6 ft,17,12
