,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW ORLEANS_ACTION,BOSTON_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,A. Horford misses 2-pt hook shot from 11 ft,,0,0
1,1,11:39.0,,Defensive rebound by A. Davis,0,0
2,1,11:38.0,,Turnover by A. Davis (bad pass; steal by K. Irving),0,0
3,1,11:38.0,M. Smart misses 2-pt layup from 2 ft (block by J. Holiday),,0,0
4,1,11:33.0,,Defensive rebound by Team,0,0
5,1,11:27.0,,Shooting foul by A. Horford (drawn by A. Davis),0,0
6,1,11:27.0,,A. Davis makes free throw 1 of 2,0,1
7,1,11:27.0,,A. Davis makes free throw 2 of 2,0,2
8,1,11:11.0,M. Morris makes 2-pt jump shot from 11 ft (assist by K. Irving),,2,2
9,1,10:57.0,,A. Davis misses 2-pt jump shot from 18 ft,2,2
10,1,10:54.0,Defensive rebound by M. Morris,,2,2
11,1,10:46.0,Turnover by K. Irving (bad pass; steal by A. Davis),,2,2
12,1,10:35.0,,Turnover by A. Davis (lost ball; steal by A. Horford),2,2
13,1,10:33.0,K. Irving misses 2-pt jump shot from 18 ft,,2,2
14,1,10:24.0,,Defensive rebound by W. Johnson,2,2
15,1,10:23.0,,W. Johnson misses 2-pt layup from 4 ft,2,2
16,1,10:23.0,Defensive rebound by K. Irving,,2,2
17,1,10:23.0,Personal foul by W. Johnson (drawn by K. Irving),,2,2
18,1,10:12.0,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),,5,2
19,1,9:58.0,,J. Holiday misses 3-pt jump shot from 25 ft,5,2
20,1,9:54.0,Defensive rebound by K. Irving,,5,2
21,1,9:42.0,Personal foul by E. Moore (drawn by M. Morris),,5,2
22,1,9:32.0,K. Irving misses 3-pt jump shot from 27 ft,,5,2
23,1,9:29.0,,Defensive rebound by J. Holiday,5,2
24,1,9:27.0,,Turnover by J. Holiday (bad pass; steal by K. Irving),5,2
25,1,9:21.0,K. Irving misses 2-pt layup from 2 ft,,5,2
26,1,9:20.0,,Defensive rebound by A. Davis,5,2
27,1,9:16.0,,E. Moore misses 3-pt jump shot from 24 ft,5,2
28,1,9:12.0,Defensive rebound by J. Tatum,,5,2
29,1,9:07.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Tatum),,8,2
30,1,8:45.0,,Turnover by J. Holiday (bad pass; steal by M. Smart),8,2
31,1,8:41.0,M. Smart makes 2-pt layup from 2 ft,,10,2
32,1,8:41.0,,New Orleans full timeout,10,2
33,1,8:26.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),10,4
34,1,8:10.0,J. Tatum misses 2-pt jump shot from 23 ft,,10,4
35,1,8:10.0,,Defensive rebound by W. Johnson,10,4
36,1,7:58.0,,Turnover by E. Moore (bad pass),10,4
37,1,7:49.0,Shooting foul by J. Holiday (drawn by J. Tatum),,10,4
38,1,7:49.0,J. Tatum makes free throw 1 of 2,,11,4
39,1,7:49.0,J. Tatum makes free throw 2 of 2,,12,4
40,1,7:40.0,,Personal foul by M. Morris (drawn by N. Mirotić),12,4
41,1,7:30.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by E. Moore),12,7
