,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,J. Allen makes 2-pt layup at rim (assist by S. Dinwiddie),0,2
1,1,11:22.0,T. Thompson makes 2-pt dunk from 2 ft (assist by R. Hood),,2,2
2,1,11:11.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,2,2
3,1,11:07.0,Defensive rebound by T. Thompson,,2,2
4,1,11:01.0,R. Hood misses 3-pt jump shot from 25 ft,,2,2
5,1,10:57.0,,Defensive rebound by A. Crabbe,2,2
6,1,10:38.0,,J. Allen misses 2-pt layup from 3 ft,2,2
7,1,10:34.0,Defensive rebound by G. Hill,,2,2
8,1,10:24.0,T. Thompson misses 2-pt hook shot from 7 ft,,2,2
9,1,10:22.0,,Defensive rebound by R. Hollis-Jefferson,2,2
10,1,10:14.0,,D. Russell makes 2-pt jump shot from 17 ft,2,4
11,1,9:54.0,G. Hill makes 2-pt jump shot from 14 ft (assist by C. Osman),,4,4
12,1,9:38.0,,D. Russell misses 2-pt jump shot from 9 ft,4,4
13,1,9:32.0,Defensive rebound by R. Hood,,4,4
14,1,9:20.0,C. Sexton misses 2-pt jump shot from 12 ft,,4,4
15,1,9:18.0,Offensive rebound by C. Sexton,,4,4
16,1,9:16.0,C. Sexton makes 2-pt jump shot from 3 ft,,6,4
17,1,9:09.0,,A. Crabbe misses 3-pt jump shot from 25 ft,6,4
18,1,9:07.0,Defensive rebound by Team,,6,4
19,1,8:51.0,C. Sexton misses 2-pt jump shot from 21 ft,,6,4
20,1,8:49.0,,Defensive rebound by R. Hollis-Jefferson,6,4
21,1,8:45.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),6,7
22,1,8:21.0,G. Hill misses 2-pt jump shot from 21 ft,,6,7
23,1,8:20.0,Offensive rebound by Team,,6,7
24,1,8:20.0,,Loose ball foul by S. Dinwiddie (drawn by T. Thompson),6,7
25,1,8:14.0,R. Hood misses 2-pt jump shot from 11 ft,,6,7
26,1,8:10.0,,Defensive rebound by J. Allen,6,7
