,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
0,1,11:40.0,J. Jackson misses 2-pt jump shot from 18 ft,,0,0
1,1,11:37.0,,Defensive rebound by A. Žižić,0,0
2,1,11:33.0,,Turnover by A. Žižić (bad pass; steal by J. Jackson),0,0
3,1,11:29.0,J. Jackson makes 2-pt dunk from 3 ft,,2,0
4,1,11:22.0,,K. Love misses 3-pt jump shot from 26 ft,2,0
5,1,11:20.0,Defensive rebound by K. Oubre,,2,0
6,1,11:15.0,K. Oubre misses 3-pt jump shot from 26 ft,,2,0
7,1,11:12.0,,Defensive rebound by A. Žižić,2,0
8,1,10:52.0,,C. Osman misses 3-pt jump shot from 26 ft,2,0
9,1,10:49.0,,Offensive rebound by K. Love,2,0
10,1,10:40.0,,B. Knight misses 3-pt jump shot from 23 ft,2,0
11,1,10:37.0,Defensive rebound by T. Johnson,,2,0
12,1,10:31.0,K. Oubre makes 2-pt layup from 2 ft (assist by T. Johnson),,4,0
13,1,10:12.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Osman),4,2
14,1,9:51.0,K. Oubre misses 2-pt jump shot from 7 ft (block by A. Žižić),,4,2
15,1,9:47.0,,Defensive rebound by B. Knight,4,2
16,1,9:46.0,,B. Knight misses 2-pt layup from 1 ft,4,2
17,1,9:46.0,Defensive rebound by T. Johnson,,4,2
18,1,9:46.0,Personal take foul by C. Osman (drawn by T. Johnson),,4,2
19,1,9:31.0,T. Johnson misses 2-pt jump shot from 8 ft,,4,2
20,1,9:29.0,,Defensive rebound by A. Žižić,4,2
21,1,9:19.0,,A. Žižić misses 2-pt jump shot from 11 ft,4,2
22,1,9:17.0,Defensive rebound by D. Ayton,,4,2
23,1,9:06.0,J. Jackson misses 3-pt jump shot from 26 ft,,4,2
24,1,9:03.0,,Defensive rebound by C. Sexton,4,2
25,1,8:58.0,,C. Sexton misses 2-pt jump shot from 13 ft,4,2
26,1,8:56.0,Defensive rebound by K. Oubre,,4,2
27,1,8:50.0,D. Ayton makes 2-pt hook shot from 12 ft (assist by K. Oubre),,6,2
28,1,8:40.0,,Offensive foul by K. Love (drawn by K. Oubre),6,2
29,1,8:40.0,,Turnover by K. Love (offensive foul),6,2
