,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),0,2
1,1,11:23.0,N. Vučević makes 2-pt hook shot from 9 ft,,2,2
2,1,11:14.0,,D. Fox misses 2-pt jump shot from 9 ft,2,2
3,1,11:11.0,Defensive rebound by N. Vučević,,2,2
4,1,11:05.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,5,2
5,1,10:55.0,,W. Cauley-Stein misses 2-pt hook shot from 2 ft,5,2
6,1,10:55.0,Defensive rebound by N. Vučević,,5,2
7,1,10:47.0,Turnover by D. Augustin (bad pass; steal by B. Bogdanović),,5,2
8,1,10:37.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),5,4
9,1,10:14.0,N. Vučević misses 2-pt jump shot from 21 ft,,5,4
10,1,10:12.0,,Defensive rebound by B. Hield,5,4
11,1,9:59.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,5,4
12,1,9:56.0,Defensive rebound by N. Vučević,,5,4
13,1,9:50.0,A. Gordon misses 2-pt jump shot from 19 ft,,5,4
14,1,9:47.0,,Defensive rebound by W. Cauley-Stein,5,4
15,1,9:35.0,,N. Bjelica misses 2-pt jump shot from 21 ft,5,4
16,1,9:31.0,Defensive rebound by A. Gordon,,5,4
17,1,9:20.0,Shooting foul by B. Bogdanović (drawn by A. Gordon),,5,4
18,1,9:20.0,A. Gordon makes free throw 1 of 2,,6,4
19,1,9:20.0,A. Gordon makes free throw 2 of 2,,7,4
20,1,9:08.0,,D. Fox makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),7,6
21,1,8:46.0,Shooting foul by W. Cauley-Stein (drawn by E. Fournier),,7,6
22,1,8:46.0,E. Fournier makes free throw 1 of 2,,8,6
23,1,8:46.0,E. Fournier makes free throw 2 of 2,,9,6
24,1,8:37.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),9,8
25,1,8:20.0,A. Gordon misses 3-pt jump shot from 25 ft,,9,8
26,1,8:17.0,,Defensive rebound by B. Bogdanović,9,8
27,1,8:11.0,,D. Fox misses 3-pt jump shot from 23 ft,9,8
28,1,8:08.0,Defensive rebound by N. Vučević,,9,8
29,1,7:54.0,J. Isaac misses 2-pt layup from 3 ft,,9,8
30,1,7:52.0,,Defensive rebound by W. Cauley-Stein,9,8
31,1,7:44.0,,D. Fox misses 3-pt jump shot from 25 ft,9,8
32,1,7:40.0,Defensive rebound by N. Vučević,,9,8
33,1,7:33.0,Shooting foul by D. Fox (drawn by D. Augustin),,9,8
34,1,7:33.0,D. Augustin makes free throw 1 of 3,,10,8
35,1,7:33.0,D. Augustin makes free throw 2 of 3,,11,8
36,1,7:33.0,D. Augustin makes free throw 3 of 3,,12,8
37,1,7:21.0,,Turnover by B. Bogdanović (bad pass; steal by N. Vučević),12,8
38,1,7:09.0,Turnover by J. Isaac (step out of bounds),,12,8
39,1,7:01.0,,B. Hield makes 3-pt jump shot from 25 ft,12,11
40,1,6:43.0,N. Vučević makes 2-pt hook shot from 10 ft,,14,11
41,1,6:26.0,,B. Hield misses 3-pt jump shot from 23 ft,14,11
42,1,6:24.0,,Offensive rebound by D. Fox,14,11
43,1,6:20.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by N. Bjelica),14,14
44,1,6:05.0,Orlando full timeout,,14,14
45,1,6:05.0,W. Iwundu enters the game for A. Gordon,,14,14
46,1,6:03.0,Turnover by E. Fournier (bad pass; steal by D. Fox),,14,14
47,1,6:00.0,,D. Fox makes 2-pt dunk from 1 ft,14,16
48,1,5:36.0,E. Fournier makes 3-pt jump shot from 27 ft,,17,16
49,1,5:23.0,,B. Bogdanović makes 2-pt layup from 2 ft,17,18
50,1,5:10.0,Turnover by E. Fournier (lost ball; steal by D. Fox),,17,18
51,1,5:05.0,,D. Fox makes 2-pt dunk from 1 ft,17,20
52,1,4:40.0,N. Vučević misses 2-pt jump shot from 15 ft,,17,20
53,1,4:37.0,Offensive rebound by J. Isaac,,17,20
54,1,4:36.0,J. Isaac misses 2-pt layup from 3 ft,,17,20
55,1,4:34.0,,Defensive rebound by N. Bjelica,17,20
56,1,4:25.0,,W. Cauley-Stein misses 2-pt layup from 2 ft (block by N. Vučević),17,20
57,1,4:23.0,,Offensive rebound by W. Cauley-Stein,17,20
58,1,4:16.0,,W. Cauley-Stein misses 2-pt dunk from 2 ft,17,20
59,1,4:14.0,Defensive rebound by W. Iwundu,,17,20
60,1,4:13.0,Shooting foul by B. Hield (drawn by W. Iwundu),,17,20
61,1,4:13.0,W. Iwundu makes free throw 1 of 2,,18,20
62,1,4:13.0,J. Simmons enters the game for D. Augustin,,18,20
63,1,4:13.0,,J. Jackson enters the game for B. Bogdanović,18,20
64,1,4:13.0,,K. Koufos enters the game for W. Cauley-Stein,18,20
65,1,4:13.0,W. Iwundu makes free throw 2 of 2,,19,20
66,1,4:04.0,,J. Jackson misses 3-pt jump shot from 26 ft,19,20
67,1,4:03.0,Defensive rebound by Team,,19,20
68,1,4:03.0,,Loose ball foul by K. Koufos (drawn by N. Vučević),19,20
69,1,4:03.0,N. Vučević misses free throw 1 of 2,,19,20
70,1,4:03.0,Offensive rebound by Team,,19,20
71,1,4:03.0,T. Ross enters the game for E. Fournier,,19,20
72,1,4:03.0,,M. Bagley enters the game for N. Bjelica,19,20
73,1,4:03.0,N. Vučević makes free throw 2 of 2,,20,20
