,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHOENIX_ACTION,CHICAGO_SCORE,PHOENIX_SCORE
0,1,11:43.0,S. Harrison misses 2-pt layup at rim,,0,0
1,1,11:42.0,,Defensive rebound by D. Ayton,0,0
2,1,11:39.0,,D. Booker misses 3-pt jump shot from 25 ft,0,0
3,1,11:36.0,Defensive rebound by S. Harrison,,0,0
4,1,11:25.0,Turnover by Z. LaVine (bad pass; steal by D. Melton),,0,0
5,1,11:20.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),0,2
6,1,10:59.0,Personal foul by D. Melton (drawn by R. Lopez),,0,2
7,1,10:56.0,Shooting foul by M. Bridges (drawn by Z. LaVine),,0,2
8,1,10:56.0,Z. LaVine makes free throw 1 of 2,,1,2
9,1,10:56.0,Z. LaVine makes free throw 2 of 2,,2,2
10,1,10:43.0,,D. Bender makes 2-pt layup from 1 ft (assist by D. Melton),2,4
11,1,10:24.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by S. Harrison),,4,4
12,1,10:08.0,,Shooting foul by K. Dunn (drawn by D. Booker),4,4
13,1,10:08.0,,D. Booker misses free throw 1 of 2,4,4
14,1,10:08.0,,Offensive rebound by Team,4,4
15,1,10:08.0,,D. Booker misses free throw 2 of 2,4,4
16,1,10:06.0,Defensive rebound by L. Markkanen,,4,4
17,1,9:45.0,R. Lopez misses 2-pt hook shot from 5 ft,,4,4
18,1,9:43.0,,Defensive rebound by D. Booker,4,4
19,1,9:33.0,,D. Ayton misses 2-pt jump shot from 13 ft,4,4
20,1,9:27.0,Defensive rebound by S. Harrison,,4,4
21,1,9:24.0,S. Harrison misses 2-pt layup from 1 ft,,4,4
22,1,9:20.0,,Defensive rebound by D. Melton,4,4
23,1,9:09.0,,D. Ayton makes 2-pt jump shot from 18 ft (assist by D. Bender),4,6
24,1,8:56.0,K. Dunn makes 2-pt layup from 1 ft,,6,6
25,1,8:39.0,,D. Booker misses 3-pt jump shot from 25 ft,6,6
26,1,8:36.0,Defensive rebound by L. Markkanen,,6,6
27,1,8:23.0,L. Markkanen makes 2-pt jump shot from 6 ft,,8,6
28,1,8:07.0,,D. Booker misses 2-pt jump shot from 14 ft,8,6
29,1,8:06.0,Defensive rebound by Z. LaVine,,8,6
30,1,7:53.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by Z. LaVine),,10,6
31,1,7:34.0,,D. Booker makes 2-pt layup from 5 ft,10,8
32,1,7:20.0,Shooting foul by D. Ayton (drawn by K. Dunn),,10,8
33,1,7:20.0,K. Dunn makes free throw 1 of 2,,11,8
34,1,7:20.0,K. Dunn makes free throw 2 of 2,,12,8
35,1,7:08.0,,D. Ayton makes 2-pt jump shot from 16 ft (assist by D. Booker),12,10
36,1,6:52.0,L. Markkanen misses 3-pt jump shot from 27 ft,,12,10
37,1,6:50.0,,Defensive rebound by D. Melton,12,10
38,1,6:45.0,,D. Booker misses 3-pt jump shot from 26 ft,12,10
39,1,6:42.0,Defensive rebound by Z. LaVine,,12,10
40,1,6:34.0,K. Dunn makes 3-pt jump shot from 25 ft (assist by L. Markkanen),,15,10
41,1,6:33.0,,Phoenix full timeout,15,10
42,1,6:16.0,,Turnover by M. Bridges (bad pass; steal by S. Harrison),15,10
43,1,5:57.0,R. Lopez makes 2-pt hook shot from 3 ft,,17,10
44,1,5:44.0,,M. Bridges makes 2-pt jump shot from 3 ft (assist by D. Melton),17,12
45,1,5:31.0,K. Dunn makes 2-pt jump shot from 14 ft,,19,12
46,1,5:17.0,,Turnover by D. Ayton (lost ball; steal by Z. LaVine),19,12
47,1,5:13.0,Turnover by K. Dunn (bad pass),,19,12
48,1,4:58.0,,D. Booker makes 2-pt jump shot from 13 ft (assist by D. Ayton),19,14
49,1,4:44.0,Z. LaVine makes 2-pt jump shot from 22 ft (assist by R. Lopez),,21,14
50,1,4:32.0,,Personal foul by S. Harrison (drawn by M. Bridges),21,14
51,1,4:32.0,R. Arcidiacono enters the game for K. Dunn,,21,14
52,1,4:32.0,,J. Crawford enters the game for D. Melton,21,14
53,1,4:26.0,,D. Booker misses 3-pt jump shot from 25 ft,21,14
54,1,4:22.0,Defensive rebound by R. Arcidiacono,,21,14
55,1,4:15.0,Z. LaVine misses 2-pt layup from 1 ft,,21,14
56,1,4:13.0,,Defensive rebound by D. Booker,21,14
57,1,4:08.0,,D. Ayton misses 2-pt layup from 2 ft,21,14
58,1,4:07.0,Defensive rebound by L. Markkanen,,21,14
59,1,3:49.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by R. Arcidiacono),,23,14
60,1,3:39.0,,D. Booker makes 2-pt jump shot from 11 ft (assist by J. Crawford),23,16
61,1,3:16.0,L. Markkanen misses 2-pt jump shot from 21 ft,,23,16
62,1,3:15.0,,Defensive rebound by D. Ayton,23,16
63,1,3:08.0,,Personal foul by R. Arcidiacono (drawn by D. Ayton),23,16
64,1,3:08.0,C. Felício enters the game for R. Lopez,,23,16
65,1,3:08.0,W. Selden enters the game for L. Markkanen,,23,16
66,1,3:08.0,,J. Jackson enters the game for D. Bender,23,16
67,1,2:56.0,,D. Booker misses 2-pt jump shot from 4 ft,23,16
68,1,2:54.0,Defensive rebound by C. Felício,,23,16
69,1,2:49.0,Z. LaVine misses 2-pt jump shot from 6 ft,,23,16
70,1,2:47.0,Offensive rebound by C. Felício,,23,16
71,1,2:44.0,W. Selden misses 3-pt jump shot from 25 ft,,23,16
72,1,2:39.0,,Defensive rebound by D. Ayton,23,16
73,1,2:35.0,,Offensive foul by J. Jackson (drawn by R. Arcidiacono),23,16
