,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:41.0,D. Bacon misses 2-pt jump shot from 17 ft,,0,0
1,1,11:38.0,,Defensive rebound by K. Leonard,0,0
2,1,11:23.0,,K. Leonard misses 2-pt jump shot from 9 ft (block by M. Bridges),0,0
3,1,11:22.0,,Offensive rebound by Team,0,0
4,1,11:20.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Lowry),0,3
5,1,11:04.0,M. Bridges misses 2-pt hook shot from 8 ft,,0,3
6,1,11:02.0,Offensive rebound by B. Biyombo,,0,3
7,1,10:57.0,B. Biyombo misses 2-pt layup from 3 ft,,0,3
8,1,10:53.0,,Defensive rebound by D. Green,0,3
9,1,10:43.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),0,6
10,1,10:23.0,K. Walker misses 3-pt jump shot from 29 ft,,0,6
11,1,10:20.0,,Defensive rebound by P. Siakam,0,6
12,1,10:15.0,,Shooting foul by M. Williams (drawn by P. Siakam),0,6
13,1,10:15.0,,P. Siakam makes free throw 1 of 2,0,7
14,1,10:15.0,,P. Siakam makes free throw 2 of 2,0,8
15,1,10:05.0,B. Biyombo makes 2-pt layup from 1 ft (assist by K. Walker),,2,8
16,1,9:53.0,,Turnover by M. Gasol (lost ball; steal by K. Walker),2,8
17,1,9:47.0,Personal foul by K. Lowry (drawn by D. Bacon),,2,8
18,1,9:41.0,M. Williams misses 3-pt jump shot from 26 ft,,2,8
19,1,9:38.0,,Defensive rebound by M. Gasol,2,8
20,1,9:22.0,,P. Siakam misses 2-pt jump shot from 17 ft,2,8
21,1,9:19.0,Defensive rebound by M. Williams,,2,8
22,1,9:11.0,Personal foul by K. Leonard (drawn by K. Walker),,2,8
23,1,9:05.0,M. Bridges makes 2-pt dunk at rim (assist by K. Walker),,4,8
24,1,8:51.0,,M. Gasol makes 2-pt hook shot from 10 ft (assist by P. Siakam),4,10
25,1,8:30.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),,7,10
26,1,8:16.0,,P. Siakam makes 2-pt jump shot from 6 ft (assist by M. Gasol),7,12
27,1,7:56.0,M. Williams makes 2-pt layup from 2 ft (assist by K. Walker),,9,12
28,1,7:44.0,,P. Siakam makes 2-pt jump shot from 12 ft (assist by K. Leonard),9,14
29,1,7:23.0,K. Walker misses 2-pt layup from 2 ft (block by M. Gasol),,9,14
30,1,7:20.0,Offensive rebound by K. Walker,,9,14
31,1,7:19.0,D. Bacon misses 3-pt jump shot from 25 ft,,9,14
32,1,7:16.0,,Defensive rebound by M. Gasol,9,14
