,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
0,1,11:40.0,D. Smith misses 2-pt layup from 8 ft (block by A. Len),,0,0
1,1,11:36.0,,Defensive rebound by A. Len,0,0
2,1,11:25.0,,T. Young misses 2-pt jump shot from 14 ft (block by D. Smith),0,0
3,1,11:22.0,Defensive rebound by L. Dončić,,0,0
4,1,11:19.0,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,3,0
5,1,11:07.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by T. Young),3,3
6,1,10:52.0,W. Matthews makes 2-pt jump shot from 11 ft (assist by D. Jordan),,5,3
7,1,10:41.0,,Shooting foul by D. Smith (drawn by T. Young),5,3
8,1,10:41.0,,T. Young misses free throw 1 of 2,5,3
9,1,10:41.0,,Offensive rebound by Team,5,3
10,1,10:41.0,,T. Young makes free throw 2 of 2,5,4
11,1,10:31.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),,8,4
12,1,10:19.0,,A. Len misses 2-pt layup from 2 ft,8,4
13,1,10:19.0,,Offensive rebound by A. Len,8,4
14,1,10:19.0,,A. Len misses 2-pt layup from 1 ft,8,4
15,1,10:18.0,,Offensive rebound by A. Len,8,4
16,1,10:17.0,,A. Len misses 2-pt layup from 3 ft (block by D. Jordan),8,4
17,1,10:17.0,Defensive rebound by Team,,8,4
18,1,9:58.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,11,4
19,1,9:42.0,,A. Len makes 2-pt dunk from 2 ft (assist by K. Bazemore),11,6
20,1,9:31.0,L. Dončić makes 2-pt jump shot from 11 ft,,13,6
21,1,9:24.0,,Turnover by T. Young (out of bounds lost ball),13,6
22,1,9:17.0,Shooting foul by A. Len (drawn by D. Smith),,13,6
23,1,9:17.0,D. Smith makes free throw 1 of 2,,14,6
24,1,9:17.0,D. Smith misses free throw 2 of 2,,14,6
25,1,9:15.0,Offensive rebound by D. Finney-Smith,,14,6
26,1,9:03.0,L. Dončić misses 2-pt jump shot from 10 ft (block by T. Young),,14,6
27,1,9:03.0,,Defensive rebound by T. Young,14,6
28,1,8:58.0,,K. Bazemore misses 3-pt jump shot from 26 ft,14,6
29,1,8:53.0,Defensive rebound by D. Jordan,,14,6
30,1,8:46.0,D. Jordan makes 2-pt layup from 2 ft (assist by D. Smith),,16,6
31,1,8:32.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),16,9
32,1,8:13.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,19,9
33,1,7:51.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),19,12
34,1,7:39.0,Turnover by D. Smith (out of bounds lost ball),,19,12
35,1,7:26.0,,Personal foul by D. Jordan (drawn by T. Young),19,12
36,1,7:14.0,,V. Carter misses 2-pt jump shot from 13 ft,19,12
37,1,7:11.0,Defensive rebound by L. Dončić,,19,12
38,1,7:08.0,Personal foul by K. Bazemore (drawn by L. Dončić),,19,12
39,1,7:08.0,,O. Spellman enters the game for V. Carter,19,12
40,1,7:01.0,L. Dončić makes 2-pt jump shot from 13 ft,,21,12
41,1,6:50.0,,Personal foul by L. Dončić (drawn by K. Bazemore),21,12
42,1,6:50.0,,Atlanta full timeout,21,12
43,1,6:50.0,,D. Dedmon enters the game for A. Len,21,12
44,1,6:43.0,,O. Spellman makes 2-pt dunk from 1 ft (assist by K. Bazemore),21,14
45,1,6:32.0,D. Smith misses 3-pt jump shot from 26 ft,,21,14
46,1,6:28.0,,Defensive rebound by O. Spellman,21,14
47,1,6:18.0,,T. Young misses 2-pt layup from 7 ft,21,14
48,1,6:14.0,Defensive rebound by D. Jordan,,21,14
49,1,6:12.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,24,14
50,1,5:54.0,,T. Young misses 3-pt jump shot from 27 ft,24,14
51,1,5:51.0,Defensive rebound by D. Jordan,,24,14
