,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
0,1,11:43.0,,K. Lowry misses 3-pt jump shot from 26 ft,0,0
1,1,11:39.0,,Offensive rebound by D. Green,0,0
2,1,11:39.0,,D. Green misses 2-pt layup from 1 ft,0,0
3,1,11:39.0,Defensive rebound by H. Barnes,,0,0
4,1,11:26.0,H. Barnes misses 3-pt jump shot from 26 ft,,0,0
5,1,11:24.0,,Defensive rebound by K. Lowry,0,0
6,1,11:19.0,,Shooting foul by D. Jordan (drawn by P. Siakam),0,0
7,1,11:19.0,,P. Siakam makes free throw 1 of 2,0,1
8,1,11:19.0,,P. Siakam makes free throw 2 of 2,0,2
9,1,10:59.0,H. Barnes misses 3-pt jump shot from 26 ft,,0,2
10,1,10:56.0,,Defensive rebound by J. Valančiūnas,0,2
11,1,10:33.0,,J. Valančiūnas makes 2-pt jump shot from 16 ft,0,4
12,1,10:23.0,J. Brunson misses 3-pt jump shot from 26 ft,,0,4
13,1,10:21.0,,Defensive rebound by P. Siakam,0,4
14,1,10:12.0,,P. Siakam misses 3-pt jump shot from 28 ft,0,4
15,1,10:09.0,,Offensive rebound by K. Leonard,0,4
16,1,10:07.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Leonard),0,7
17,1,9:52.0,Personal foul by P. Siakam (drawn by H. Barnes),,0,7
18,1,9:45.0,L. Dončić misses 3-pt jump shot from 26 ft,,0,7
19,1,9:42.0,,Defensive rebound by D. Green,0,7
20,1,9:41.0,,Personal foul by L. Dončić (drawn by P. Siakam),0,7
21,1,9:32.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,0,7
22,1,9:29.0,Defensive rebound by D. Jordan,,0,7
23,1,9:20.0,W. Matthews makes 2-pt jump shot from 4 ft (assist by D. Jordan),,2,7
24,1,9:12.0,,Personal foul by J. Brunson (drawn by K. Lowry),2,7
25,1,9:00.0,,K. Leonard misses 2-pt jump shot from 14 ft,2,7
26,1,8:57.0,Defensive rebound by L. Dončić,,2,7
27,1,8:50.0,W. Matthews misses 3-pt jump shot from 23 ft,,2,7
28,1,8:47.0,,Defensive rebound by J. Valančiūnas,2,7
29,1,8:34.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),2,10
30,1,8:32.0,Dallas full timeout,,2,10
31,1,8:14.0,Turnover by W. Matthews (bad pass; steal by J. Valančiūnas),,2,10
32,1,8:06.0,,K. Leonard makes 2-pt jump shot from 15 ft (assist by K. Lowry),2,12
33,1,7:46.0,L. Dončić misses 2-pt jump shot from 7 ft,,2,12
34,1,7:43.0,,Defensive rebound by P. Siakam,2,12
35,1,7:40.0,,K. Lowry misses 3-pt jump shot from 28 ft,2,12
36,1,7:36.0,Defensive rebound by D. Jordan,,2,12
37,1,7:30.0,J. Brunson misses 2-pt jump shot from 18 ft,,2,12
38,1,7:28.0,,Defensive rebound by D. Green,2,12
39,1,7:25.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),2,14
40,1,7:03.0,H. Barnes misses 3-pt jump shot from 25 ft,,2,14
41,1,7:01.0,,Defensive rebound by D. Green,2,14
42,1,6:53.0,,Shooting foul by H. Barnes (drawn by J. Valančiūnas),2,14
43,1,6:53.0,,J. Valančiūnas makes free throw 1 of 2,2,15
44,1,6:53.0,J. Barea enters the game for H. Barnes,,2,15
45,1,6:53.0,D. Finney-Smith enters the game for J. Brunson,,2,15
46,1,6:53.0,,J. Valančiūnas makes free throw 2 of 2,2,16
47,1,6:43.0,L. Dončić misses 2-pt layup from 1 ft,,2,16
48,1,6:41.0,,Defensive rebound by D. Green,2,16
49,1,6:36.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by K. Lowry),2,18
50,1,6:19.0,Turnover by J. Barea (bad pass; steal by K. Leonard),,2,18
51,1,6:15.0,,K. Leonard misses 3-pt jump shot from 27 ft,2,18
52,1,6:12.0,Defensive rebound by L. Dončić,,2,18
53,1,6:07.0,Shooting foul by J. Valančiūnas (drawn by D. Jordan),,2,18
54,1,6:07.0,D. Jordan makes free throw 1 of 2,,3,18
55,1,6:07.0,D. Jordan makes free throw 2 of 2,,4,18
56,1,5:54.0,,D. Green misses 3-pt jump shot from 26 ft,4,18
57,1,5:50.0,Defensive rebound by D. Finney-Smith,,4,18
58,1,5:40.0,L. Dončić makes 2-pt jump shot from 13 ft,,6,18
59,1,5:27.0,,P. Siakam makes 2-pt layup from 1 ft,6,20
60,1,5:16.0,Personal foul by K. Lowry (drawn by W. Matthews),,6,20
61,1,5:02.0,W. Matthews makes 3-pt jump shot from 29 ft,,9,20
62,1,4:53.0,,Offensive foul by J. Valančiūnas (drawn by L. Dončić),9,20
63,1,4:53.0,,Turnover by J. Valančiūnas (offensive foul),9,20
64,1,4:53.0,D. Powell enters the game for D. Jordan,,9,20
65,1,4:53.0,,S. Ibaka enters the game for J. Valančiūnas,9,20
66,1,4:42.0,J. Barea makes 2-pt layup from 1 ft,,11,20
67,1,4:30.0,,K. Leonard makes 2-pt jump shot from 10 ft,11,22
