,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:46.0,K. O'Quinn makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,2,0
1,1,11:26.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by B. Beal),2,3
2,1,11:03.0,Turnover by T. Young (back court),,2,3
3,1,10:54.0,,B. Portis misses 3-pt jump shot from 26 ft,2,3
4,1,10:50.0,Defensive rebound by B. Bogdanović,,2,3
5,1,10:47.0,Personal foul by T. Satoranský (drawn by D. Collison),,2,3
6,1,10:29.0,D. Collison misses 2-pt layup from 6 ft (block by J. Green),,2,3
7,1,10:25.0,,Defensive rebound by B. Portis,2,3
8,1,10:16.0,,B. Portis makes 2-pt hook shot from 6 ft (assist by T. Ariza),2,5
9,1,10:07.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,4,5
10,1,10:01.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),4,7
11,1,9:48.0,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by D. Collison),,6,7
12,1,9:48.0,Shooting foul by B. Portis (drawn by B. Bogdanović),,6,7
13,1,9:48.0,B. Bogdanović misses free throw 1 of 1,,6,7
14,1,9:46.0,,Defensive rebound by B. Portis,6,7
15,1,9:34.0,,B. Portis misses 2-pt jump shot from 9 ft,6,7
16,1,9:31.0,Defensive rebound by K. O'Quinn,,6,7
17,1,9:29.0,Turnover by B. Bogdanović (palming),,6,7
18,1,9:20.0,,J. Green misses 3-pt jump shot from 26 ft,6,7
19,1,9:17.0,,Offensive rebound by B. Portis,6,7
20,1,9:17.0,,B. Portis misses 2-pt layup from 6 ft,6,7
21,1,9:17.0,Defensive rebound by B. Bogdanović,,6,7
22,1,8:55.0,W. Matthews misses 3-pt jump shot from 22 ft,,6,7
23,1,8:51.0,Offensive rebound by T. Young,,6,7
24,1,8:50.0,W. Matthews makes 2-pt layup from 2 ft (assist by T. Young),,8,7
