,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
0,1,11:42.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),0,3
1,1,11:25.0,L. Aldridge makes 2-pt jump shot from 8 ft (assist by R. Gay),,2,3
2,1,11:14.0,,J. Harden misses 2-pt layup from 2 ft,2,3
3,1,11:12.0,,Offensive rebound by C. Capela,2,3
4,1,11:10.0,,C. Capela misses 2-pt layup from 2 ft (block by D. White),2,3
5,1,11:08.0,Defensive rebound by B. Forbes,,2,3
6,1,11:03.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,4,3
7,1,10:47.0,,J. Harden makes 3-pt jump shot from 26 ft,4,6
8,1,10:26.0,L. Aldridge misses 2-pt jump shot from 12 ft,,4,6
9,1,10:25.0,,Defensive rebound by P. Tucker,4,6
10,1,10:13.0,,Shooting foul by D. DeRozan (drawn by C. Capela),4,6
11,1,10:13.0,,C. Capela misses free throw 1 of 2,4,6
12,1,10:13.0,,Offensive rebound by Team,4,6
13,1,10:13.0,,C. Capela makes free throw 2 of 2,4,7
14,1,9:55.0,Shooting foul by D. House (drawn by R. Gay),,4,7
15,1,9:55.0,R. Gay makes free throw 1 of 2,,5,7
16,1,9:55.0,R. Gay makes free throw 2 of 2,,6,7
17,1,9:46.0,,J. Harden misses 2-pt jump shot from 9 ft,6,7
18,1,9:45.0,,Offensive rebound by J. Harden,6,7
19,1,9:43.0,,J. Harden misses 2-pt layup from 3 ft (block by D. White),6,7
20,1,9:42.0,Defensive rebound by D. White,,6,7
21,1,9:34.0,B. Forbes makes 2-pt jump shot from 12 ft (assist by R. Gay),,8,7
22,1,9:22.0,,Shooting foul by R. Gay (drawn by C. Capela),8,7
23,1,9:22.0,,C. Capela misses free throw 1 of 2,8,7
24,1,9:22.0,,Offensive rebound by Team,8,7
25,1,9:22.0,,C. Capela misses free throw 2 of 2,8,7
26,1,9:22.0,Defensive rebound by L. Aldridge,,8,7
27,1,9:05.0,L. Aldridge misses 2-pt jump shot from 10 ft,,8,7
28,1,9:03.0,,Defensive rebound by D. House,8,7
29,1,8:54.0,,E. Gordon makes 2-pt layup from 1 ft (assist by P. Tucker),8,9
30,1,8:40.0,L. Aldridge misses 2-pt hook shot from 5 ft,,8,9
31,1,8:39.0,,Defensive rebound by J. Harden,8,9
32,1,8:37.0,,Turnover by J. Harden (lost ball; steal by D. White),8,9
