,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:36.0,D. Mitchell misses 2-pt jump shot from 10 ft,,0,0
1,1,11:34.0,,Defensive rebound by C. Capela,0,0
2,1,11:20.0,,P. Tucker misses 3-pt jump shot from 24 ft,0,0
3,1,11:17.0,Defensive rebound by J. Ingles,,0,0
4,1,11:03.0,Personal foul by J. Harden (drawn by R. Gobert),,0,0
5,1,10:53.0,R. Rubio makes 2-pt jump shot from 14 ft (assist by J. Ingles),,2,0
6,1,10:34.0,,C. Capela misses 2-pt layup from 1 ft,2,0
7,1,10:34.0,Defensive rebound by R. Rubio,,2,0
8,1,10:25.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,4,0
9,1,10:12.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),4,2
10,1,9:52.0,D. Mitchell makes 2-pt layup from 1 ft,,6,2
11,1,9:37.0,,P. Tucker misses 3-pt jump shot from 23 ft,6,2
12,1,9:33.0,,Offensive rebound by C. Capela,6,2
13,1,9:27.0,,P. Tucker makes 2-pt layup from 1 ft (assist by E. Gordon),6,4
14,1,9:15.0,Turnover by R. Rubio (traveling),,6,4
15,1,9:07.0,,Turnover by C. Paul (bad pass; steal by D. Favors),6,4
16,1,9:03.0,R. Rubio makes 2-pt layup at rim (assist by D. Favors),,8,4
17,1,8:56.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),8,7
18,1,8:56.0,,Shooting foul by J. Ingles (drawn by E. Gordon),8,7
19,1,8:56.0,,E. Gordon makes free throw 1 of 1,8,8
20,1,8:45.0,Shooting foul by P. Tucker (drawn by D. Favors),,8,8
21,1,8:45.0,D. Favors makes free throw 1 of 2,,9,8
22,1,8:45.0,D. Favors makes free throw 2 of 2,,10,8
23,1,8:25.0,,C. Capela misses 2-pt hook shot from 9 ft,10,8
24,1,8:23.0,Defensive rebound by R. Gobert,,10,8
25,1,8:06.0,Turnover by D. Mitchell (step out of bounds),,10,8
26,1,7:54.0,,C. Capela makes 2-pt layup from 1 ft (assist by P. Tucker),10,10
27,1,7:43.0,R. Rubio makes 2-pt jump shot from 10 ft,,12,10
28,1,7:33.0,,C. Paul makes 2-pt jump shot from 14 ft,12,12
29,1,7:14.0,Turnover by R. Rubio (step out of bounds),,12,12
30,1,7:02.0,,J. Harden makes 3-pt jump shot from 24 ft,12,15
31,1,6:36.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,14,15
32,1,6:15.0,,E. Gordon makes 2-pt layup from 1 ft (assist by P. Tucker),14,17
33,1,6:15.0,Utah full timeout,,14,17
34,1,6:15.0,J. Crowder enters the game for D. Favors,,14,17
35,1,6:15.0,R. O'Neale enters the game for J. Ingles,,14,17
36,1,6:15.0,,D. House enters the game for E. Gordon,14,17
37,1,6:15.0,,A. Rivers enters the game for C. Paul,14,17
38,1,6:03.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),,17,17
39,1,5:45.0,,J. Harden makes 3-pt jump shot from 27 ft,17,20
40,1,5:31.0,D. Mitchell misses 2-pt layup from 1 ft,,17,20
41,1,5:27.0,Offensive rebound by R. Gobert,,17,20
42,1,5:27.0,R. Gobert makes 2-pt layup from 1 ft,,19,20
43,1,5:11.0,,J. Harden makes 2-pt layup from 1 ft,19,22
44,1,5:00.0,R. Rubio misses 2-pt layup from 1 ft (block by D. House),,19,22
45,1,4:57.0,,Defensive rebound by A. Rivers,19,22
46,1,4:41.0,,J. Harden makes 2-pt jump shot from 2 ft,19,24
47,1,4:16.0,R. Rubio misses 2-pt jump shot from 7 ft,,19,24
48,1,4:13.0,,Defensive rebound by C. Capela,19,24
49,1,4:05.0,,D. House misses 3-pt jump shot from 24 ft,19,24
50,1,4:02.0,Defensive rebound by R. O'Neale,,19,24
51,1,3:48.0,D. Mitchell misses 3-pt jump shot from 23 ft,,19,24
52,1,3:42.0,,Defensive rebound by D. House,19,24
53,1,3:33.0,,J. Harden misses 2-pt jump shot from 5 ft,19,24
54,1,3:30.0,Defensive rebound by R. Gobert,,19,24
55,1,3:25.0,D. Mitchell misses 3-pt jump shot from 25 ft,,19,24
56,1,3:21.0,,Defensive rebound by P. Tucker,19,24
57,1,3:08.0,,J. Harden makes 2-pt jump shot from 6 ft (assist by C. Capela),19,26
58,1,2:54.0,Shooting foul by A. Rivers (drawn by R. Rubio),,19,26
59,1,2:54.0,,Houston full timeout,19,26
60,1,2:54.0,D. Favors enters the game for R. Gobert,,19,26
61,1,2:54.0,J. Ingles enters the game for D. Mitchell,,19,26
62,1,2:54.0,K. Korver enters the game for R. O'Neale,,19,26
63,1,2:54.0,,K. Faried enters the game for C. Capela,19,26
64,1,2:54.0,,G. Green enters the game for J. Harden,19,26
65,1,2:54.0,,C. Paul enters the game for P. Tucker,19,26
66,1,2:54.0,R. Rubio makes free throw 1 of 2,,20,26
67,1,2:54.0,R. Rubio makes free throw 2 of 2,,21,26
68,1,2:44.0,,Turnover by A. Rivers (traveling),21,26
69,1,2:44.0,R. Neto enters the game for R. Rubio,,21,26
70,1,2:27.0,Turnover by D. Favors (lost ball; steal by C. Paul),,21,26
71,1,2:20.0,,D. House misses 3-pt jump shot from 24 ft,21,26
72,1,2:19.0,,Offensive rebound by Team,21,26
73,1,2:19.0,Loose ball foul by K. Korver (drawn by G. Green),,21,26
74,1,2:12.0,,K. Faried makes 2-pt dunk at rim (assist by C. Paul),21,28
75,1,1:58.0,Turnover by J. Ingles (bad pass),,21,28
76,1,1:50.0,,Personal foul by R. Neto (drawn by C. Paul),21,28
77,1,1:41.0,,D. House makes 3-pt jump shot from 24 ft (assist by C. Paul),21,31
78,1,1:28.0,Shooting foul by D. House (drawn by J. Crowder),,21,31
79,1,1:28.0,J. Crowder makes free throw 1 of 3,,22,31
80,1,1:28.0,J. Crowder makes free throw 2 of 3,,23,31
