,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:40.0,,S. Ibaka misses 2-pt jump shot from 3 ft,0,0
1,1,11:38.0,Defensive rebound by J. Embiid,,0,0
2,1,11:27.0,Turnover by B. Simmons (lost ball; steal by K. Leonard),,0,0
3,1,11:21.0,,Turnover by P. Siakam (bad pass; steal by R. Covington),0,0
4,1,11:15.0,M. Fultz misses 3-pt jump shot from 22 ft,,0,0
5,1,11:11.0,,Defensive rebound by P. Siakam,0,0
6,1,11:09.0,,K. Lowry misses 2-pt layup from 2 ft,0,0
7,1,11:09.0,,Offensive rebound by P. Siakam,0,0
8,1,11:08.0,,Shooting foul by D. Šarić (drawn by P. Siakam),0,0
9,1,11:08.0,,P. Siakam makes free throw 1 of 2,0,1
10,1,11:08.0,,P. Siakam makes free throw 2 of 2,0,2
11,1,10:53.0,J. Embiid makes 2-pt jump shot from 10 ft,,2,2
12,1,10:34.0,,D. Green misses 3-pt jump shot from 26 ft,2,2
13,1,10:32.0,Defensive rebound by J. Embiid,,2,2
14,1,10:27.0,Turnover by B. Simmons (bad pass; steal by K. Leonard),,2,2
15,1,10:21.0,,K. Leonard misses 3-pt jump shot from 25 ft,2,2
16,1,10:18.0,Defensive rebound by B. Simmons,,2,2
17,1,10:12.0,J. Embiid makes 2-pt jump shot from 14 ft (assist by R. Covington),,4,2
18,1,9:57.0,,S. Ibaka makes 2-pt hook shot from 14 ft (assist by K. Leonard),4,4
19,1,9:47.0,D. Šarić makes 2-pt layup from 3 ft (assist by B. Simmons),,6,4
20,1,9:39.0,,S. Ibaka misses 3-pt jump shot from 26 ft,6,4
21,1,9:37.0,Defensive rebound by B. Simmons,,6,4
22,1,9:30.0,M. Fultz misses 3-pt jump shot from 23 ft,,6,4
23,1,9:30.0,,Defensive rebound by P. Siakam,6,4
24,1,9:23.0,,Turnover by K. Lowry (step out of bounds),6,4
25,1,9:11.0,M. Fultz makes 2-pt layup from 2 ft,,8,4
26,1,9:11.0,Shooting foul by K. Lowry (drawn by M. Fultz),,8,4
27,1,9:11.0,M. Fultz makes free throw 1 of 1,,9,4
28,1,8:58.0,,K. Leonard makes 2-pt jump shot from 3 ft,9,6
29,1,8:46.0,R. Covington misses 2-pt jump shot from 12 ft,,9,6
30,1,8:43.0,,Defensive rebound by K. Leonard,9,6
31,1,8:41.0,,Shooting foul by R. Covington (drawn by K. Leonard),9,6
32,1,8:41.0,,K. Leonard misses free throw 1 of 2,9,6
33,1,8:41.0,,Offensive rebound by Team,9,6
34,1,8:41.0,,K. Leonard makes free throw 2 of 2,9,7
35,1,8:24.0,J. Embiid misses 2-pt jump shot from 5 ft (block by S. Ibaka),,9,7
36,1,8:19.0,,Defensive rebound by K. Leonard,9,7
37,1,8:11.0,,P. Siakam misses 3-pt jump shot from 23 ft,9,7
38,1,8:09.0,Defensive rebound by M. Fultz,,9,7
39,1,7:57.0,Turnover by B. Simmons (bad pass; steal by P. Siakam),,9,7
40,1,7:53.0,,Turnover by P. Siakam (bad pass),9,7
41,1,7:41.0,B. Simmons makes 2-pt jump shot from 6 ft,,11,7
42,1,7:32.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),11,10
43,1,7:10.0,J. Embiid misses 2-pt jump shot from 12 ft,,11,10
44,1,7:08.0,,Defensive rebound by P. Siakam,11,10
45,1,7:03.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),11,12
46,1,7:02.0,Philadelphia full timeout,,11,12
47,1,7:02.0,A. Johnson enters the game for J. Embiid,,11,12
48,1,7:02.0,J. Redick enters the game for M. Fultz,,11,12
49,1,6:44.0,A. Johnson misses 2-pt hook shot from 10 ft (block by S. Ibaka),,11,12
50,1,6:41.0,,Defensive rebound by S. Ibaka,11,12
51,1,6:34.0,,K. Leonard misses 3-pt jump shot from 25 ft,11,12
52,1,6:33.0,,Offensive rebound by K. Leonard,11,12
53,1,6:22.0,,S. Ibaka makes 2-pt hook shot from 12 ft (assist by K. Lowry),11,14
54,1,6:12.0,Offensive foul by A. Johnson (drawn by D. Green),,11,14
55,1,6:12.0,Turnover by A. Johnson (offensive foul),,11,14
56,1,6:12.0,,J. Valančiūnas enters the game for S. Ibaka,11,14
57,1,5:55.0,,K. Lowry misses 3-pt jump shot from 25 ft,11,14
58,1,5:52.0,,Offensive rebound by D. Green,11,14
59,1,5:52.0,,D. Green makes 2-pt layup from 5 ft,11,16
60,1,5:44.0,J. Redick misses 3-pt jump shot from 25 ft,,11,16
61,1,5:41.0,Offensive rebound by B. Simmons,,11,16
62,1,5:37.0,J. Redick makes 3-pt jump shot from 22 ft (assist by B. Simmons),,14,16
63,1,5:26.0,,J. Valančiūnas misses 3-pt jump shot from 26 ft,14,16
64,1,5:23.0,Defensive rebound by A. Johnson,,14,16
65,1,5:18.0,Turnover by D. Šarić (step out of bounds),,14,16
66,1,5:12.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),14,18
67,1,4:58.0,Turnover by A. Johnson (lost ball; steal by D. Green),,14,18
68,1,4:53.0,,P. Siakam makes 2-pt layup from 3 ft (assist by D. Green),14,20
69,1,4:46.0,Personal foul by D. Green (drawn by J. Redick),,14,20
70,1,4:33.0,Turnover by A. Johnson (lost ball; steal by D. Green),,14,20
71,1,4:17.0,,Turnover by K. Lowry (bad pass; steal by A. Johnson),14,20
72,1,4:13.0,R. Covington makes 3-pt jump shot from 24 ft (assist by A. Johnson),,17,20
73,1,3:55.0,,K. Leonard misses 2-pt layup from 3 ft,17,20
74,1,3:52.0,Defensive rebound by A. Johnson,,17,20
75,1,3:46.0,D. Šarić misses 3-pt jump shot from 25 ft,,17,20
76,1,3:42.0,,Defensive rebound by P. Siakam,17,20
77,1,3:33.0,,Personal foul by B. Simmons (drawn by K. Lowry),17,20
78,1,3:33.0,,Toronto full timeout,17,20
79,1,3:33.0,J. Embiid enters the game for A. Johnson,,17,20
80,1,3:33.0,M. Fultz enters the game for D. Šarić,,17,20
81,1,3:33.0,M. Muscala enters the game for B. Simmons,,17,20
82,1,3:33.0,,C. Miles enters the game for D. Green,17,20
83,1,3:33.0,,N. Powell enters the game for K. Leonard,17,20
84,1,3:27.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by N. Powell),17,23
85,1,3:13.0,M. Fultz misses 2-pt jump shot from 8 ft,,17,23
86,1,3:11.0,,Defensive rebound by K. Lowry,17,23
87,1,2:57.0,,Turnover by K. Lowry (lost ball; steal by M. Fultz),17,23
88,1,2:51.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by M. Fultz),,20,23
89,1,2:30.0,,K. Lowry makes 2-pt jump shot from 16 ft,20,25
90,1,2:30.0,,Shooting foul by M. Muscala (drawn by K. Lowry),20,25
91,1,2:30.0,,K. Lowry makes free throw 1 of 1,20,26
92,1,2:30.0,L. Shamet enters the game for R. Covington,,20,26
93,1,2:30.0,,D. Wright enters the game for P. Siakam,20,26
94,1,2:06.0,L. Shamet misses 3-pt jump shot from 23 ft,,20,26
95,1,1:56.0,Offensive rebound by M. Muscala,,20,26
96,1,1:56.0,M. Muscala makes 2-pt layup at rim,,22,26
97,1,1:52.0,,C. Miles misses 2-pt jump shot from 6 ft,22,26
98,1,1:47.0,Defensive rebound by J. Embiid,,22,26
99,1,1:38.0,L. Shamet makes 2-pt jump shot from 9 ft,,24,26
100,1,1:22.0,,D. Wright misses 2-pt jump shot from 3 ft,24,26
101,1,1:22.0,,Offensive rebound by Team,24,26
102,1,1:21.0,,Shooting foul by L. Shamet (drawn by J. Valančiūnas),24,26
103,1,1:21.0,,J. Valančiūnas makes free throw 1 of 2,24,27
104,1,1:21.0,,L. Brown enters the game for K. Lowry,24,27
105,1,1:21.0,,J. Valančiūnas makes free throw 2 of 2,24,28
106,1,1:06.0,,Flagrant foul type 1 by J. Embiid (drawn by J. Valančiūnas),24,28
107,1,1:06.0,Turnover by J. Embiid (turnover),,24,28
108,1,1:06.0,,J. Valančiūnas makes flagrant free throw 1 of 2,24,29
109,1,1:06.0,,J. Valančiūnas makes flagrant free throw 2 of 2,24,30
110,1,0:47.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by L. Brown),24,32
111,1,0:34.0,Shooting foul by D. Wright (drawn by M. Muscala),,24,32
112,1,0:34.0,M. Muscala makes free throw 1 of 2,,25,32
113,1,0:34.0,M. Muscala makes free throw 2 of 2,,26,32
114,1,0:27.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by D. Wright),26,35
115,1,0:06.0,J. Redick misses 2-pt jump shot from 17 ft,,26,35
116,1,0:04.0,,Defensive rebound by D. Wright,26,35
117,1,0:00.0,,D. Wright misses 2-pt jump shot from 23 ft,26,35
118,1,0:00.0,,Offensive rebound by Team,26,35
119,2,11:47.0,J. Embiid misses 2-pt hook shot from 9 ft (block by J. Valančiūnas),,26,35
120,2,11:43.0,Offensive rebound by J. Embiid,,26,35
121,2,11:42.0,J. Embiid makes 2-pt layup from 4 ft,,28,35
122,2,11:22.0,,J. Valančiūnas makes 2-pt jump shot from 3 ft,28,37
123,2,11:08.0,M. Fultz misses 2-pt hook shot from 2 ft,,28,37
124,2,11:06.0,,Defensive rebound by J. Valančiūnas,28,37
125,2,11:02.0,,Shooting foul by M. Fultz (drawn by N. Powell),28,37
126,2,11:02.0,,N. Powell misses free throw 1 of 2,28,37
127,2,11:02.0,,Offensive rebound by Team,28,37
128,2,11:02.0,,N. Powell makes free throw 2 of 2,28,38
129,2,10:49.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by M. Muscala),,31,38
130,2,10:37.0,,J. Valančiūnas misses 2-pt jump shot from 10 ft,31,38
131,2,10:35.0,Defensive rebound by J. Embiid,,31,38
132,2,10:29.0,J. Embiid misses 2-pt jump shot from 15 ft,,31,38
133,2,10:26.0,,Defensive rebound by J. Valančiūnas,31,38
134,2,10:17.0,,Turnover by J. Valančiūnas (traveling),31,38
135,2,10:17.0,R. Covington enters the game for L. Shamet,,31,38
136,2,10:17.0,,K. Leonard enters the game for L. Brown,31,38
137,2,10:02.0,M. Muscala makes 2-pt jump shot from 7 ft (assist by J. Embiid),,33,38
138,2,9:49.0,,D. Wright makes 2-pt layup from 2 ft,33,40
139,2,9:27.0,J. Redick misses 3-pt jump shot from 23 ft,,33,40
140,2,9:24.0,Offensive rebound by M. Muscala,,33,40
141,2,9:20.0,J. Embiid makes 2-pt jump shot from 18 ft,,35,40
142,2,9:06.0,,J. Valančiūnas makes 3-pt jump shot from 23 ft (assist by K. Leonard),35,43
143,2,8:56.0,Turnover by M. Fultz (lost ball; steal by D. Wright),,35,43
144,2,8:54.0,,D. Wright misses 2-pt layup from 5 ft,35,43
145,2,8:54.0,Defensive rebound by M. Fultz,,35,43
146,2,8:51.0,Personal foul by D. Wright (drawn by M. Fultz),,35,43
147,2,8:51.0,,D. Green enters the game for K. Leonard,35,43
148,2,8:51.0,,S. Ibaka enters the game for J. Valančiūnas,35,43
149,2,8:41.0,Personal foul by C. Miles (drawn by M. Muscala),,35,43
150,2,8:30.0,J. Embiid misses 2-pt jump shot from 16 ft,,35,43
151,2,8:28.0,,Defensive rebound by D. Green,35,43
152,2,8:19.0,,D. Green misses 2-pt jump shot from 6 ft,35,43
153,2,8:16.0,Defensive rebound by M. Muscala,,35,43
154,2,8:11.0,R. Covington misses 3-pt jump shot from 23 ft,,35,43
155,2,8:10.0,,Defensive rebound by D. Wright,35,43
156,2,8:10.0,Loose ball foul by M. Fultz (drawn by D. Wright),,35,43
157,2,8:10.0,A. Johnson enters the game for J. Embiid,,35,43
158,2,8:10.0,L. Shamet enters the game for M. Fultz,,35,43
