,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
0,1,11:38.0,A. Wiggins misses 2-pt jump shot from 8 ft,,0,0
1,1,11:35.0,,Defensive rebound by L. Nance,0,0
2,1,11:17.0,,R. Hood makes 2-pt jump shot from 2 ft (assist by L. Nance),0,2
3,1,11:05.0,Personal foul by L. Nance (drawn by T. Gibson),,0,2
4,1,10:52.0,A. Wiggins misses 2-pt jump shot from 16 ft,,0,2
5,1,10:49.0,,Defensive rebound by C. Sexton,0,2
6,1,10:40.0,,T. Thompson makes 2-pt hook shot from 11 ft (assist by L. Nance),0,4
7,1,10:31.0,Turnover by T. Gibson (traveling),,0,4
8,1,10:23.0,,Turnover by R. Hood (bad pass),0,4
9,1,10:08.0,K. Towns misses 2-pt jump shot from 13 ft,,0,4
10,1,10:05.0,,Defensive rebound by T. Thompson,0,4
11,1,9:59.0,,C. Sexton misses 2-pt jump shot from 15 ft,0,4
12,1,9:51.0,,Offensive rebound by T. Thompson,0,4
13,1,9:51.0,,T. Thompson makes 2-pt dunk from 1 ft,0,6
14,1,9:48.0,R. Covington makes 2-pt jump shot from 18 ft (assist by K. Towns),,2,6
15,1,9:35.0,,Personal foul by R. Covington (drawn by T. Thompson),2,6
16,1,9:24.0,,L. Nance misses 3-pt jump shot from 25 ft,2,6
17,1,9:20.0,Defensive rebound by K. Towns,,2,6
18,1,9:11.0,T. Gibson misses 2-pt hook shot from 3 ft,,2,6
19,1,9:09.0,,Defensive rebound by T. Thompson,2,6
20,1,8:58.0,,R. Hood misses 3-pt jump shot from 25 ft,2,6
21,1,8:56.0,,Offensive rebound by T. Thompson,2,6
22,1,8:46.0,,C. Sexton misses 2-pt jump shot from 21 ft,2,6
23,1,8:43.0,Defensive rebound by K. Towns,,2,6
24,1,8:33.0,J. Teague makes 2-pt layup from 1 ft,,4,6
25,1,8:13.0,,Turnover by T. Thompson (lost ball; steal by T. Gibson),4,6
26,1,8:04.0,J. Teague misses 3-pt jump shot from 26 ft,,4,6
27,1,8:00.0,,Defensive rebound by C. Osman,4,6
28,1,7:53.0,,C. Osman misses 2-pt layup from 5 ft (block by R. Covington),4,6
29,1,7:49.0,Defensive rebound by R. Covington,,4,6
30,1,7:47.0,R. Covington makes 3-pt jump shot from 25 ft,,7,6
31,1,7:28.0,,C. Sexton makes 2-pt jump shot from 21 ft,7,8
32,1,7:18.0,J. Teague misses 2-pt jump shot from 4 ft (block by L. Nance),,7,8
33,1,7:15.0,,Defensive rebound by T. Thompson,7,8
34,1,7:13.0,,C. Sexton makes 2-pt jump shot from 16 ft,7,10
35,1,7:00.0,A. Wiggins misses 3-pt jump shot from 31 ft,,7,10
36,1,6:57.0,,Defensive rebound by L. Nance,7,10
37,1,6:40.0,,C. Osman makes 2-pt jump shot from 19 ft,7,12
38,1,6:33.0,Minnesota full timeout,,7,12
39,1,6:25.0,Shooting foul by C. Osman (drawn by A. Wiggins),,7,12
40,1,6:25.0,A. Wiggins makes free throw 1 of 2,,8,12
41,1,6:25.0,A. Wiggins makes free throw 2 of 2,,9,12
42,1,6:11.0,,C. Osman misses 2-pt layup from 3 ft (block by A. Wiggins),9,12
43,1,6:08.0,Defensive rebound by K. Towns,,9,12
44,1,6:02.0,K. Towns makes 3-pt jump shot from 30 ft (assist by A. Wiggins),,12,12
45,1,5:39.0,,Turnover by R. Hood (lost ball; steal by J. Teague),12,12
46,1,5:35.0,R. Covington makes 2-pt layup from 1 ft (assist by A. Wiggins),,14,12
47,1,5:22.0,,T. Thompson makes 2-pt dunk at rim (assist by C. Sexton),14,14
48,1,5:07.0,T. Gibson misses 2-pt jump shot from 6 ft,,14,14
49,1,5:04.0,,Defensive rebound by T. Thompson,14,14
50,1,4:59.0,,R. Hood misses 3-pt jump shot from 25 ft,14,14
51,1,4:57.0,Defensive rebound by T. Gibson,,14,14
52,1,4:44.0,Turnover by T. Gibson (lost ball; steal by T. Thompson),,14,14
53,1,4:40.0,,C. Sexton makes 2-pt jump shot from 19 ft,14,16
54,1,4:31.0,Offensive foul by T. Gibson (drawn by C. Sexton),,14,16
55,1,4:31.0,Turnover by T. Gibson (offensive foul),,14,16
56,1,4:31.0,D. Rose enters the game for R. Covington,,14,16
57,1,4:31.0,D. Šarić enters the game for T. Gibson,,14,16
58,1,4:17.0,,Shooting foul by D. Šarić (drawn by L. Nance),14,16
59,1,4:17.0,,L. Nance makes free throw 1 of 2,14,17
60,1,4:17.0,,J. Clarkson enters the game for C. Osman,14,17
61,1,4:17.0,,L. Nance makes free throw 2 of 2,14,18
62,1,4:06.0,J. Teague makes 2-pt jump shot from 12 ft,,16,18
63,1,3:46.0,,T. Thompson makes 2-pt hook shot from 13 ft (assist by L. Nance),16,20
64,1,3:35.0,J. Teague makes 2-pt layup from 4 ft,,18,20
65,1,3:29.0,,Turnover by C. Sexton (out of bounds lost ball),18,20
66,1,3:14.0,J. Teague makes 2-pt jump shot from 8 ft,,20,20
67,1,2:58.0,,C. Sexton misses 2-pt layup from 10 ft (block by J. Teague),20,20
68,1,2:58.0,Defensive rebound by Team,,20,20
69,1,2:58.0,,Cleveland full timeout,20,20
70,1,2:58.0,,C. Osman enters the game for L. Nance,20,20
71,1,2:44.0,J. Teague makes 2-pt jump shot from 10 ft,,22,20
72,1,2:17.0,,T. Thompson misses 2-pt jump shot from 10 ft,22,20
73,1,2:15.0,Defensive rebound by A. Wiggins,,22,20
74,1,2:07.0,K. Towns makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,25,20
