,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:43.0,J. Holiday misses 2-pt layup from 6 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Horford,0,0
2,1,11:32.0,,Turnover by G. Hayward (bad pass),0,0
3,1,11:19.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),,3,0
4,1,11:06.0,,Turnover by J. Brown (out of bounds lost ball),3,0
5,1,10:52.0,J. Parker makes 2-pt jump shot from 12 ft (assist by R. Arcidiacono),,5,0
6,1,10:35.0,,K. Irving misses 2-pt jump shot from 18 ft,5,0
7,1,10:32.0,Defensive rebound by J. Parker,,5,0
8,1,10:22.0,W. Carter misses 2-pt jump shot from 17 ft,,5,0
9,1,10:21.0,,Defensive rebound by K. Irving,5,0
10,1,10:14.0,,K. Irving makes 2-pt jump shot from 13 ft,5,2
11,1,9:53.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,7,2
12,1,9:35.0,,A. Horford misses 2-pt jump shot from 13 ft,7,2
13,1,9:34.0,,Offensive rebound by J. Tatum,7,2
14,1,9:33.0,,J. Tatum makes 2-pt dunk from 2 ft,7,4
15,1,9:14.0,J. Parker makes 2-pt hook shot from 6 ft,,9,4
16,1,8:58.0,,J. Brown misses 2-pt jump shot from 12 ft,9,4
17,1,8:57.0,Defensive rebound by Z. LaVine,,9,4
18,1,8:48.0,Turnover by J. Holiday (bad pass; steal by A. Horford),,9,4
19,1,8:43.0,,G. Hayward misses 2-pt layup from 2 ft,9,4
20,1,8:40.0,Defensive rebound by W. Carter,,9,4
21,1,8:35.0,J. Parker makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,12,4
22,1,8:18.0,,J. Tatum misses 2-pt jump shot from 8 ft,12,4
23,1,8:16.0,Defensive rebound by W. Carter,,12,4
24,1,8:03.0,J. Holiday misses 3-pt jump shot from 25 ft,,12,4
25,1,8:01.0,,Defensive rebound by K. Irving,12,4
26,1,7:56.0,,K. Irving makes 3-pt jump shot from 27 ft,12,7
27,1,7:34.0,W. Carter misses 2-pt jump shot from 12 ft,,12,7
28,1,7:33.0,,Defensive rebound by J. Brown,12,7
29,1,7:21.0,,J. Brown makes 2-pt layup from 2 ft,12,9
30,1,7:05.0,Turnover by J. Parker (bad pass; steal by J. Brown),,12,9
31,1,7:02.0,,J. Brown makes 2-pt dunk from 3 ft (assist by K. Irving),12,11
32,1,7:02.0,Chicago full timeout,,12,11
33,1,6:50.0,J. Parker misses 2-pt jump shot from 14 ft,,12,11
34,1,6:48.0,,Defensive rebound by A. Horford,12,11
35,1,6:37.0,,J. Brown makes 2-pt jump shot from 8 ft (assist by A. Horford),12,13
36,1,6:12.0,J. Holiday makes 3-pt jump shot from 26 ft,,15,13
37,1,5:53.0,,J. Tatum misses 2-pt layup from 3 ft,15,13
38,1,5:52.0,Defensive rebound by W. Carter,,15,13
39,1,5:39.0,Z. LaVine misses 3-pt jump shot from 29 ft,,15,13
40,1,5:37.0,,Defensive rebound by A. Horford,15,13
41,1,5:19.0,,J. Brown misses 2-pt layup from 4 ft (block by W. Carter),15,13
42,1,5:18.0,Defensive rebound by R. Arcidiacono,,15,13
43,1,5:12.0,J. Holiday misses 2-pt layup from 2 ft,,15,13
44,1,5:11.0,Offensive rebound by Z. LaVine,,15,13
45,1,5:10.0,Z. LaVine makes 2-pt layup from 1 ft,,17,13
46,1,4:47.0,,Personal foul by R. Arcidiacono (drawn by K. Irving),17,13
47,1,4:47.0,,T. Rozier enters the game for J. Brown,17,13
48,1,4:47.0,,M. Smart enters the game for G. Hayward,17,13
49,1,4:40.0,,K. Irving makes 2-pt jump shot from 19 ft (assist by A. Horford),17,15
50,1,4:29.0,Personal foul by M. Smart (drawn by J. Holiday),,17,15
51,1,4:29.0,A. Blakeney enters the game for Z. LaVine,,17,15
52,1,4:16.0,J. Parker makes 2-pt layup from 3 ft (assist by A. Blakeney),,19,15
53,1,4:01.0,,J. Tatum misses 3-pt jump shot from 25 ft,19,15
54,1,3:59.0,Defensive rebound by R. Arcidiacono,,19,15
55,1,3:52.0,W. Carter misses 2-pt layup from 3 ft (block by A. Horford),,19,15
56,1,3:51.0,,Defensive rebound by K. Irving,19,15
57,1,3:43.0,,K. Irving makes 2-pt jump shot from 7 ft,19,17
58,1,3:26.0,Personal foul by K. Irving (drawn by W. Carter),,19,17
59,1,3:15.0,J. Parker misses 2-pt jump shot from 19 ft,,19,17
60,1,3:14.0,,Defensive rebound by J. Tatum,19,17
61,1,3:04.0,,K. Irving misses 2-pt jump shot from 9 ft,19,17
62,1,3:03.0,Defensive rebound by J. Parker,,19,17
63,1,2:54.0,J. Parker misses 2-pt layup from 4 ft,,19,17
64,1,2:53.0,,Defensive rebound by K. Irving,19,17
65,1,2:52.0,,Boston full timeout,19,17
