,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
0,1,11:36.0,,J. Okafor makes 2-pt layup from 3 ft,0,2
1,1,11:14.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,3,2
2,1,10:58.0,,J. Okafor misses 2-pt layup from 2 ft,3,2
3,1,10:57.0,Defensive rebound by Z. Pachulia,,3,2
4,1,10:47.0,B. Griffin misses 2-pt layup from 6 ft (block by J. Okafor),,3,2
5,1,10:44.0,,Defensive rebound by J. Randle,3,2
6,1,10:38.0,,J. Okafor makes 2-pt layup from 3 ft (assist by J. Holiday),3,4
7,1,10:23.0,R. Bullock misses 2-pt jump shot from 17 ft,,3,4
8,1,10:15.0,,Defensive rebound by E. Moore,3,4
9,1,10:06.0,,J. Randle misses 2-pt jump shot from 20 ft,3,4
10,1,10:02.0,,Offensive rebound by J. Okafor,3,4
11,1,9:58.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),3,6
12,1,9:58.0,,Shooting foul by Z. Pachulia (drawn by J. Randle),3,6
13,1,9:58.0,,J. Randle makes free throw 1 of 1,3,7
14,1,9:52.0,R. Jackson misses 3-pt jump shot from 26 ft,,3,7
15,1,9:47.0,,Defensive rebound by E. Payton,3,7
16,1,9:28.0,,E. Payton misses 2-pt layup from 2 ft,3,7
17,1,9:23.0,Defensive rebound by B. Brown,,3,7
18,1,9:15.0,B. Brown makes 3-pt jump shot from 23 ft (assist by B. Griffin),,6,7
19,1,8:55.0,,J. Okafor misses 2-pt layup from 4 ft,6,7
20,1,8:52.0,Defensive rebound by B. Brown,,6,7
21,1,8:48.0,B. Brown misses 2-pt layup from 4 ft (block by J. Okafor),,6,7
22,1,8:48.0,Offensive rebound by Team,,6,7
23,1,8:36.0,R. Bullock misses 3-pt jump shot from 28 ft,,6,7
24,1,8:29.0,,Defensive rebound by J. Randle,6,7
25,1,8:21.0,,J. Randle misses 3-pt jump shot from 25 ft,6,7
26,1,8:18.0,Defensive rebound by B. Brown,,6,7
27,1,8:12.0,B. Griffin misses 2-pt layup from 3 ft (block by J. Okafor),,6,7
28,1,8:09.0,,Defensive rebound by J. Randle,6,7
29,1,8:05.0,,J. Randle makes 2-pt layup from 2 ft,6,9
30,1,7:55.0,R. Bullock misses 3-pt jump shot from 25 ft,,6,9
31,1,7:52.0,,Defensive rebound by E. Moore,6,9
32,1,7:50.0,,J. Holiday makes 2-pt jump shot from 8 ft (assist by E. Moore),6,11
33,1,7:30.0,R. Jackson misses 2-pt layup from 2 ft,,6,11
34,1,7:27.0,,Defensive rebound by E. Moore,6,11
