,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:54.0,,B. Hield makes 3-pt jump shot from 25 ft,0,3
1,1,11:38.0,D. Ayton misses 2-pt dunk from 2 ft,,0,3
2,1,11:35.0,,Defensive rebound by D. Fox,0,3
3,1,11:34.0,,Personal foul by M. Bridges (drawn by D. Fox),0,3
4,1,11:15.0,,N. Bjelica misses 3-pt jump shot from 23 ft,0,3
5,1,11:12.0,Defensive rebound by D. Ayton,,0,3
6,1,11:00.0,D. Booker misses 2-pt jump shot from 7 ft,,0,3
7,1,10:56.0,,Defensive rebound by N. Bjelica,0,3
8,1,10:48.0,,H. Barnes makes 2-pt jump shot from 12 ft (assist by B. Hield),0,5
9,1,10:29.0,D. Ayton makes 2-pt hook shot from 3 ft (assist by D. Melton),,2,5
10,1,10:21.0,,Turnover by D. Fox (bad pass; steal by D. Ayton),2,5
11,1,10:15.0,D. Ayton misses 2-pt layup from 2 ft,,2,5
12,1,10:15.0,Offensive rebound by D. Ayton,,2,5
13,1,10:11.0,D. Ayton makes 2-pt layup from 2 ft,,4,5
14,1,10:05.0,,H. Barnes misses 2-pt jump shot from 9 ft,4,5
15,1,10:05.0,Defensive rebound by Team,,4,5
16,1,9:53.0,D. Bender makes 2-pt layup from 3 ft (assist by D. Booker),,6,5
17,1,9:39.0,,D. Fox misses 2-pt layup from 2 ft,6,5
18,1,9:36.0,Defensive rebound by D. Melton,,6,5
19,1,9:28.0,D. Booker makes 2-pt jump shot from 3 ft,,8,5
20,1,9:28.0,Shooting foul by B. Hield (drawn by D. Booker),,8,5
21,1,9:28.0,D. Booker makes free throw 1 of 1,,9,5
22,1,9:20.0,,B. Hield misses 3-pt jump shot from 25 ft,9,5
23,1,9:15.0,Defensive rebound by M. Bridges,,9,5
24,1,9:05.0,M. Bridges makes 2-pt jump shot from 20 ft (assist by D. Booker),,11,5
25,1,8:53.0,,B. Hield misses 2-pt layup from 5 ft (block by D. Melton),11,5
26,1,8:53.0,,Offensive rebound by Team,11,5
27,1,8:52.0,,Personal foul by D. Bender (drawn by N. Bjelica),11,5
28,1,8:36.0,,Turnover by D. Fox (bad pass; steal by D. Booker),11,5
29,1,8:32.0,D. Booker makes 2-pt layup from 2 ft,,13,5
30,1,8:32.0,,Sacramento full timeout,13,5
31,1,8:15.0,,Turnover by D. Fox (bad pass; steal by D. Melton),13,5
