,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
0,1,11:33.0,Turnover by M. Gasol (bad pass; steal by R. Rubio),,0,0
1,1,11:29.0,,R. Rubio makes 3-pt jump shot from 25 ft,0,3
2,1,11:05.0,G. Temple misses 2-pt jump shot from 9 ft,,0,3
3,1,11:03.0,,Defensive rebound by R. Gobert,0,3
4,1,10:56.0,,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio),0,6
5,1,10:32.0,Turnover by J. Jackson (bad pass; steal by J. Ingles),,0,6
6,1,10:26.0,,D. Favors misses 3-pt jump shot from 23 ft,0,6
7,1,10:24.0,Defensive rebound by Team,,0,6
8,1,10:07.0,M. Conley makes 2-pt layup from 2 ft,,2,6
9,1,9:50.0,,Turnover by J. Ingles (bad pass; steal by J. Jackson),2,6
10,1,9:43.0,J. Jackson misses 3-pt jump shot from 25 ft,,2,6
11,1,9:39.0,,Defensive rebound by R. Gobert,2,6
12,1,9:32.0,,R. Rubio makes 2-pt jump shot from 17 ft,2,8
13,1,9:25.0,Memphis full timeout,,2,8
14,1,9:11.0,M. Gasol misses 2-pt jump shot from 12 ft,,2,8
15,1,9:08.0,,Defensive rebound by J. Ingles,2,8
16,1,8:57.0,,R. Rubio misses 2-pt jump shot from 7 ft,2,8
17,1,8:56.0,Defensive rebound by M. Conley,,2,8
18,1,8:52.0,Personal foul by R. Rubio (drawn by J. Jackson),,2,8
19,1,8:40.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Conley),,5,8
20,1,8:27.0,,G. Allen makes 2-pt dunk from 2 ft (assist by R. Rubio),5,10
21,1,8:03.0,M. Conley misses 2-pt jump shot from 12 ft,,5,10
22,1,8:02.0,,Defensive rebound by R. Gobert,5,10
23,1,7:55.0,,R. Rubio makes 2-pt layup from 2 ft,5,12
24,1,7:38.0,M. Gasol makes 2-pt jump shot from 8 ft,,7,12
25,1,7:38.0,Shooting foul by D. Favors (drawn by M. Gasol),,7,12
26,1,7:38.0,M. Gasol makes free throw 1 of 1,,8,12
27,1,7:26.0,,J. Ingles misses 3-pt jump shot from 25 ft,8,12
28,1,7:25.0,,Offensive rebound by Team,8,12
29,1,7:25.0,Loose ball foul by J. Jackson (drawn by D. Favors),,8,12
30,1,7:25.0,D. Brooks enters the game for K. Anderson,,8,12
31,1,7:14.0,,J. Ingles makes 2-pt layup from 3 ft (assist by R. Rubio),8,14
32,1,7:03.0,J. Jackson makes 2-pt jump shot from 4 ft (assist by M. Gasol),,10,14
33,1,6:39.0,,Turnover by J. Ingles (lost ball; steal by D. Brooks),10,14
34,1,6:31.0,D. Brooks makes 2-pt layup from 3 ft (assist by M. Conley),,12,14
35,1,6:12.0,,D. Favors misses 2-pt hook shot from 3 ft,12,14
36,1,6:12.0,,Offensive rebound by D. Favors,12,14
37,1,6:12.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Favors),12,17
38,1,6:12.0,,Shooting foul by D. Brooks (drawn by J. Ingles),12,17
39,1,6:12.0,,J. Crowder enters the game for D. Favors,12,17
40,1,6:12.0,,J. Ingles makes free throw 1 of 1,12,18
41,1,5:49.0,D. Brooks misses 2-pt jump shot from 13 ft,,12,18
42,1,5:45.0,,Defensive rebound by J. Crowder,12,18
43,1,5:40.0,,Personal foul by D. Brooks (drawn by R. Rubio),12,18
44,1,5:40.0,W. Selden enters the game for J. Jackson,,12,18
45,1,5:40.0,,R. O'Neale enters the game for J. Ingles,12,18
46,1,5:40.0,,Turnover by R. Rubio (bad pass),12,18
47,1,5:21.0,Shooting foul by R. O'Neale (drawn by M. Conley),,12,18
48,1,5:21.0,M. Conley makes free throw 1 of 2,,13,18
49,1,5:21.0,M. Conley makes free throw 2 of 2,,14,18
50,1,4:59.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by G. Allen),14,20
51,1,4:49.0,D. Brooks misses 3-pt jump shot from 25 ft,,14,20
52,1,4:46.0,,Defensive rebound by R. Gobert,14,20
53,1,4:39.0,,R. Rubio makes 2-pt jump shot from 18 ft,14,22
54,1,4:20.0,Personal foul by G. Allen (drawn by M. Gasol),,14,22
55,1,4:20.0,S. Mack enters the game for M. Conley,,14,22
56,1,4:20.0,,D. Exum enters the game for R. Rubio,14,22
57,1,4:10.0,D. Brooks makes 2-pt layup from 2 ft (assist by W. Selden),,16,22
58,1,3:57.0,,Turnover by R. Gobert (bad pass; steal by G. Temple),16,22
59,1,3:55.0,Shooting foul by G. Allen (drawn by W. Selden),,16,22
60,1,3:55.0,W. Selden misses free throw 1 of 2,,16,22
61,1,3:55.0,Offensive rebound by Team,,16,22
62,1,3:55.0,K. Anderson enters the game for G. Temple,,16,22
63,1,3:55.0,W. Selden misses free throw 2 of 2,,16,22
64,1,3:52.0,,Defensive rebound by R. Gobert,16,22
65,1,3:41.0,,G. Allen misses 3-pt jump shot from 27 ft,16,22
66,1,3:40.0,,Offensive rebound by R. Gobert,16,22
67,1,3:40.0,,G. Allen misses 3-pt jump shot from 24 ft,16,22
68,1,3:39.0,Defensive rebound by S. Mack,,16,22
69,1,3:31.0,Personal foul by D. Exum (drawn by M. Gasol),,16,22
70,1,3:31.0,M. Gasol makes free throw 1 of 2,,17,22
71,1,3:31.0,,J. Ingles enters the game for G. Allen,17,22
72,1,3:31.0,M. Gasol misses free throw 2 of 2,,17,22
73,1,3:28.0,,Defensive rebound by J. Crowder,17,22
74,1,3:22.0,Violation by Team (kicked ball),,17,22
75,1,3:22.0,,Utah full timeout,17,22
76,1,3:22.0,,D. Favors enters the game for R. Gobert,17,22
77,1,3:09.0,,J. Ingles makes 3-pt jump shot from 25 ft,17,25
78,1,2:50.0,M. Gasol makes 2-pt jump shot from 16 ft (assist by K. Anderson),,19,25
79,1,2:29.0,,Turnover by R. O'Neale (traveling),19,25
80,1,2:29.0,O. Casspi enters the game for D. Brooks,,19,25
81,1,2:29.0,J. Jackson enters the game for M. Gasol,,19,25
82,1,2:09.0,J. Jackson makes 2-pt layup from 3 ft (assist by S. Mack),,21,25
83,1,1:51.0,,D. Favors misses 2-pt layup from 3 ft,21,25
84,1,1:49.0,Defensive rebound by O. Casspi,,21,25
85,1,1:44.0,K. Anderson misses 2-pt layup from 4 ft (block by D. Favors),,21,25
86,1,1:44.0,Offensive rebound by O. Casspi,,21,25
87,1,1:44.0,Shooting foul by D. Favors (drawn by O. Casspi),,21,25
88,1,1:44.0,O. Casspi misses free throw 1 of 2,,21,25
89,1,1:44.0,Offensive rebound by Team,,21,25
90,1,1:44.0,O. Casspi makes free throw 2 of 2,,22,25
91,1,1:32.0,,Turnover by J. Ingles (out of bounds lost ball),22,25
