,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
54,1,4:07.0,,E. Fournier makes 2-pt layup from 2 ft,20,18
55,1,3:51.0,P. Siakam makes 2-pt dunk from 2 ft,,22,18
56,1,3:32.0,,Personal foul by D. Green (drawn by A. Gordon),22,18
57,1,3:32.0,F. VanVleet enters the game for D. Green,,22,18
58,1,3:32.0,,M. Carter-Williams enters the game for D. Augustin,22,18
59,1,3:32.0,,W. Iwundu enters the game for E. Fournier,22,18
60,1,3:21.0,,M. Carter-Williams makes 2-pt layup from 7 ft (assist by T. Ross),22,20
61,1,3:05.0,P. Siakam misses 3-pt jump shot from 24 ft,,22,20
62,1,3:03.0,,Defensive rebound by Team,22,20
63,1,2:51.0,,Turnover by T. Ross (bad pass; steal by M. Gasol),22,20
64,1,2:47.0,Shooting foul by N. Vučević (drawn by K. Leonard),,22,20
65,1,2:47.0,Toronto full timeout,,22,20
66,1,2:47.0,S. Ibaka enters the game for M. Gasol,,22,20
67,1,2:47.0,N. Powell enters the game for K. Lowry,,22,20
68,1,2:47.0,K. Leonard misses free throw 1 of 2,,22,20
69,1,2:47.0,Offensive rebound by Team,,22,20
70,1,2:47.0,K. Leonard makes free throw 2 of 2,,23,20
71,1,2:36.0,,A. Gordon misses 2-pt layup from 3 ft,23,20
72,1,2:30.0,,Offensive rebound by N. Vučević,23,20
73,1,2:30.0,,N. Vučević makes 2-pt layup at rim,23,22
74,1,2:12.0,Turnover by F. VanVleet (3 sec),,23,22
75,1,2:12.0,J. Meeks enters the game for K. Leonard,,23,22
76,1,2:02.0,,Personal foul by N. Powell (drawn by A. Gordon),23,22
77,1,1:48.0,,A. Gordon misses 3-pt jump shot from 23 ft,23,22
78,1,1:44.0,Defensive rebound by S. Ibaka,,23,22
79,1,1:30.0,F. VanVleet makes 3-pt jump shot from 27 ft (assist by P. Siakam),,26,22
80,1,1:19.0,,Personal foul by F. VanVleet (drawn by T. Ross),26,22
81,1,1:19.0,,T. Ross makes free throw 1 of 2,26,23
82,1,1:19.0,,K. Birch enters the game for N. Vučević,26,23
83,1,1:19.0,,T. Ross makes free throw 2 of 2,26,24
84,1,1:08.0,P. Siakam makes 2-pt jump shot from 11 ft (assist by F. VanVleet),,28,24
85,1,0:50.0,,M. Carter-Williams misses 2-pt jump shot from 18 ft,28,24
86,1,0:49.0,,Offensive rebound by Team,28,24
87,1,0:46.0,,T. Ross misses 2-pt jump shot from 19 ft,28,24
88,1,0:42.0,,Offensive rebound by K. Birch,28,24
89,1,0:35.0,,A. Gordon misses 2-pt dunk from 2 ft (block by S. Ibaka),28,24
90,1,0:30.0,,Offensive rebound by A. Gordon,28,24
91,1,0:27.0,,A. Gordon misses 3-pt jump shot from 24 ft,28,24
92,1,0:24.0,Defensive rebound by J. Meeks,,28,24
93,1,0:07.0,P. Siakam misses 2-pt jump shot from 12 ft,,28,24
94,1,0:04.0,,Defensive rebound by M. Carter-Williams,28,24
95,1,0:00.0,,M. Carter-Williams makes 2-pt jump shot from 16 ft,28,26
96,2,11:40.0,,E. Fournier misses 3-pt jump shot from 26 ft,28,26
97,2,11:35.0,Defensive rebound by P. Siakam,,28,26
98,2,11:25.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,31,26
99,2,11:03.0,,E. Fournier makes 2-pt jump shot from 8 ft,31,28
100,2,10:43.0,Turnover by K. Lowry (bad pass),,31,28
101,2,10:34.0,,Personal foul by F. VanVleet (drawn by T. Ross),31,28
102,2,10:22.0,,Offensive foul by J. Isaac (drawn by K. Lowry),31,28
103,2,10:22.0,,Turnover by J. Isaac (offensive foul),31,28
104,2,10:22.0,,J. Martin enters the game for J. Isaac,31,28
105,2,10:03.0,K. Lowry misses 2-pt jump shot from 7 ft (block by J. Martin),,31,28
106,2,10:00.0,,Defensive rebound by E. Fournier,31,28
107,2,9:58.0,,T. Ross misses 3-pt jump shot from 30 ft,31,28
108,2,9:54.0,,Offensive rebound by J. Martin,31,28
109,2,9:47.0,,J. Martin makes 3-pt jump shot from 24 ft (assist by E. Fournier),31,31
110,2,9:25.0,P. Siakam misses 3-pt jump shot from 22 ft,,31,31
111,2,9:21.0,,Defensive rebound by E. Fournier,31,31
112,2,9:13.0,,J. Martin misses 3-pt jump shot from 27 ft,31,31
113,2,9:10.0,Defensive rebound by N. Powell,,31,31
114,2,8:59.0,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),,33,31
115,2,8:41.0,,M. Carter-Williams misses 3-pt jump shot from 25 ft,33,31
116,2,8:37.0,Defensive rebound by K. Lowry,,33,31
117,2,8:26.0,Personal foul by E. Fournier (drawn by K. Lowry),,33,31
118,2,8:26.0,K. Leonard enters the game for P. Siakam,,33,31
119,2,8:26.0,,A. Gordon enters the game for J. Martin,33,31
120,2,8:18.0,K. Lowry misses 3-pt jump shot from 26 ft,,33,31
121,2,8:13.0,Offensive rebound by S. Ibaka,,33,31
122,2,8:11.0,S. Ibaka makes 2-pt hook shot from 5 ft,,35,31
123,2,7:53.0,,K. Birch makes 2-pt hook shot from 7 ft (assist by M. Carter-Williams),35,33
124,2,7:38.0,S. Ibaka makes 3-pt jump shot from 27 ft (assist by N. Powell),,38,33
125,2,7:25.0,,E. Fournier makes 2-pt jump shot from 21 ft (assist by M. Carter-Williams),38,35
126,2,7:18.0,Personal foul by E. Fournier (drawn by K. Lowry),,38,35
127,2,7:18.0,,D. Augustin enters the game for K. Birch,38,35
128,2,7:18.0,,W. Iwundu enters the game for M. Carter-Williams,38,35
129,2,7:18.0,,N. Vučević enters the game for E. Fournier,38,35
130,2,7:11.0,F. VanVleet misses 2-pt jump shot from 21 ft,,38,35
131,2,7:07.0,Offensive rebound by K. Leonard,,38,35
132,2,7:07.0,N. Powell makes 3-pt jump shot from 25 ft (assist by K. Leonard),,41,35
133,2,6:54.0,,Personal foul by S. Ibaka (drawn by N. Vučević),41,35
134,2,6:54.0,,Orlando full timeout,41,35
135,2,6:46.0,,W. Iwundu misses 3-pt jump shot from 23 ft,41,35
136,2,6:42.0,Defensive rebound by S. Ibaka,,41,35
137,2,6:26.0,S. Ibaka misses 3-pt jump shot from 26 ft,,41,35
138,2,6:23.0,,Defensive rebound by A. Gordon,41,35
139,2,6:10.0,,A. Gordon makes 2-pt layup from 3 ft (assist by N. Vučević),41,37
140,2,5:44.0,F. VanVleet makes 2-pt layup from 2 ft,,43,37
141,2,5:33.0,,D. Augustin misses 2-pt layup from 3 ft,43,37
142,2,5:33.0,,Offensive rebound by Team,43,37
143,2,5:33.0,M. Gasol enters the game for S. Ibaka,,43,37
144,2,5:33.0,D. Green enters the game for F. VanVleet,,43,37
145,2,5:20.0,,W. Iwundu makes 2-pt layup from 1 ft (assist by A. Gordon),43,39
146,2,5:10.0,Shooting foul by A. Gordon (drawn by K. Leonard),,43,39
147,2,5:10.0,K. Leonard makes free throw 1 of 2,,44,39
148,2,5:10.0,P. Siakam enters the game for N. Powell,,44,39
149,2,5:10.0,,E. Fournier enters the game for T. Ross,44,39
150,2,5:10.0,K. Leonard makes free throw 2 of 2,,45,39
151,2,4:59.0,,E. Fournier misses 2-pt layup from 1 ft (block by P. Siakam),45,39
152,2,4:58.0,Defensive rebound by M. Gasol,,45,39
153,2,4:36.0,P. Siakam misses 2-pt jump shot from 13 ft,,45,39
154,2,4:32.0,,Defensive rebound by A. Gordon,45,39
155,2,4:23.0,,A. Gordon misses 2-pt layup from 1 ft,45,39
156,2,4:20.0,Defensive rebound by P. Siakam,,45,39
157,2,4:04.0,K. Leonard misses 2-pt layup from 2 ft,,45,39
158,2,4:00.0,Offensive rebound by K. Leonard,,45,39
159,2,3:58.0,K. Leonard makes 2-pt jump shot from 15 ft,,47,39
160,2,3:40.0,,N. Vučević misses 2-pt jump shot from 14 ft,47,39
161,2,3:40.0,Defensive rebound by K. Lowry,,47,39
162,2,3:25.0,Turnover by K. Lowry (bad pass),,47,39
163,2,3:25.0,,T. Ross enters the game for W. Iwundu,47,39
164,2,3:12.0,,A. Gordon makes 2-pt layup from 1 ft,47,41
165,2,3:02.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by D. Green),,50,41
166,2,2:55.0,,Orlando full timeout,50,41
167,2,2:40.0,,N. Vučević misses 2-pt hook shot from 2 ft (block by K. Leonard),50,41
168,2,2:34.0,Defensive rebound by M. Gasol,,50,41
169,2,2:28.0,K. Leonard makes 2-pt jump shot from 11 ft,,52,41
170,2,2:12.0,,D. Augustin misses 3-pt jump shot from 26 ft (block by M. Gasol),52,41
171,2,2:12.0,Defensive rebound by K. Leonard,,52,41
172,2,2:02.0,D. Green misses 3-pt jump shot from 23 ft,,52,41
173,2,1:56.0,,Defensive rebound by E. Fournier,52,41
174,2,1:43.0,,Turnover by D. Augustin (bad pass),52,41
175,2,1:43.0,,Loose ball foul by A. Gordon (drawn by K. Leonard),52,41
176,2,1:43.0,,J. Martin enters the game for A. Gordon,52,41
177,2,1:32.0,P. Siakam makes 3-pt jump shot from 26 ft (assist by M. Gasol),,55,41
178,2,1:17.0,,Personal foul by K. Lowry (drawn by J. Martin),55,41
179,2,1:04.0,,Shooting foul by M. Gasol (drawn by E. Fournier),55,41
180,2,1:04.0,,E. Fournier makes free throw 1 of 2,55,42
181,2,1:04.0,,E. Fournier misses free throw 2 of 2,55,42
182,2,1:01.0,Defensive rebound by K. Leonard,,55,42
183,2,0:47.0,D. Green misses 3-pt jump shot from 24 ft,,55,42
184,2,0:44.0,,Defensive rebound by N. Vučević,55,42
185,2,0:28.0,,N. Vučević misses 2-pt hook shot from 10 ft,55,42
186,2,0:25.0,Defensive rebound by D. Green,,55,42
187,2,0:04.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Lowry),,58,42
188,2,0:01.0,,E. Fournier misses 3-pt jump shot from 41 ft,58,42
189,2,0:01.0,,Offensive rebound by Team,58,42
190,3,11:37.0,,E. Fournier misses 2-pt jump shot from 7 ft,58,42
191,3,11:35.0,,Offensive rebound by J. Isaac,58,42
192,3,11:35.0,,J. Isaac misses 2-pt layup from 3 ft,58,42
193,3,11:35.0,,Offensive rebound by J. Isaac,58,42
194,3,11:32.0,,J. Isaac misses 2-pt hook shot from 12 ft,58,42
195,3,11:31.0,,Offensive rebound by N. Vučević,58,42
196,3,11:28.0,,J. Isaac misses 2-pt jump shot from 16 ft,58,42
197,3,11:28.0,Defensive rebound by M. Gasol,,58,42
198,3,11:05.0,K. Leonard makes 2-pt jump shot from 17 ft,,60,42
199,3,10:46.0,,A. Gordon makes 2-pt jump shot from 15 ft (assist by J. Isaac),60,44
200,3,10:25.0,M. Gasol misses 2-pt jump shot from 22 ft,,60,44
201,3,10:23.0,,Defensive rebound by J. Isaac,60,44
202,3,10:20.0,,J. Isaac misses 2-pt jump shot from 22 ft,60,44
203,3,10:17.0,Defensive rebound by P. Siakam,,60,44
204,3,10:12.0,P. Siakam misses 3-pt jump shot from 25 ft,,60,44
205,3,10:10.0,,Defensive rebound by J. Isaac,60,44
206,3,9:57.0,,Personal foul by K. Lowry (drawn by J. Isaac),60,44
207,3,9:44.0,,A. Gordon makes 2-pt jump shot from 18 ft (assist by N. Vučević),60,46
208,3,9:24.0,D. Green misses 2-pt jump shot from 14 ft,,60,46
209,3,9:22.0,,Defensive rebound by A. Gordon,60,46
210,3,9:17.0,,N. Vučević misses 3-pt jump shot from 26 ft,60,46
211,3,9:11.0,Defensive rebound by M. Gasol,,60,46
212,3,9:04.0,Personal foul by N. Vučević (drawn by P. Siakam),,60,46
213,3,8:56.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by K. Leonard),,63,46
214,3,8:38.0,,Personal foul by K. Leonard (drawn by A. Gordon),63,46
215,3,8:36.0,,Turnover by E. Fournier (bad pass; steal by D. Green),63,46
216,3,8:29.0,K. Leonard makes 2-pt dunk from 1 ft (assist by K. Lowry),,65,46
217,3,8:18.0,,N. Vučević misses 2-pt jump shot from 10 ft,65,46
218,3,8:18.0,Defensive rebound by M. Gasol,,65,46
219,3,8:11.0,Turnover by K. Lowry (bad pass),,65,46
220,3,7:59.0,,Personal foul by M. Gasol (drawn by A. Gordon),65,46
221,3,7:49.0,,Shooting foul by K. Leonard (drawn by N. Vučević),65,46
222,3,7:49.0,,N. Vučević makes free throw 1 of 2,65,47
223,3,7:49.0,,N. Vučević misses free throw 2 of 2,65,47
