,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,M. Brogdon misses 2-pt jump shot from 15 ft,0,0
1,1,11:43.0,Defensive rebound by B. Griffin,,0,0
2,1,11:37.0,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),,2,0
3,1,11:19.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by B. Lopez),2,3
4,1,11:03.0,Turnover by A. Drummond (bad pass; steal by E. Bledsoe),,2,3
5,1,11:01.0,,Shooting foul by R. Jackson (drawn by E. Bledsoe),2,3
6,1,11:01.0,,E. Bledsoe makes free throw 1 of 2,2,4
7,1,11:01.0,,E. Bledsoe makes free throw 2 of 2,2,5
8,1,10:41.0,R. Jackson misses 2-pt jump shot from 5 ft,,2,5
9,1,10:39.0,,Defensive rebound by M. Brogdon,2,5
10,1,10:33.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,2,5
11,1,10:30.0,Defensive rebound by A. Drummond,,2,5
12,1,10:21.0,B. Griffin misses 2-pt layup from 2 ft,,2,5
13,1,10:18.0,,Defensive rebound by G. Antetokounmpo,2,5
14,1,10:12.0,,M. Brogdon misses 3-pt jump shot from 23 ft,2,5
15,1,10:07.0,,Offensive rebound by T. Snell,2,5
16,1,10:07.0,,T. Snell makes 2-pt dunk at rim,2,7
17,1,9:49.0,R. Jackson misses 3-pt jump shot from 25 ft,,2,7
18,1,9:46.0,,Defensive rebound by T. Snell,2,7
19,1,9:38.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by T. Snell),2,9
20,1,9:33.0,Detroit full timeout,,2,9
21,1,9:23.0,L. Galloway makes 3-pt jump shot from 27 ft (assist by B. Griffin),,5,9
22,1,9:13.0,,Shooting foul by G. Robinson (drawn by T. Snell),5,9
23,1,9:13.0,,T. Snell makes free throw 1 of 3,5,10
24,1,9:13.0,,T. Snell makes free throw 2 of 3,5,11
25,1,9:13.0,,T. Snell makes free throw 3 of 3,5,12
26,1,9:05.0,Shooting foul by B. Lopez (drawn by B. Griffin),,5,12
27,1,9:05.0,B. Griffin misses free throw 1 of 2,,5,12
28,1,9:05.0,Offensive rebound by Team,,5,12
29,1,9:05.0,B. Griffin makes free throw 2 of 2,,6,12
30,1,8:56.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),6,15
31,1,8:36.0,A. Drummond misses 2-pt layup from 1 ft,,6,15
32,1,8:31.0,Offensive rebound by R. Jackson,,6,15
33,1,8:31.0,R. Jackson misses 2-pt layup from 1 ft,,6,15
34,1,8:30.0,,Defensive rebound by B. Lopez,6,15
35,1,8:25.0,,T. Snell misses 3-pt jump shot from 26 ft,6,15
36,1,8:25.0,Defensive rebound by R. Jackson,,6,15
37,1,8:11.0,B. Griffin makes 3-pt jump shot from 28 ft,,9,15
38,1,7:59.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,9,15
39,1,7:55.0,Defensive rebound by A. Drummond,,9,15
40,1,7:55.0,Personal foul by G. Antetokounmpo (drawn by B. Griffin),,9,15
41,1,7:45.0,G. Robinson makes 2-pt jump shot from 6 ft,,11,15
42,1,7:35.0,,B. Lopez misses 3-pt jump shot from 25 ft,11,15
43,1,7:32.0,Defensive rebound by G. Robinson,,11,15
44,1,7:20.0,R. Jackson misses 3-pt jump shot from 27 ft,,11,15
45,1,7:17.0,,Defensive rebound by B. Lopez,11,15
46,1,7:03.0,,Turnover by G. Antetokounmpo (bad pass; steal by G. Robinson),11,15
47,1,6:59.0,G. Robinson misses 2-pt layup from 2 ft,,11,15
48,1,6:55.0,,Defensive rebound by T. Snell,11,15
49,1,6:49.0,,T. Snell misses 3-pt jump shot from 29 ft,11,15
50,1,6:46.0,Defensive rebound by B. Griffin,,11,15
51,1,6:30.0,Turnover by R. Jackson (bad pass; steal by B. Lopez),,11,15
52,1,6:26.0,,Milwaukee full timeout,11,15
53,1,6:26.0,S. Johnson enters the game for R. Jackson,,11,15
54,1,6:26.0,I. Smith enters the game for G. Robinson,,11,15
55,1,6:26.0,,T. Maker enters the game for B. Lopez,11,15
56,1,6:08.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),11,17
57,1,5:52.0,B. Griffin makes 2-pt layup from 1 ft,,13,17
58,1,5:41.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,13,17
59,1,5:38.0,Defensive rebound by I. Smith,,13,17
60,1,5:34.0,B. Griffin misses 3-pt jump shot from 23 ft,,13,17
61,1,5:32.0,,Defensive rebound by M. Brogdon,13,17
62,1,5:21.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,13,17
63,1,5:18.0,Defensive rebound by A. Drummond,,13,17
64,1,5:10.0,Turnover by S. Johnson (traveling),,13,17
65,1,5:10.0,,S. Brown enters the game for G. Antetokounmpo,13,17
66,1,5:10.0,,P. Connaughton enters the game for M. Brogdon,13,17
67,1,5:10.0,,B. Lopez enters the game for T. Snell,13,17
68,1,4:58.0,,E. Bledsoe makes 2-pt layup from 2 ft,13,19
69,1,4:46.0,B. Griffin makes 2-pt layup from 1 ft,,15,19
70,1,4:45.0,,Milwaukee full timeout,15,19
71,1,4:42.0,,Personal foul by I. Smith (drawn by E. Bledsoe),15,19
72,1,4:31.0,,E. Bledsoe misses 2-pt layup from 3 ft,15,19
73,1,4:29.0,Defensive rebound by S. Johnson,,15,19
74,1,4:24.0,S. Johnson misses 2-pt layup from 2 ft,,15,19
75,1,4:24.0,,Defensive rebound by Team,15,19
76,1,3:59.0,,B. Lopez misses 3-pt jump shot from 29 ft,15,19
77,1,3:56.0,Defensive rebound by S. Johnson,,15,19
78,1,3:46.0,A. Drummond misses 2-pt hook shot from 3 ft (block by B. Lopez),,15,19
79,1,3:42.0,,Defensive rebound by E. Bledsoe,15,19
80,1,3:39.0,,E. Bledsoe makes 2-pt layup from 1 ft,15,21
81,1,3:12.0,B. Griffin makes 2-pt jump shot from 6 ft,,17,21
82,1,3:02.0,,T. Maker misses 3-pt jump shot from 26 ft,17,21
83,1,2:59.0,Defensive rebound by L. Galloway,,17,21
84,1,2:52.0,S. Johnson misses 3-pt jump shot from 27 ft,,17,21
85,1,2:49.0,,Defensive rebound by E. Bledsoe,17,21
86,1,2:45.0,,E. Bledsoe makes 2-pt layup from 1 ft,17,23
87,1,2:45.0,,Shooting foul by I. Smith (drawn by E. Bledsoe),17,23
88,1,2:45.0,L. Kennard enters the game for L. Galloway,,17,23
89,1,2:45.0,,E. Bledsoe makes free throw 1 of 1,17,24
90,1,2:22.0,B. Griffin misses 2-pt hook shot from 3 ft,,17,24
91,1,2:18.0,,Defensive rebound by E. Bledsoe,17,24
92,1,2:16.0,,Shooting foul by A. Drummond (drawn by E. Bledsoe),17,24
93,1,2:16.0,,E. Bledsoe makes free throw 1 of 2,17,25
94,1,2:16.0,,E. Bledsoe makes free throw 2 of 2,17,26
95,1,2:05.0,B. Griffin makes 2-pt layup from 1 ft,,19,26
96,1,1:51.0,,E. Bledsoe misses 2-pt jump shot from 17 ft,19,26
97,1,1:48.0,Defensive rebound by B. Griffin,,19,26
98,1,1:43.0,L. Kennard misses 3-pt jump shot from 28 ft,,19,26
99,1,1:43.0,Offensive rebound by Team,,19,26
100,1,1:43.0,B. Brown enters the game for B. Griffin,,19,26
101,1,1:43.0,,G. Antetokounmpo enters the game for E. Bledsoe,19,26
